names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NDB-SI-MA-STRv Lhx8 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Dbi,1.9394454,4.2599382,0.05244712591970017,0.9995221245553373,0.6,0.22559621857766957,1.7672316,0.22585014
Rps4x,1.8973999,3.903619,0.0577751767928657,0.9995221245553373,0.6,0.23057365895581178,1.4526012,0.19784732
Cct8,1.8802322,4.2843695,0.06007643025658744,0.9995221245553373,0.6,0.269605385662107,1.6235418,0.1897271
Rps18,1.8530802,4.02714,0.06387086510966969,0.9995221245553373,0.6,0.26913986965551817,1.6396542,0.22693498
Gpm6a,1.8515548,0.67402786,0.0640897790996071,0.9995221245553373,0.8,0.8923225667836425,2.412198,1.996983
Cpe,1.8446766,1.173773,0.0650845905227818,0.9995221245553373,0.8,0.8456277304304233,2.2056956,1.5216999
Rpl28,1.8352747,4.1926603,0.06646500523472268,0.9995221245553373,0.6,0.3040177612260975,1.9665082,0.28974643
Kansl2,1.8212687,4.005643,0.06856601728163754,0.9995221245553373,0.6,0.3179832414237628,1.5081351,0.19805942
Tspyl4,1.7815529,3.6010993,0.07482216523651328,0.9995221245553373,0.6,0.29918355654229034,1.4526012,0.23887248
Rnasek,1.7739815,3.7756162,0.07606622390412787,0.9995221245553373,0.6,0.3149752918427272,1.7893193,0.31043515
mt-Cytb,1.7621111,3.5044386,0.07805053578581107,0.9995221245553373,0.6,0.3104633674711738,1.6152155,0.30381638
Yy1,1.7388418,3.5360193,0.08206259112801118,0.9995221245553373,0.6,0.36159851034877893,1.4455624,0.2466114
Tmem132a,1.7167652,3.54394,0.08602208941580808,0.9995221245553373,0.6,0.3675786005872663,1.5680081,0.2818277
Rps7,1.7088331,3.6164618,0.08748187085232711,0.9995221245553373,0.6,0.33162644130917424,1.7190975,0.3172766
Rps10,1.6697552,3.1613975,0.09496780911895539,0.9995221245553373,0.6,0.34817016400487,1.5081351,0.33163124
Tubb2a,1.652227,3.3442874,0.0984882860529349,0.9995221245553373,0.6,0.3739525889851751,1.6915718,0.36185485
Ptma,1.6473734,3.3933568,0.09948130805445785,0.9995221245553373,0.6,0.4053212060445463,1.8094231,0.39610422
Gapdh,1.623078,3.0012338,0.10457272364253696,0.9995221245553373,0.6,0.34970994771897157,1.5489457,0.38043207
Rps24,1.5808384,2.9784522,0.11391499088796117,0.9995221245553373,0.6,0.4057151042039676,1.5489457,0.38545644
Rpl19,1.5686352,2.9246879,0.11673295916043282,0.9995221245553373,0.6,0.4075055503831555,1.5733993,0.40778625
Ybx1,1.559372,3.2807126,0.11890838155522404,0.9995221245553373,0.6,0.47858626369691326,1.6929367,0.3759643
Stmn1,1.5156347,2.7344933,0.12961177048922154,0.9995221245553373,0.6,0.4356155553964048,1.486373,0.4147784
Cntn4,1.5035979,1.4011468,0.13268494769582648,0.9995221245553373,0.8,0.6514717467592924,2.0116038,1.2388752
Slc12a5,1.4984115,2.7755792,0.13402637310290538,0.9995221245553373,0.6,0.4982453627443959,1.486373,0.4052005
Rps16,1.4977181,2.6425602,0.13420650013025637,0.9995221245553373,0.6,0.4186063166941202,1.4526012,0.4215645
Ociad1,1.4905349,2.8920238,0.1360836488041861,0.9995221245553373,0.6,0.5128554035665688,1.6359718,0.44274202
mt-Nd2,1.4872067,2.6199298,0.1369602127733657,0.9995221245553373,0.6,0.43733438372842515,1.5733993,0.4836046
