names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OEC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Sdk1,9.2275915,4.1436796,2.767852319194959e-20,3.718609590838427e-17,0.925,0.4637696748054928,2.7094266,0.58401585
Gm10863,9.207036,5.6649156,3.352546446305777e-20,4.289663000582678e-17,0.875,0.09791689075328959,1.8262289,0.09776016
Ptprz1,9.200541,3.8824408,3.561537749736259e-20,4.3499326970642404e-17,0.975,0.5666343981929655,3.001801,0.8314183
Syne2,9.191464,5.4404736,3.875284951340755e-20,4.5273437670663516e-17,0.875,0.1708077874583199,1.8339033,0.114298604
Efna5,9.161725,4.132881,5.1074204943707853e-20,5.718182861822625e-17,0.925,0.41317987881395435,2.5602984,0.519132
Brinp3,9.104601,3.756207,8.658414259182059e-20,9.306063645768877e-17,0.95,0.6307052454196694,3.3236878,1.092121
Il1rapl1,9.003392,1.7338234,2.188482809018865e-19,2.2617128107052655e-16,0.975,0.9249578717148901,4.018173,2.857363
Luzp2,8.863692,3.5455608,7.740710332796913e-19,7.703440246009371e-16,0.95,0.5586031336273349,2.9514441,0.937257
Fabp7,8.803468,6.5439124,1.3265227868710984e-18,1.272988117258086e-15,0.825,0.05854935283783299,1.808602,0.05323627
Pde4b,8.794814,3.3851583,1.4328540683340885e-18,1.28298675125515e-15,0.975,0.7633645261912445,3.807206,1.651286
St6gal1,8.791163,4.3182106,1.4801856825050111e-18,1.28298675125515e-15,0.875,0.3227922985909433,2.0013435,0.27821898
Nfia,8.775053,2.5338206,1.7082358883953698e-18,1.4343843225369872e-15,0.975,0.739378294073357,2.824441,1.3183483
Stard13,8.694489,4.2703834,3.483960247511048e-18,2.8367882378976325e-15,0.875,0.345631207199455,2.154222,0.33283705
Zfhx4,8.49211,4.139894,2.0291754942349713e-17,1.5578270151455337e-14,0.85,0.31300419490158116,1.898514,0.2791186
Gm34838,8.457838,9.919429,2.7237969726669815e-17,2.0330117959878277e-14,0.775,0.009106880355670288,1.646505,0.0043162596
Grik3,8.453884,3.5073297,2.8176914882064515e-17,2.0462532510299283e-14,0.875,0.3612634900147001,1.7716328,0.3571073
Prkg1,8.44731,2.438797,2.980910336491724e-17,2.107817387935069e-14,1.0,0.8102255207773117,3.4875474,1.9239131
Grb14,8.39255,3.1557138,4.7570698340067444e-17,3.19556166099403e-14,0.9,0.5165465562367789,1.9842203,0.5329441
Dock7,8.37016,2.530696,5.753996746057046e-17,3.770972989428118e-14,0.9,0.6557312394679288,2.029612,0.76271546
Mboat2,8.336927,2.758685,7.624565455089903e-17,4.877906518530136e-14,0.9,0.6231042271700549,1.980458,0.6538407
Ddhd1,8.3340435,2.764186,7.812751022636071e-17,4.8820609297263077e-14,0.9,0.5981140869814635,1.8705304,0.59242356
Apod,8.326419,4.986269,8.33243118446377e-17,5.0884642256032156e-14,0.825,0.17252877272238357,1.9761484,0.17904364
Igfbp5,8.314949,4.6532636,9.179149011619834e-17,5.480971865382776e-14,0.825,0.23878670538883512,1.8435175,0.1917494
Ror1,8.306727,3.7863925,9.837789153429066e-17,5.746552055492152e-14,0.85,0.3334767487720053,1.8451746,0.32658684
Gsap,8.246904,5.169063,1.6255000413484022e-16,9.099413773131577e-14,0.8,0.14545910867304865,1.7589712,0.1253919
Lamc1,8.196296,3.219978,2.4790842562279435e-16,1.3594488564254048e-13,0.85,0.4405363737406332,1.5616242,0.33949265
Timp3,8.184472,4.797256,2.734993609063331e-16,1.4697855655106342e-13,0.8,0.16281237675235738,1.5402472,0.12384377
Afap1l2,8.120932,5.4094687,4.626199363494079e-16,2.403749109543012e-13,0.775,0.07220967337133842,1.2862828,0.059803084
Phldb2,8.118733,5.6336503,4.710738819377307e-16,2.403749109543012e-13,0.775,0.08070703811265283,1.568309,0.07372418
Zbtb20,8.096019,2.2437236,5.678687185007312e-16,2.82567267891012e-13,0.975,0.8683804811587967,3.7831028,2.3094573
Adam12,8.061737,4.1648374,7.521798933783673e-16,3.6747406791048597e-13,0.825,0.2968699580509842,1.8807914,0.26995626
