names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_TH Prkcd Grin2c Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Prkcd,3.837011,4.78271,0.00012454079613425075,0.1153934893837006,0.7777777777777778,0.04766850512140964,0.743343,0.039287876
Atxn1,3.8137949,1.5446289,0.00013684910939450707,0.12257118564768019,0.8888888888888888,0.7900938328199986,2.4511845,1.5334644
Cntn5,3.7976694,2.4618351,0.000146062937219864,0.12452638743335472,1.0,0.7666714418737913,3.3797493,1.8161981
Unc13c,3.7823918,3.0348332,0.00015532869772138828,0.12452638743335472,0.8888888888888888,0.2281355203781964,1.1736887,0.24104337
Inpp4b,3.7726338,2.9524238,0.00016153331856225958,0.12452638743335472,0.8888888888888888,0.591719790845928,2.5123143,0.9018582
Epb41l3,3.7716,2.11558,0.0001622040774159812,0.12452638743335472,1.0,0.6257789556622019,1.7413054,0.73507595
Cntn4,3.7639096,2.7996829,0.0001672774312245619,0.12485401602788829,0.8888888888888888,0.6514218179213523,2.8937871,1.2384803
Clmn,3.7288885,2.6111507,0.00019232620627932363,0.13930062677071384,0.8888888888888888,0.3771219826659981,1.217978,0.329007
Kcnd2,3.7228312,1.6896776,0.0001970012585518097,0.13930062677071384,1.0,0.9127927798868276,3.9937587,2.8627627
Rbfox1,3.7131972,1.4869486,0.00020465721635286825,0.1410035744461941,1.0,0.9406561134589213,4.430281,3.4208658
Rora,3.6981056,2.0512857,0.00021721452502004236,0.14591385718221345,0.8888888888888888,0.8019482845068405,2.8999856,1.6377369
Rims2,3.6859083,1.5802753,0.00022788848552304474,0.14805468887085713,0.8888888888888888,0.8094334216746651,2.7069008,1.7362629
Spock3,3.6738555,2.6209795,0.00023891785486728666,0.14805468887085713,0.8888888888888888,0.5718071771363082,2.2026203,0.8365454
Cntn6,3.6646557,2.860564,0.0002476714414868043,0.14805468887085713,0.8888888888888888,0.40860253563498317,1.7953699,0.52556306
Dzank1,3.6643665,2.1652458,0.0002479516560918709,0.14805468887085713,0.8888888888888888,0.5059451328701382,1.233628,0.4334512
Snhg14,3.6508665,1.4433692,0.0002613570332025808,0.15266659743811622,1.0,0.8169543728959243,2.908685,1.9978739
Syt9,3.6342864,3.7003937,0.0002787511388435535,0.15697095824350618,0.7777777777777778,0.15525392163885107,0.81190336,0.09196417
Xkr4,3.6327565,1.2516297,0.00028040960162591355,0.15697095824350618,0.8888888888888888,0.8619010099563068,3.0623283,2.257367
Lhfpl3,3.6132407,2.9293425,0.000302393780164543,0.16488167711317106,0.8888888888888888,0.475395745290452,2.0857384,0.65521413
Cacna1g,3.609478,3.384744,0.00030681369019942514,0.16488167711317106,0.7777777777777778,0.23354344244681613,0.91469353,0.13385515
Lhfp,3.5737956,3.908209,0.0003518437113104673,0.18184654426503735,0.7777777777777778,0.26402120191963324,1.5590779,0.22319682
Pakap-1,3.5650094,2.256852,0.00036384331951576024,0.18184654426503735,0.8888888888888888,0.5404340663276269,1.4288567,0.5092674
Unc80,3.558125,1.412472,0.0003735115875656427,0.182203368492727,0.8888888888888888,0.7507700021488432,2.1400037,1.3395478
Tox,3.5537837,3.026653,0.00037973162023046943,0.182203368492727,0.8888888888888888,0.4139388295967338,2.0059674,0.581902
Cdh18,3.5424337,2.4427264,0.0003964529809930299,0.18688932630320548,1.0,0.5836974428765848,2.1199625,0.8537343
Snhg11,3.5377614,1.557985,0.00040353432449394445,0.18694771205434976,0.8888888888888888,0.8285581262087243,3.2008545,2.1971495
