names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Lyz2,2.8575866,8.889703,0.0042687609732296565,0.1108659678778145,0.46153846153846156,0.006411634071208539,1.5145376,0.0074509853
Ncf2,2.7672899,6.0535026,0.00565244788498584,0.13110268549087498,0.46153846153846156,0.029479189053657137,1.0053838,0.025757084
Actb,2.5506222,2.1582558,0.010753080866759565,0.19739913061606987,0.6923076923076923,0.6836807794254602,1.9386641,0.8470877
mt-Co3,2.4847705,2.2027123,0.01296350049186038,0.22018284337312793,0.6923076923076923,0.6080306612221505,1.8655803,0.7820755
Rps14,2.4616156,2.695322,0.013831280294802784,0.2282840918435816,0.6153846153846154,0.46299878214771834,1.5599252,0.45760208
Rpl23a,2.4455311,3.437348,0.01446389561573964,0.23454729945378647,0.5384615384615384,0.28458342288129523,1.4182665,0.25381306
Nedd9,2.4120204,4.6979976,0.01586439611475242,0.24711670933530291,0.46153846153846156,0.13568307185328463,1.1527778,0.08018407
Ccr2,2.3935103,10.188908,0.016688013747917677,0.25416216047456436,0.38461538461538464,0.0019342359767891683,1.2588965,0.0021578881
Rps11,2.3855627,3.2827594,0.017053017675094238,0.25797878251862466,0.5384615384615384,0.29325166559209115,1.3940393,0.27113515
Atp2b1,2.3693922,0.49605605,0.01781735121535335,0.2642120458921327,0.7692307692307693,0.8990615373594097,2.32328,2.0188441
Ubb,2.3685148,2.7950795,0.017859665663212523,0.2646934453229567,0.6153846153846154,0.48262769539365286,1.9046155,0.6008492
Rps9,2.3566277,3.5129728,0.01844172264310303,0.27049085096898523,0.5384615384615384,0.3151013682928577,1.5287611,0.2749324
Gm35154,2.3086667,6.0380807,0.02096208219123706,0.2918399733049429,0.38461538461538464,0.021706425961745112,0.9130903,0.022451445
9930111J21Rik2,2.3077033,6.01777,0.021015640225795093,0.29228273957925166,0.38461538461538464,0.021384053298946916,0.8364879,0.019989982
H2-K1,2.2995493,5.870687,0.02147376664322419,0.2966581540891691,0.38461538461538464,0.02414213052510925,0.85095745,0.02267412
Pid1,2.271681,2.270577,0.023105785155104485,0.31042622355882876,0.6153846153846154,0.587685364281109,1.8609004,0.75389045
Ahnak,2.2617896,5.57712,0.023710414551103867,0.3136872668577848,0.38461538461538464,0.03227308546457482,0.926913,0.031478878
Arhgap15,2.2564394,3.5296335,0.024043124755138076,0.31637549567608236,0.5384615384615384,0.37925352818969843,1.7121419,0.33159947
Arhgdib,2.2417483,5.9109526,0.024977641091352438,0.3244122769079626,0.38461538461538464,0.04040404040404041,0.9337019,0.025335792
Lamp1,2.2327685,3.016741,0.025564210748702555,0.3291376822317382,0.5384615384615384,0.35815602836879434,1.332109,0.29610115
Prkch,2.200806,5.0290823,0.027749760488428376,0.3468074717786374,0.38461538461538464,0.04674403610573823,0.8366054,0.039292958
Ssh2,2.189504,0.889435,0.0285602390145857,0.35234785230574733,0.6923076923076923,0.8142058886739738,1.8686179,1.3757113
Rpl11,2.1381538,2.886813,0.03250425540432801,0.38092645108554424,0.5384615384615384,0.3742388423239487,1.4060203,0.34810367
Arhgap45,2.1341457,4.5567603,0.032830858604595094,0.3832640143516252,0.38461538461538464,0.06461780929866036,1.0509772,0.07607993
Rps23,2.0349035,2.5555584,0.041860585610505416,0.4387184446947168,0.5384615384615384,0.3849845977505552,1.3534062,0.39762205
Cmss1,2.0188363,1.1587781,0.04350424814422568,0.4490815012045118,0.6923076923076923,0.8418224801203524,2.0282824,1.3753716
Calm1,2.009581,1.4776043,0.04447553734233669,0.4537045134353025,0.6923076923076923,0.8371659861021563,2.1796367,1.3392864
Rack1,1.9991907,3.1787302,0.04558771956560198,0.4604629930081139,0.46153846153846156,0.23515294791890537,1.049873,0.18657069
Itga4,1.9370548,3.5580158,0.05273865581080935,0.5003840683744517,0.46153846153846156,0.277598681854001,1.2728779,0.1974556
Zeb2,1.9130054,0.6834323,0.055747363304209034,0.5183154505135283,0.6923076923076923,0.8605559137474031,2.4953485,2.0703897
Slfn2,1.9081542,8.509422,0.05637128517185786,0.522104056503894,0.3076923076923077,0.0027222580414069776,0.7237384,0.0029104035
Fgr,1.9077413,8.887005,0.05642465227582071,0.522104056503894,0.3076923076923077,0.0029371731499391075,0.8308493,0.0027321884
Gpr141,1.9077241,9.67444,0.056426876817540314,0.522104056503894,0.3076923076923077,0.0030446307042051725,0.84967124,0.00163715
Adgre4,1.9030106,9.472823,0.057039157713281864,0.5259581907192463,0.3076923076923077,0.0041192062468658214,0.907368,0.0020775818
S100a4,1.9014452,7.955309,0.057243725078829216,0.5269403538431453,0.3076923076923077,0.004083387062110466,0.6871623,0.003973161
