names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Sncg Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Syne1,14.564523,1.6506585,4.7226846183988065e-48,4.3758115757371006e-45,0.9328859060402684,0.8179396731696782,2.5822306,1.5880345
Erbb4,14.536136,3.3061018,7.151732523857683e-48,6.405568430535199e-45,0.9328859060402684,0.7189187243538983,3.638495,1.5569491
Dner,14.449746,2.325298,2.516104117154412e-47,2.1127411758730953e-44,0.9194630872483222,0.5427615002519617,1.6689188,0.62018687
Gad2,14.32086,2.9205494,1.6210435890167758e-46,1.3199224617236597e-43,0.8456375838926175,0.22021452739183645,1.080813,0.22885826
Cacna1b,14.308767,1.8083786,1.9290129738401204e-46,1.524487606090707e-43,0.9060402684563759,0.6516449499676049,1.7315215,0.8447552
Gad1,14.286855,2.8528054,2.6427941598351513e-46,2.028910830707729e-43,0.8523489932885906,0.2624001151824923,1.0956254,0.24342845
Synpr,14.205895,2.598575,8.421976946649075e-46,6.28607001545724e-43,0.9328859060402684,0.5444172485782162,2.2430203,0.8714809
Marchf3,14.183029,2.873509,1.1669820409161241e-45,8.474812821463852e-43,0.8322147651006712,0.31808365128500465,1.1527205,0.2590281
Maf,14.019475,3.037433,1.1848766686245382e-44,8.163496432292652e-42,0.825503355704698,0.22554171765891584,1.222063,0.25588772
Rgs12,13.94278,4.068026,3.4811660401406703e-44,2.338473287464495e-41,0.738255033557047,0.14214239435605788,1.0244402,0.101162314
Eps8,13.9267645,3.3651037,4.3564844584122454e-44,2.855091156037489e-41,0.7986577181208053,0.257432870203729,1.3072499,0.23242128
5330434G04Rik,13.879973,1.819503,8.377484555667482e-44,5.359595476447269e-41,0.912751677852349,0.6448419840184292,1.7487055,0.8522682
Snhg11,13.628512,1.5676756,2.710503156298041e-42,1.6552549956756446e-39,0.9664429530201343,0.827838168598373,3.2018318,2.1920857
Gm45323,13.589565,3.5807626,4.618135902258435e-42,2.7575402598596477e-39,0.7516778523489933,0.1745014757756821,1.064492,0.14733487
Sox2ot,13.56425,2.802339,6.524379833976227e-42,3.811088829107418e-39,0.9194630872483222,0.46432942192786697,2.2457058,0.7934115
Zfp536,13.456696,2.53829,2.812122558978944e-41,1.5742027741617546e-38,0.8993288590604027,0.4752357641638471,1.8991765,0.68201584
Slc35f4,13.426302,2.015751,4.24066484466531e-41,2.3254421301256506e-38,0.912751677852349,0.5914261032323087,1.7711204,0.79123366
Spock3,13.369324,2.242383,9.136811106035951e-41,4.910122288383719e-38,0.912751677852349,0.5700813476351595,1.9642942,0.83093965
Galntl6,13.300044,2.5228183,2.3133273332055925e-40,1.2188059890830248e-37,0.9328859060402684,0.8130084227197466,3.5957665,1.9695312
Slc35f1,13.294603,1.9729973,2.487877958869668e-40,1.2855630914389997e-37,0.9194630872483222,0.653804621697502,2.0983758,1.0374526
Vstm2a,13.2760725,2.3436186,3.186742947175671e-40,1.6156185469926467e-37,0.8657718120805369,0.4552228061334677,1.2899604,0.41783687
Rasgrf2,13.201842,2.4662728,8.561552384174769e-40,4.260165047458815e-37,0.8590604026845637,0.4908213951479375,1.6469752,0.56442684
Nhs,13.17697,2.620594,1.190789062950051e-39,5.817545840266886e-37,0.8187919463087249,0.2671873875170974,1.0273783,0.25593004
