names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L2/3 IT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Tafa1,21.667507,1.5101919,4.1565324844049244e-104,3.8512423398607e-101,0.9127358490566038,0.7876158475796625,2.851909,1.9065187
Atp2b4,21.280977,1.5284226,1.7035115096467808e-100,1.5257784754736335e-97,0.777122641509434,0.4366576819407008,0.92385024,0.42301658
Arhgap10,21.260633,1.7855034,2.628468766976762e-100,2.2782888957634065e-97,0.6792452830188679,0.31277923420595943,0.63967246,0.2310054
Pdzrn3,21.214705,1.8000281,6.986340064687601e-100,5.866342423067371e-97,0.7464622641509434,0.38234316730052065,1.1895028,0.50459397
Gm15155,21.114336,2.2126985,5.87303327677333e-99,4.782072852936345e-96,0.6108490566037735,0.23128900048000592,0.6949654,0.19599102
Fstl4,21.089724,1.471992,9.883747373906311e-99,7.642193689172692e-96,0.7995283018867925,0.5091016504818521,1.2145163,0.6172733
Lrrtm4,21.089386,1.2422091,9.9544763349849e-99,7.642193689172692e-96,0.9587264150943396,0.9192851604327438,3.8467038,3.0144262
Gucy1a1,20.549213,2.1506567,7.822122280553114e-94,5.838345157735061e-91,0.5754716981132075,0.18838385703208654,0.46558243,0.12534243
Pparg,20.39198,1.8521146,1.9701250712971933e-92,1.430736774750151e-89,0.6273584905660378,0.2488646014104789,0.5526708,0.18596874
Marchf1,20.302952,0.9862732,1.2108780652195448e-91,8.342639387807479e-89,0.8950471698113207,0.8351733559797659,2.6476483,2.03118
Spats2l,20.300993,1.5777594,1.2601346783868383e-91,8.464954702063586e-89,0.7122641509433962,0.37263227855112063,0.72208226,0.30355927
Ptprk,20.03275,1.2868693,2.8545356339180663e-89,1.8707651825214256e-86,0.8431603773584906,0.6740390650961858,1.8049766,1.1255527
Rasgrf2,19.913929,1.4544942,3.0817151954172014e-88,1.9715639833538144e-85,0.7688679245283019,0.4841413432780711,1.1071388,0.5533894
Efna5,19.872887,1.6754324,6.986778968449164e-88,4.3659244391216054e-85,0.7311320754716981,0.403980356681313,1.1276613,0.5030932
Unc5d,19.656494,1.4730227,5.086871880243112e-86,3.1064601686848275e-83,0.8573113207547169,0.6315770040246649,1.9746227,1.1739726
Otof,19.62719,3.2028592,9.058850035606439e-86,5.4091400101498896e-83,0.45754716981132076,0.0705239449100912,0.31189123,0.038979832
Ptprd,19.552492,0.88178307,3.9285821756468045e-85,2.2948044143397748e-82,0.9787735849056604,0.9650334157958868,4.2414184,3.6422615
Robo1,19.291288,1.1138926,6.357042588305122e-83,3.634334773356567e-80,0.8832547169811321,0.7905328065576191,2.4171054,1.7438037
Pam,19.277409,1.0648255,8.31390657133268e-83,4.654055616077273e-80,0.8537735849056604,0.7266920208248717,1.7716563,1.2038957
Cobl,19.250648,1.3508965,1.3940546777326268e-82,7.644540651158303e-80,0.7558962264150944,0.42225750470775025,0.8840326,0.44273597
Kcnh7,18.953648,1.1660898,4.120021326462118e-80,2.214099460840742e-77,0.8962264150943396,0.7939666949747074,2.5538292,1.8379201
Lrfn5,18.940296,0.8019513,5.309669397731286e-80,2.7974669944517577e-77,0.9127358490566038,0.8568474688919249,2.778734,2.2680104
