names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB Trdn Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Eif1,1.6094327,3.388435,0.10752176692626425,0.9994105209237433,0.6,0.4099763661104347,1.8770128,0.42426243
H3f3b,1.6007518,2.866911,0.10943190950788687,0.9994105209237433,0.6,0.3789300293633173,1.3317528,0.32362944
Hnrnpk,1.5986162,3.3626027,0.10990590453192883,0.9994105209237433,0.6,0.454451049201461,1.7410389,0.3765521
Rpl24,1.5983388,2.8031929,0.10996758118194543,0.9994105209237433,0.6,0.35142877605099193,1.3317528,0.3360357
Mycbp2,1.5847212,0.44768494,0.11302968525379854,0.9994105209237433,0.8,0.8806488576953376,2.1769853,1.9071058
Btbd9,1.5710204,1.1371698,0.1161779117632493,0.9994105209237433,0.8,0.7591133710520662,1.8376839,1.2242011
Kcna1,1.567193,2.745505,0.11706957826213991,0.9994105209237433,0.6,0.4279882546730645,1.3274775,0.34590957
Zbtb7a,1.5548234,2.6721609,0.11998812270031545,0.9994105209237433,0.6,0.4325001790446179,1.2725407,0.33875346
Snap25,1.5355202,0.49856842,0.12465608879681475,0.9994105209237433,0.8,0.8534340757716823,2.150962,1.8522955
Apoe,1.5322475,2.6960347,0.1254613533435608,0.9994105209237433,0.6,0.34691685167943853,1.5210264,0.43953055
Tpt1,1.5289749,2.6217008,0.12627066606019255,0.9994105209237433,0.6,0.37076559478622073,1.3317528,0.37358254
Ppp1r9a,1.5178534,0.9990397,0.12905136742587733,0.9994105209237433,0.8,0.803516436295925,1.8376839,1.2927341
Nucks1,1.5149968,2.9188838,0.1297732355863947,0.9994105209237433,0.6,0.4915849029578171,1.6103656,0.42496207
Mgat4c,1.5101709,1.3427409,0.13099981816949835,0.9994105209237433,0.8,0.7356227171811215,2.3137023,1.5244249
Klhl24,1.5052619,2.5365646,0.1322567540105823,0.9994105209237433,0.6,0.4764735372054716,1.2973503,0.37733188
Tuba1a,1.493031,2.6535575,0.13542907302864213,0.9994105209237433,0.6,0.4123755639905464,1.4264942,0.40737095
Calm1,1.4810497,1.420984,0.13859333107006197,0.9994105209237433,0.8,0.8371052066174891,2.1452022,1.3395331
Gpr183,1.4677649,5.6398554,0.14216810191170157,0.9994105209237433,0.4,0.02993626011602091,0.7967367,0.024139768
Cpe,1.4627172,0.702496,0.14354477877490848,0.9994105209237433,0.8,0.8456277304304233,1.9207699,1.5217513
Sptbn2,1.4373956,2.5843868,0.15060561734574013,0.9994105209237433,0.6,0.5181193153333811,1.492553,0.45423615
Steap2,1.425969,5.880102,0.15387729279974702,0.9994105209237433,0.4,0.052388455203036595,0.98601043,0.028134083
Psmd1,1.3933254,2.5735195,0.1635213850159697,0.9994105209237433,0.6,0.5777411731003366,1.6516997,0.5354605
Ptms,1.3862532,2.4931169,0.1656696027563258,0.9994105209237433,0.6,0.4928024063596648,1.462426,0.4631492
Gm12279,1.3790699,5.2657447,0.16787318375778226,0.9994105209237433,0.4,0.07168946501468165,0.8516734,0.034326997
Slc25a4,1.3618191,2.3657804,0.17325497968434844,0.9994105209237433,0.6,0.46333166225023276,1.4032139,0.46704778
