names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L5 ET CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ndst3,12.215353,1.6388798,2.5738215192948946e-34,4.610572281563589e-31,0.7843137254901961,0.4731175025292672,1.2423887,0.5828666
Cntn4,12.075892,1.6581576,1.416197163722194e-33,2.3783261118259596e-30,0.8235294117647058,0.6499132822662235,2.1572914,1.2305523
Pcsk5,12.006133,1.6459132,3.299159028285444e-33,5.214611946472346e-30,0.7764705882352941,0.4601821072409308,1.2163529,0.5646725
L3mbtl4,11.988184,3.353346,4.097924017585452e-33,6.117289908473394e-30,0.5058823529411764,0.08364648070530424,0.46496773,0.05630574
Chst8,11.920745,1.7234312,9.22794024893961e-33,1.3050250236263542e-29,0.6705882352941176,0.25878017054487645,0.47958687,0.17089151
Cdh13,11.898255,1.6224362,1.2084719237787452e-32,1.623582029596744e-29,0.8235294117647058,0.5414438502673797,1.5728152,0.80681
Hs3st2,11.8928175,1.8345163,1.2898129802672175e-32,1.6503464180847685e-29,0.6392156862745098,0.22076889723948548,0.52639174,0.17752215
Etv5,11.846218,1.5125443,2.2512231061364314e-32,2.749562039176632e-29,0.7372549019607844,0.36453967336320275,0.6867682,0.29716364
Slit2,11.723509,1.5172957,9.65865124213172e-32,1.128382429895997e-28,0.8196078431372549,0.5715421303656598,1.5775465,0.851237
Ralyl,11.607018,0.9224654,3.796240355213625e-31,4.250207431024587e-28,0.8941176470588236,0.8556511056511057,2.8350523,2.2468884
Gm49678,11.600297,1.5267158,4.106525895796366e-31,4.413694032801934e-28,0.8156862745098039,0.5537649949414656,1.6590855,0.9068841
Pex5l,11.586151,1.2818664,4.8441460193972106e-31,5.006238597738578e-28,0.8313725490196079,0.7800982800982801,2.4617834,1.6884545
Sgcz,11.570098,1.5912999,5.841582806052799e-31,5.813456666616248e-28,0.8666666666666667,0.7468564821505997,2.664782,1.6929364
Reln,11.563817,1.6190714,6.285129807578015e-31,6.031479926057901e-28,0.7019607843137254,0.2879028761381703,0.87657595,0.37612477
Htr1f,11.421451,1.6687192,3.267352915692087e-30,3.0273714774015992e-27,0.7137254901960784,0.3527605145252204,0.9180616,0.3874311
Rab3c,11.288969,1.2143867,1.487719087752618e-29,1.3325003962637618e-26,0.8352941176470589,0.6445295562942622,1.4354762,0.86700237
Khdrbs2,11.27888,1.2021892,1.668558108676381e-29,1.4462631090365923e-26,0.8235294117647058,0.7125307125307125,1.9337207,1.2727987
Vat1l,11.207889,2.0282996,3.729865084572483e-29,3.1319210882019566e-26,0.5764705882352941,0.18167365226188756,0.4136144,0.11829926
Gm15155,11.202493,1.7399999,3.964186905702446e-29,3.227809156249234e-26,0.6392156862745098,0.23916028327793035,0.57187045,0.20781623
Chsy3,11.180701,1.2623757,5.068782292527953e-29,4.005828829418415e-26,0.8549019607843137,0.7027388350917763,1.9405142,1.2485946
Parm1,11.11785,1.3924198,1.0271681676309428e-28,7.885716761212409e-26,0.7529411764705882,0.3970226911403382,0.77070653,0.36628503
Gm2164,11.094799,1.468773,1.329586317591113e-28,9.923884542687001e-26,0.7215686274509804,0.3040179216649805,0.80157006,0.36744303
Fnbp1l,11.082978,1.3229896,1.517389976601021e-28,1.1019532073316064e-25,0.7843137254901961,0.5230885966180083,1.1039898,0.5910484
Agbl4,11.050139,1.0613424,2.188755387576986e-28,1.5079963401075283e-25,0.8392156862745098,0.7523124729007082,2.228839,1.6038207
Tcerg1l,10.9889345,2.060688,4.319951666393094e-28,2.9019275318995607e-25,0.5568627450980392,0.16404104639398756,0.39626548,0.110251084
Sox5,10.982782,1.3819048,4.62455799308634e-28,3.0307773969324385e-25,0.8313725490196079,0.618514236161295,1.7659466,1.0507827
Cxxc4,10.846322,1.4427646,2.0761278858338663e-27,1.3282275307703808e-24,0.6823529411764706,0.3146408440526088,0.50744826,0.21766844
Robo1,10.7841425,1.0925609,4.09042085293573e-27,2.5560374027530947e-24,0.8509803921568627,0.7928168810521752,2.419515,1.7582062
Galnt9,10.767539,1.356076,4.899218252182187e-27,2.9918635099121675e-24,0.7333333333333333,0.38332851568145687,0.65556735,0.30882698
Zfp804b,10.744655,1.6515027,6.279618790042419e-27,3.74963015307644e-24,0.7568627450980392,0.4645541263188322,1.4249281,0.69568044
Lrrtm4,10.692762,1.0962087,1.1004349755838519e-26,6.427975607377848e-24,0.9411764705882353,0.9202919497037144,3.7668386,3.032993
Sorcs1,10.673479,1.7308426,1.354570833372975e-26,7.744110275049328e-24,0.7411764705882353,0.4624584477525654,1.4016498,0.6536153
Fgf12,10.657317,0.7195454,1.6118002893285048e-26,9.022723702970192e-24,0.8666666666666667,0.8551452522040758,2.626904,2.173848
Anks1b,10.403492,0.46737573,2.3901134662197917e-25,1.284446976746516e-22,0.8980392156862745,0.9035626535626535,3.0801084,2.7735698
Trmt9b,10.3912735,1.8442309,2.717013139874918e-25,1.431493001341942e-22,0.5490196078431373,0.1718817748229513,0.35777703,0.11314817
Pde4d,10.340438,0.9594056,4.624191878535426e-25,2.3894622264662867e-22,0.8431372549019608,0.8250469721057956,2.468165,1.8801498
