names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PAG-PPN Pax5 Sox21 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Calm2,2.5888293,2.6827607,0.009630284143771298,0.9995973924451184,1.0,0.8573116585505586,3.032938,1.4054096
Rtn1,2.5085213,2.2148802,0.012123765524251057,0.9995973924451184,1.0,0.9052563735319392,3.256006,1.8521245
Naaladl2,2.4822414,2.4216151,0.013055882224993634,0.9995973924451184,1.0,0.8630048696648525,3.1645613,1.6549587
Calm1,2.4426064,2.6730516,0.014581625669928178,0.9995973924451184,1.0,0.83708106559725,2.9427145,1.3395051
Stxbp5l,2.4344432,1.7871691,0.01491471812449681,0.9995973924451184,1.0,0.7953308507590948,2.8122652,1.7108611
Nrcam,2.2566774,1.8560452,0.02402823917923248,0.9995973924451184,1.0,0.8244772271555428,2.9472435,1.7895749
App,2.2494092,1.275758,0.024486471075776176,0.9995973924451184,1.0,0.8993841306215984,2.594947,1.8114897
Mgat4c,1.9839599,2.1219695,0.04726030987681326,0.9995973924451184,1.0,0.735605843597823,2.8116796,1.5244279
Cxcl14,1.9243824,6.1974826,0.05430667020185748,0.9995973924451184,0.6666666666666666,0.06255370953881409,1.6642739,0.05670614
Mro,1.9086287,6.264354,0.056310004350523725,0.9995973924451184,0.6666666666666666,0.08915783443139502,1.6642739,0.054206047
Tmem242,1.8868243,6.3021994,0.059183973929067483,0.9995973924451184,0.6666666666666666,0.10992552277284445,1.7559967,0.05891916
Xlr5a,1.8608307,5.487451,0.06276809529983685,0.9995973924451184,0.6666666666666666,0.12227871670008593,1.7696236,0.10302815
1110038F14Rik,1.8560687,5.7354226,0.06344375959714565,0.9995973924451184,0.6666666666666666,0.13785448295617303,1.6642739,0.07730393
Eif3i,1.854028,5.6038446,0.06373516401917892,0.9995973924451184,0.6666666666666666,0.13076482383271268,1.6642739,0.084382616
Gm26782,1.8246688,5.5374465,0.06805102127359725,0.9995973924451184,0.6666666666666666,0.17161987969063305,1.7696236,0.09968807
Rrm2b,1.7944146,5.27598,0.07274701629810121,0.9995973924451184,0.6666666666666666,0.20108851331996563,1.7696236,0.11836509
Aars,1.7591836,4.993329,0.07854631565669976,0.9995973924451184,0.6666666666666666,0.23016327699799485,1.7559967,0.14007184
Prdx5,1.7366989,4.5440774,0.08244033299664688,0.9995973924451184,0.6666666666666666,0.21949298195359496,1.7559967,0.18671732
Gad2,1.7320802,4.026763,0.08325928312043163,0.9995973924451184,0.6666666666666666,0.22350329418504727,1.6642739,0.23324937
Kctd4,1.7035804,4.327426,0.08845950876425458,0.9995973924451184,0.6666666666666666,0.2754583213978803,1.6642739,0.1933254
Ldhb,1.6686717,4.1893926,0.09518246391169502,0.9995973924451184,0.6666666666666666,0.29597536522486395,1.7696236,0.23653759
Clu,1.6619048,4.325674,0.09653187090580186,0.9995973924451184,0.6666666666666666,0.2840160412489258,2.012041,0.2799686
Pdhx,1.6505908,4.1596212,0.09882216549012522,0.9995973924451184,0.6666666666666666,0.3416642795760527,1.6642739,0.21477675
Abcf1,1.6493019,4.1176124,0.09908581489602224,0.9995973924451184,0.6666666666666666,0.3222214265253509,1.6642739,0.2204711
Nop56,1.6453635,4.2716317,0.09989488991187448,0.9995973924451184,0.6666666666666666,0.3409839587510742,1.7696236,0.22479776
Tspyl4,1.6422843,3.987743,0.10053110207240955,0.9995973924451184,0.6666666666666666,0.29919793755370955,1.6642739,0.23893668
Rbbp7,1.637773,4.4393964,0.10146905419608179,0.9995973924451184,0.6666666666666666,0.3560584359782297,1.9869413,0.25468436
2610008E11Rik,1.6356248,4.175907,0.10191814082146049,0.9995973924451184,0.6666666666666666,0.36006874820968204,1.7696236,0.23851368
Cox5a,1.6332617,4.1580486,0.10241396198417148,0.9995973924451184,0.6666666666666666,0.3369378401604125,1.9727292,0.2976921
Syngr1,1.6172216,3.9966655,0.10583044901576681,0.9995973924451184,0.6666666666666666,0.3564881122887425,1.7696236,0.26619953
Anp32a,1.6141067,3.9613893,0.1065042844864599,0.9995973924451184,0.6666666666666666,0.3573116585505586,1.7559967,0.26807475
