names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Tanycyte NN (for_DEGs),mean_expr_Rest (for_DEGs)
Rpl4,2.3707132,5.0739436,0.017753794122502855,0.9995550280021681,0.75,0.23142478604934294,2.0278723,0.17888492
Ap2s1,2.339892,4.872517,0.019289324985924724,0.9995550280021681,0.75,0.24223869373724352,1.9469061,0.18652982
Pfdn5,2.3392098,4.843362,0.01932458441809314,0.9995550280021681,0.75,0.2432771153364128,1.94188,0.18898493
Rpl18,2.3390546,4.9162164,0.019332605775837928,0.9995550280021681,0.75,0.2506892970960003,2.1924732,0.23391382
Rps17,2.3373492,4.9706087,0.019421032921687183,0.9995550280021681,0.75,0.2443871522182834,2.19315,0.22632074
Ddn,2.335985,4.820641,0.019492028878025924,0.9995550280021681,0.75,0.26626562108353924,1.94188,0.19171517
Cmas,2.3257525,4.8667054,0.020031763233460873,0.9995550280021681,0.75,0.28735632183908044,1.9469061,0.1872165
Psmd4,2.3005743,4.67447,0.021415706802593065,0.9995550280021681,0.75,0.3075518315608551,1.94188,0.21014622
Cox7a2,2.2728846,4.600625,0.023033139513438182,0.9995550280021681,0.75,0.30941382891108965,2.204965,0.28714502
Gas5,2.2593963,4.5218344,0.02385874800150641,0.9995550280021681,0.75,0.3652021341354245,2.0828772,0.26690117
Hint1,2.2562025,4.3520007,0.024057954344672273,0.9995550280021681,0.75,0.298385075375085,1.9469061,0.25785658
Elob,2.2477684,4.2592487,0.02459096123221346,0.9995550280021681,0.75,0.2771153364127905,1.9219315,0.26594234
Bex2,2.2346213,4.1896963,0.025442227322377425,0.9995550280021681,0.75,0.31260070899129877,1.94188,0.28311256
Rpl9,2.2157066,4.237179,0.026711602499791414,0.9995550280021681,0.75,0.36083360189064345,2.247478,0.37073344
Ube2q2,2.1819704,3.7947078,0.029111718440779363,0.9995550280021681,0.75,0.4613098435206073,1.9469061,0.35966483
Rpl15,2.1584356,3.8753839,0.030893976179406906,0.9995550280021681,0.75,0.4024062734987646,1.94188,0.34139773
Pcp4,2.1486063,3.7076035,0.03166562502067716,0.9995550280021681,0.75,0.3910552511906041,1.9219315,0.36918548
Chchd2,2.1481721,4.4286723,0.03170008190046442,0.9995550280021681,0.75,0.45686969599312494,2.5814636,0.44932854
Cd81,2.1339397,3.8115962,0.03284771812237576,0.9995550280021681,0.75,0.4035521180219859,2.107158,0.41511533
Slc1a3,2.1132576,3.6148033,0.03457872124010581,0.9995550280021681,0.75,0.3151430515271959,1.94188,0.3970751
Rpl17,2.106591,3.6512985,0.03515304511347828,0.9995550280021681,0.75,0.455580620904501,2.0828772,0.4442441
Slc22a17,2.086064,3.510037,0.036972823512541136,0.9995550280021681,0.75,0.513481576968525,2.0278723,0.45687756
Tecr,2.0805447,3.5086138,0.03747560149421258,0.9995550280021681,0.75,0.4764564758119383,1.94188,0.42179686
Mdh1,2.0783741,3.6676009,0.0376749111291438,0.9995550280021681,0.75,0.4770652057148996,2.0863528,0.4416205
Pip5k1a,2.07301,3.1603062,0.03817136289565764,0.9995550280021681,0.75,0.582912593547463,2.0278723,0.552738
Rpl41,2.0717695,3.7491622,0.03828693788175562,0.9995550280021681,0.75,0.5130518852723172,2.357751,0.5373687
Calr,2.0630565,3.557208,0.039107267484102176,0.9995550280021681,0.75,0.48207827550399257,2.0863528,0.46961352
Ly6h,2.060793,3.5624642,0.039322804555520195,0.9995550280021681,0.75,0.5460307229562789,2.2724526,0.55196536
Rpl13,2.0591495,3.5293853,0.03947992160644842,0.9995550280021681,0.75,0.4626347262505819,2.0865324,0.4769623
Eef1a1,2.0340023,3.4296386,0.0419513584951355,0.9995550280021681,0.75,0.5508647545386185,2.2724526,0.59205896
Pdcd4,2.0299714,3.0000432,0.04235944969838877,0.9995550280021681,0.75,0.5850610520285029,1.9469061,0.560102
