names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SCsg Gabrr2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Gab2,1.6833612,0.86467546,0.09230520628032991,0.9994450710143974,0.6666666666666666,0.5991187849262072,1.0787506,0.7255835
Folh1,1.6577204,2.3875082,0.09737389770864577,0.9994450710143974,0.3333333333333333,0.09517839231981659,0.3894782,0.08710364
Dcbld1,1.6492324,1.7458802,0.09910004737028826,0.9994450710143974,0.4,0.20343172374265653,0.35380304,0.11916703
Csmd3,1.6381177,0.45872805,0.10139715362848696,0.9994450710143974,0.9333333333333333,0.9004871758131537,2.85894,2.5622025
Rgs6,1.6337295,1.0172179,0.10231567485019477,0.9994450710143974,0.6666666666666666,0.5120002865740078,1.2025845,0.76572025
Erbb4,1.6292611,1.2358315,0.10325774826096272,0.9994450710143974,0.7333333333333333,0.7200530161914315,2.2964492,1.5676625
Capzb,1.609242,1.7969619,0.10756345528865015,0.9994450710143974,0.5333333333333333,0.44078664565123943,0.8784263,0.33999282
Pde4b,1.6086494,0.9106054,0.10769303852131995,0.9994450710143974,0.8,0.7636480871184983,2.191481,1.6540849
Ogt,1.6040049,0.44200635,0.10871297683344018,0.9994450710143974,0.7333333333333333,0.7741438601518842,1.346011,1.128842
Gjc3,1.6006896,1.8375947,0.1094456645469967,0.9994450710143974,0.4,0.1864163920332426,0.6440149,0.22550783
Rmst,1.5888703,1.3354388,0.11208966832768484,0.9994450710143974,0.4666666666666667,0.2502507522567703,0.68597096,0.32973823
Bcap31,1.5871247,2.3024504,0.11248441274775173,0.9994450710143974,0.4,0.2283278406648517,0.60045224,0.15428732
Rabl6,1.585363,1.4450943,0.11288388899740247,0.9994450710143974,0.6,0.559679037111334,1.0039728,0.4916714
Prickle2,1.5792291,0.366351,0.11428352217693996,0.9994450710143974,0.7333333333333333,0.8116492334145293,1.878378,1.6676835
Cntn4,1.577035,0.84443414,0.1147874783753686,0.9994450710143974,0.8,0.6514185413383006,1.6866938,1.2387731
D8Ertd738e,1.5659523,3.0535042,0.1173597786077035,0.9994450710143974,0.3333333333333333,0.13537039690500072,0.58839315,0.09211504
Nalcn,1.5648793,0.5057452,0.117611214444997,0.9994450710143974,0.6666666666666666,0.7458446768878063,1.3877473,1.1368673
