names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX Prdm12 Slit2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
App,1.7981235,0.85946965,0.07215743792385873,0.9992952143521073,0.7777777777777778,0.8994341379557338,2.3309712,1.8114064
Rnasek,1.7969451,2.761981,0.07234433357273626,0.9992952143521073,0.5555555555555556,0.31494878590358855,1.2438397,0.31039912
Rtn3,1.7744937,0.5557907,0.07598153367041663,0.9992952143521073,0.7777777777777778,0.8662703244753241,1.9410444,1.6210881
Rpl8,1.7740595,2.7789528,0.0760533102064051,0.9992952143521073,0.5555555555555556,0.3689205644294821,1.3398933,0.34406322
Scaper,1.7630612,1.4981097,0.07789017454424661,0.9992952143521073,0.6666666666666666,0.7177136308287372,1.6645541,0.9228157
Aplp1,1.7601255,2.0764577,0.07838652691481861,0.9992952143521073,0.6666666666666666,0.6128500823723229,1.6000069,0.6612727
Sparcl1,1.7584302,2.154389,0.07867432350989087,0.9992952143521073,0.6666666666666666,0.5910035097772366,1.7251168,0.7111083
Taok1,1.7201222,1.4428657,0.0854102318669832,0.9992952143521073,0.6666666666666666,0.7362294964544087,1.6504064,0.9354103
Rpl15,1.7091238,2.839322,0.08742800754131892,0.9992952143521073,0.5555555555555556,0.40240670439080295,1.3638449,0.34129745
Psmd2,1.6928124,3.876374,0.09049117513338838,0.9992952143521073,0.4444444444444444,0.20614569156937182,1.1873593,0.1442226
Degs1,1.6835507,3.729167,0.0922685365481084,0.9992952143521073,0.4444444444444444,0.20854523314948786,1.164132,0.15369174
Atp6v0c,1.656489,2.1170983,0.09762283008152432,0.9992952143521073,0.6666666666666666,0.6818279492873003,1.9625348,0.8796724
Cmss1,1.6370765,0.9249917,0.10161447803495044,0.9992952143521073,0.7777777777777778,0.8417735119260797,1.8892713,1.3755101
Acta1,1.5750766,5.959461,0.11523877444175462,0.9992952143521073,0.3333333333333333,0.04483919490007879,0.8997966,0.0231775
Dnaja1,1.5321789,2.4334006,0.12547828462423516,0.9992952143521073,0.5555555555555556,0.505551178282358,1.4280131,0.46180275
Arl3,1.5259149,2.2794266,0.12703107157117577,0.9992952143521073,0.5555555555555556,0.4962395243893704,1.2353058,0.40711343
Tspan2,1.5095,2.9699183,0.13117104221488468,0.9992952143521073,0.4444444444444444,0.25893560633192464,1.234621,0.2708312
Uba52,1.5049105,2.9611943,0.13234708257137742,0.9992952143521073,0.4444444444444444,0.22874435928658404,0.98372716,0.19474985
