names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA2-FC-IG Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Asph,11.020701,1.8280556,3.036822935584274e-28,1.9902300555890108e-25,0.7272727272727273,0.5900735294117647,1.3771526,0.60686797
Cacna2d3,11.009232,1.3558275,3.4493381717235645e-28,2.206755158909814e-25,0.7700534759358288,0.7462153979238755,2.321163,1.5238048
Mctp1,10.986382,1.2579359,4.443862274853661e-28,2.776897193612044e-25,0.7700534759358288,0.7429714532871973,2.1945004,1.4666959
Kcnq5,10.978656,1.6150157,4.840725382094579e-28,2.9393286927628553e-25,0.7807486631016043,0.7822952710495963,2.8164725,1.8134011
Cracdl,10.973601,1.543973,5.119218265388229e-28,2.9902911911082982e-25,0.7700534759358288,0.5924524221453287,1.3932384,0.71215665
Tafa1,10.942597,1.5477684,7.210380841230543e-28,4.1221900681673338e-25,0.8288770053475936,0.7911620530565168,2.9010375,1.9287124
Il16,10.928065,2.8186302,8.46336332178745e-28,4.641032090947527e-25,0.5668449197860963,0.13256920415224913,0.4525062,0.077991225
Plch2,10.914702,2.40833,9.805018996622582e-28,5.269217208784975e-25,0.6203208556149733,0.23875432525951557,0.5841307,0.13929395
Ntsr2,10.86878,2.5163832,1.6235776705361103e-27,8.389525386020246e-25,0.5721925133689839,0.1228013264129181,0.48923373,0.1046285
Dnah9,10.722345,2.070966,7.995023562756721e-27,3.836183627344162e-24,0.6684491978609626,0.41295415224913495,1.0907481,0.3855395
Arhgef28,10.717963,1.5677094,8.382887180572537e-27,3.951722430561124e-24,0.7486631016042781,0.5640138408304498,1.2504772,0.61012685
Gm43154,10.711147,3.9734247,9.023623966955472e-27,4.180427172277474e-24,0.5133689839572193,0.08881199538638986,0.58923364,0.049832944
St8sia6,10.643618,3.8028316,1.8673544802722312e-26,8.292106100635967e-24,0.5026737967914439,0.0707540369088812,0.44252235,0.0391092
Map1b,10.642867,1.0018806,1.8824654713018013e-26,8.292106100635967e-24,0.9358288770053476,0.8567257785467128,2.2612119,1.6661531
Abcc4,10.623529,2.306086,2.3163349434664974e-26,1.003869676305561e-23,0.6096256684491979,0.22606689734717417,0.55245554,0.13900642
2900026A02Rik,10.595525,1.8835204,3.1258254901935235e-26,1.2921681680230766e-23,0.6844919786096256,0.35885236447520186,0.726721,0.25427744
Slc24a2,10.543051,1.0094672,5.469536669145954e-26,2.1299485550717652e-23,0.8556149732620321,0.8152753748558247,2.4359992,1.8212371
Kalrn,10.469728,0.8148868,1.1898372824260284e-25,4.567275396969626e-23,0.8128342245989305,0.8472462514417531,2.7963755,2.2768233
Spock1,10.427164,1.508495,1.8636787100007897e-25,6.955145408016836e-23,0.7379679144385026,0.6105103806228374,1.686785,0.93500894
