names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX Nkx2-1 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
App,1.2886609,0.46243688,0.19751598870587994,0.9991945293973147,0.75,0.8994591496830115,2.0861495,1.8114558
Rpl18a,1.282072,2.6933565,0.1998173985216476,0.9991945293973147,0.4166666666666667,0.31419463447831225,1.1876909,0.30189392
Rpl36,1.262896,2.623972,0.20662657429490605,0.9991945293973147,0.4166666666666667,0.3107202980049429,1.0931128,0.2789729
Rpl13,1.2421622,1.9270653,0.21417671754700573,0.9991945293973147,0.5,0.4626598373867259,1.2010736,0.47688174
Uqcr11,1.2211957,2.0269594,0.22201192647296908,0.9991945293973147,0.4166666666666667,0.2922024427809019,0.8432362,0.28129333
Mrpl36,1.2142844,4.3215256,0.22463911456962937,0.9991945293973147,0.25,0.06214405960098857,0.6549191,0.045224037
G6pdx,1.2123686,3.6383927,0.2253712933767431,0.9991945293973147,0.25,0.05766682187757441,0.3522223,0.033343993
Gabra2,1.1928883,0.33271718,0.23291314049766176,0.9991945293973147,0.5833333333333334,0.7697983452129374,1.6105865,1.4304839
Rpl24,1.1926197,2.5029397,0.23301835442835528,0.9991945293973147,0.4166666666666667,0.3514452523371181,1.1824719,0.33585024
Atp6v0e2,1.174142,2.1386302,0.24033817496949805,0.9991945293973147,0.4166666666666667,0.322396933987607,0.80364656,0.2469854
Fgf12,1.1624501,0.13342312,0.24505267390791652,0.9991945293973147,0.75,0.8552956767792542,2.260374,2.1779475
Emc8,1.130687,2.721746,0.25818683925666674,0.9991945293973147,0.3333333333333333,0.20219205558938358,0.59120184,0.11529659
Zfp428,1.1270703,3.7627141,0.2597127715804791,0.9991945293973147,0.25,0.07862029442315269,0.52705806,0.049861033
Cox8a,1.1200157,1.7011154,0.2627070348920012,0.9991945293973147,0.5,0.4622300225652781,1.1502174,0.5091992
Abhd18,1.1131761,1.9189124,0.2656327796024359,0.9991945293973147,0.5,0.5140227085497332,1.112801,0.43194285
Hsp90aa1,1.1125315,1.0841237,0.265909656665986,0.9991945293973147,0.6666666666666666,0.7957305061069523,1.6743397,1.113453
Rplp1,1.0969902,1.2579222,0.27264566047062144,0.9991945293973147,0.5833333333333334,0.6539274329309789,1.3878506,0.81405467
Ndufa7,1.0581189,2.5115936,0.29000121503735843,0.9991945293973147,0.3333333333333333,0.210931623625488,0.71687984,0.16871652
