names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L5/6 IT TPE-ENT Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ank2,15.339768,0.68241787,4.146715106701454e-53,3.0950620810296687e-50,0.9746376811594203,0.9335020791900199,3.1537623,2.7062283
Oxr1,15.314624,1.2036246,6.106373511621275e-53,4.434547466412531e-50,0.9492753623188406,0.855035255830772,2.797554,2.03971
Rspo2,15.149347,2.0289233,7.652296885478133e-52,5.410979402968353e-49,0.8007246376811594,0.34297595371542217,0.9944709,0.34880483
Npas2,15.048384,1.6301508,3.5377051347401273e-51,2.4373881274478772e-48,0.8804347826086957,0.4831676007955162,1.0838432,0.4897451
Elavl4,14.937409,1.5723585,1.8814959940402603e-50,1.2638949339965447e-47,0.894927536231884,0.5359971072138854,1.2190166,0.5886703
Gria4,14.78289,1.473631,1.8888339298800728e-49,1.2378772608750624e-46,0.9347826086956522,0.7908154040860604,2.5782135,1.6833102
A830018L16Rik,14.75434,1.5140357,2.8849951187929688e-49,1.8457099724277875e-46,0.9347826086956522,0.6870728620502622,2.0078473,1.1809243
Ppp2r2b,14.726859,1.2642157,4.333864367185369e-49,2.708161291773741e-46,0.9456521739130435,0.7677454348219128,2.3153777,1.5687308
Gm49678,14.69401,1.7976011,7.042034600726166e-49,4.300442493670729e-46,0.8913043478260869,0.5528114265051528,1.810798,0.9047988
Grik3,14.669293,1.9005407,1.0139564515674183e-48,6.0544466341370064e-46,0.8043478260869565,0.3575845235942868,0.9485069,0.35325095
Cobl,14.54364,1.6247725,6.409207131346686e-48,3.743812948245336e-45,0.8731884057971014,0.42798770565901284,1.0135609,0.45057088
Kcnq3,14.529562,1.1594199,7.872251422892136e-48,4.500582887938546e-45,0.9492753623188406,0.8114265051527753,2.433849,1.7329278
B3galt1,14.512077,1.0346366,1.0159638450551548e-47,5.687280940965002e-45,0.9492753623188406,0.8525040679804737,2.535202,1.897868
Nkain2,14.466744,1.014334,1.9655782310718706e-47,1.077858919773493e-44,0.9710144927536232,0.9298137768938709,3.8979352,3.2153351
Cacnb4,14.39713,1.2301594,5.393725142489833e-47,2.8985878915740363e-44,0.9202898550724637,0.7680347134333755,2.0704045,1.3745251
Ext1,14.393641,1.30096,5.672875136491821e-47,2.9888265670104945e-44,0.927536231884058,0.7743988428855542,2.2040207,1.452024
