names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NLL Gata3 Gly-Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Cpe,1.7454954,0.6940774,0.08089866333914705,0.48488670174501036,0.65,0.8457597363046827,1.9155617,1.5215403
Hsp90ab1,1.6719931,1.4213718,0.09452566916476471,0.5396015998421984,0.65,0.809465802013543,1.933274,1.1654395
App,1.6391467,0.28868055,0.10118270999405432,0.5654699287729283,0.65,0.8995736447995414,1.9814737,1.811452
Arpp21,1.4117321,0.31527328,0.15802885513717246,0.7605651688224654,0.75,0.7993980867758231,2.0906518,1.9018617
Gprasp1,1.3746966,0.8980958,0.16922552190033446,0.7949457645912564,0.55,0.7530722654150693,1.4513226,1.0130537
Cdh23,1.2875314,2.8218975,0.19790912527167992,0.8811629156669494,0.3,0.18523162910680377,0.78975475,0.15710057
Tafa1,1.2452804,0.6216105,0.21302868378204798,0.9241331503428526,0.85,0.7913725771201319,2.3139417,1.9349506
Apoe,1.134715,1.9141762,0.2564947859184197,0.998783421275082,0.4,0.3469241517681201,1.1244947,0.43923348
Sparcl1,1.1175426,1.5052773,0.26376237386116497,0.998783421275082,0.5,0.5910931174089069,1.3713971,0.71096206
Lars2,1.1146297,0.8553234,0.2650091175957989,0.998783421275082,0.6,0.7973917093619003,1.6153673,1.1716753
Gm10062,1.1031723,3.6968863,0.26995233789409834,0.998783421275082,0.2,0.0710472573537315,0.56645626,0.057099205
Aldoa,1.0969858,1.8510708,0.2726475691289224,0.998783421275082,0.45,0.46562287270251873,1.1862277,0.4888982
Ttc3,1.0730307,-0.26986352,0.28325734205848163,0.998783421275082,0.6,0.8959549998208591,1.7405071,1.8971705
Ptgds,1.053431,1.8452771,0.2921434954492045,0.998783421275082,0.4,0.3653398301744832,1.0944937,0.44029987
Calm2,1.0482295,0.6505898,0.294532927744661,0.998783421275082,0.6,0.8575113754433736,1.7630314,1.405328
Atrx,1.0429723,0.44635192,0.29696112100449124,0.998783421275082,0.55,0.805058937336534,1.4171438,1.1920009
Rps11,1.0410304,2.1051831,0.2978614552237263,0.998783421275082,0.35,0.293325212281896,0.85042393,0.27124307
Aamp,0.98407614,2.8672433,0.325078071341656,0.998783421275082,0.25,0.16022356776897997,0.63931674,0.11572182
mt-Nd4,0.9593719,1.8425902,0.3373714005370646,0.998783421275082,0.4,0.42667765397155244,1.1485634,0.47030658
Fundc2,0.9400774,3.1593344,0.34717784632838244,0.998783421275082,0.2,0.09286661173014224,0.42513543,0.057608522
Vps28,0.93106127,2.8244188,0.35182185833784796,0.998783421275082,0.2,0.09261581455340188,0.40986022,0.06907964
Hsd17b10,0.9299377,4.2229257,0.35240331792488633,0.998783421275082,0.15,0.03489663573501487,0.40854812,0.026665151
Rims1,0.9234739,-0.009914881,0.35576030975261874,0.998783421275082,0.75,0.8443982659166637,2.1689353,2.1750243
Rpl18,0.9066345,2.2255912,0.36460010474891513,0.998783421275082,0.3,0.25072552040414176,0.802814,0.23378685
Ndufa4,0.9048868,1.6674092,0.36552537672068275,0.998783421275082,0.4,0.40797535022034326,1.0070022,0.43629175
Gabrb1,0.8963839,-0.12955986,0.37004778250034553,0.998783421275082,0.7,0.8454372827917308,1.9987862,2.076886
Apod,0.8879781,2.292074,0.3745525562959968,0.998783421275082,0.25,0.1734083336319014,0.67970014,0.18126038
Cst3,0.85099804,1.3301698,0.39477044089333724,0.998783421275082,0.5,0.5869370499086382,1.4142146,0.80567724
Olfm1,0.83811194,0.7545048,0.4019678558431993,0.998783421275082,0.55,0.7482712908888969,1.4192855,1.0500448
Sco2,0.82544774,3.3299482,0.4091174580561857,0.998783421275082,0.15,0.04940704381784959,0.3030098,0.034591336
Ctsl,0.81973284,2.4916632,0.41236840799198904,0.998783421275082,0.25,0.18748880369746695,0.6511917,0.1511667
Rpl29,0.80616707,2.0079272,0.4201465303938414,0.998783421275082,0.3,0.2504388950592956,0.6925673,0.22181614
Gphn,0.7828638,-0.4173063,0.43370708335201724,0.998783421275082,0.6,0.8812654508974956,1.7127066,1.9555893
Rps29,0.7721693,1.4103444,0.4400141595539847,0.998783421275082,0.45,0.5171796066067142,1.0972955,0.5601646
Timm10,0.76068413,2.759249,0.4468457509785573,0.998783421275082,0.15,0.05668016194331984,0.25824857,0.0426012
