names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NDB-SI-ant Prdm12 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Gan,1.7593269,5.099433,0.07852200129160246,0.999522987190554,0.6666666666666666,0.23796906330564307,1.77428,0.1334911
Mterf3,1.7254924,4.4223447,0.08443878907088771,0.999522987190554,0.6666666666666666,0.2646448009166428,1.5163932,0.15343694
Brf1,1.7145722,4.330151,0.08642369861907347,0.999522987190554,0.6666666666666666,0.2721999427098253,1.5163932,0.16278009
Alg13,1.7135339,4.3126693,0.08661437347126133,0.999522987190554,0.6666666666666666,0.27184187911773133,1.5163932,0.16460973
Glb1,1.7057287,4.252208,0.08805861999745848,0.999522987190554,0.6666666666666666,0.2778215411057004,1.5238248,0.17258593
Erbb4,1.6953813,2.2654653,0.09000310819805786,0.999522987190554,1.0,0.7200300773417359,2.9577322,1.5679047
Gm26618,1.6929824,4.1450787,0.09045880582127955,0.999522987190554,0.6666666666666666,0.29579633342881695,1.5238248,0.18473113
Pdia6,1.6756892,4.0392814,0.09379908101058058,0.999522987190554,0.6666666666666666,0.2807218562016614,1.5238248,0.19748361
Gm20754,1.6707841,1.6740518,0.09476432876283816,0.999522987190554,1.0,0.7451303351475222,2.612359,1.6010519
Mms19,1.6557823,3.9311373,0.09776591001076422,0.999522987190554,0.6666666666666666,0.3270910913778287,1.5163932,0.20953204
Ly6e,1.6519871,4.2375054,0.09853717758185329,0.999522987190554,0.6666666666666666,0.3036379260956746,1.743158,0.2231246
Mfsd14a,1.6518439,3.9264731,0.09856637687465757,0.999522987190554,0.6666666666666666,0.3249785161844744,1.5163932,0.21014313
Pex3,1.6477981,3.9192908,0.09939411505772516,0.999522987190554,0.6666666666666666,0.3343955886565454,1.5163932,0.21108924
Tmem59l,1.6465092,4.1567273,0.09965898107709913,0.999522987190554,0.6666666666666666,0.3144156402177027,1.77428,0.24255532
Tmem50a,1.6447548,3.841431,0.10002039750129374,0.999522987190554,0.6666666666666666,0.2976224577484961,1.5163932,0.22158569
Zfp810,1.6433583,4.2933545,0.10030880180379423,0.999522987190554,0.6666666666666666,0.352370380979662,1.77428,0.22290234
Ndufa5,1.6429287,3.780468,0.1003976748410699,0.999522987190554,0.6666666666666666,0.2667931824692065,1.5163932,0.23012787
Timm23,1.6408521,3.8992631,0.10082811303616745,0.999522987190554,0.6666666666666666,0.3311730163276998,1.5238248,0.21558315
Sirt2,1.6378088,4.0571637,0.1014615827914598,0.999522987190554,0.6666666666666666,0.3362933256946434,1.77428,0.25782692
Nrip3,1.6363766,3.5867848,0.10176078087280475,0.999522987190554,0.6666666666666666,0.3297049556001146,1.5163932,0.25923592
Cwc22,1.6322234,4.2000146,0.10263242883614629,0.999522987190554,0.6666666666666666,0.36465196218848467,1.77428,0.23616831
Vwc2l,1.6260294,3.4103732,0.10394340904540486,0.999522987190554,0.6666666666666666,0.3106201661415067,1.7215033,0.3590589
Rab31,1.6137487,3.4516785,0.10658195427591091,0.999522987190554,0.6666666666666666,0.3124462904611859,1.5238248,0.28374854
Tspan2,1.612782,3.5138516,0.10679188697455602,0.999522987190554,0.6666666666666666,0.2589515898023489,1.5163932,0.271008
Pdgfc,1.6075188,3.309369,0.10794060845948321,0.999522987190554,0.6666666666666666,0.363685190489831,1.5238248,0.30903727
