names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MEA Slc17a7 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Nrg1,8.395715,0.556913,4.6306832548000366e-17,1.956390865667877e-15,0.8517618469015796,0.8486424671683636,2.6097682,2.2578137
Atp2b1,8.18084,0.28340197,2.8187203187962624e-16,9.991954481009971e-15,0.8566221142162819,0.9002877379371403,2.186259,2.0139062
Calm1,8.153964,0.78793657,3.5218527178880553e-16,1.219486888268712e-14,0.818955042527339,0.8376494023904383,1.7548708,1.3270717
Atp1b1,7.794058,0.5978817,6.489084468897507e-15,1.7920010244529908e-13,0.8383961117861483,0.8608159952781467,1.8211262,1.4865416
Hspa8,7.1689587,0.99547046,7.557031852192134e-13,1.511969068268076e-11,0.6865127582017011,0.6708351778072894,1.2774646,0.8319653
Cntnap2,7.1437306,0.37231743,9.083125422617898e-13,1.7864223840830035e-11,0.9210206561360875,0.9141212926073484,3.0204506,2.7766352
Sgcz,6.9976482,0.56061274,2.602946395395171e-12,4.757902696888996e-11,0.772782503037667,0.7471963995868378,2.019632,1.6921569
Grik1,6.7229223,0.678259,1.7811583797532634e-11,2.9005894341800114e-10,0.5710814094775213,0.49727017854507893,1.0234569,0.7486324
Unc5d,6.076439,0.52320576,1.2288062007036328e-09,1.567807341543524e-08,0.669501822600243,0.6374870886823079,1.4560549,1.1904544
Mgat4c,6.022238,0.413731,1.72021999689679e-09,2.15087535209943e-08,0.724179829890644,0.7359819979341892,1.7483516,1.5177723
App,5.758344,0.1205574,8.49431351162231e-09,9.762284176958574e-08,0.8019441069258809,0.9023535487678914,1.8798585,1.8094993
Reln,5.7532187,0.7278377,8.756019931364696e-09,1.0028740646025975e-07,0.39246658566221143,0.2886232846392209,0.5618984,0.37519222
Epha6,5.643778,0.27741522,1.6635871877035522e-08,1.834999496452974e-07,0.8833535844471446,0.885974620038365,2.730618,2.5520535
Hexb,5.353026,0.66654485,8.649549696161917e-08,8.777792888774929e-07,0.6524908869987849,0.6801313265456692,1.1626503,0.869208
Dlx6os1,5.249915,0.54183006,1.5216923137189393e-07,1.5021261010149852e-06,0.3754556500607533,0.2758226353843884,0.539195,0.39936316
Sv2b,5.1884665,0.46175697,2.1203277030186792e-07,2.0538286005808187e-06,0.6488456865127582,0.6210343809945403,1.1779616,0.9677797
Cpe,5.1725154,0.2685112,2.3096353629733722e-07,2.2299641467155772e-06,0.7739975698663426,0.8477940091485908,1.66563,1.517456
Gm32647,5.1354985,0.6475558,2.813974415129807e-07,2.692716970603202e-06,0.4556500607533414,0.38892577836800946,0.74843884,0.53704375
Adarb2,5.103135,0.5046665,3.3407255230605833e-07,3.168559647181005e-06,0.6087484811664642,0.5814150804190645,1.3255554,1.0812353
Chgb,5.036135,0.987946,4.750250098215659e-07,4.425770462519236e-06,0.5650060753341434,0.5418326693227091,0.9368686,0.5780157
Zfp804b,5.0082393,0.5309018,5.493025381531156e-07,5.084312504365902e-06,0.520048602673147,0.4656190054596429,0.89782614,0.69640315
Hs3st4,4.9689445,0.44775492,6.731829415722633e-07,6.177740997283714e-06,0.6233292831105711,0.604655452265014,1.3439652,1.12428
Ttc3,4.9564533,0.06745691,7.179155023752377e-07,6.561356989395454e-06,0.8116646415552855,0.8982957060646304,1.9357629,1.8958828
Tafa1,4.9442167,0.35643098,7.645056991315451e-07,6.968204930686777e-06,0.7776427703523694,0.7918326693227091,2.1436353,1.9288939
mt-Co3,4.9190764,0.7290702,8.695344534748124e-07,7.864150375250154e-06,0.6184690157958688,0.6077541685111406,1.0768645,0.77364516
Calm2,4.818555,0.3956783,1.4460163868970934e-06,1.2722482094277963e-05,0.7885783718104495,0.8594141950715656,1.6125454,1.3993021
Slc17a7,4.277594,0.49308163,1.889241620923964e-05,0.00014352253987624233,0.675577156743621,0.7158403423343662,1.1948695,0.9694091
Sparcl1,4.252781,0.72480303,2.1113231884727073e-05,0.0001593574552647799,0.6002430133657352,0.5907481186365648,0.9878849,0.70304364
Gpm6a,4.2331586,0.04521536,2.304318234924321e-05,0.00017295260048161035,0.8226002430133658,0.8944223107569721,2.0234058,1.9962595
Pde1a,3.9728193,0.26861265,7.102690524714713e-05,0.0004997363037420381,0.7521263669501823,0.7635384388372436,1.778163,1.625962
Lrrtm4,3.7351673,0.42529017,0.00018759039731020116,0.0012458116598430809,0.9428918590522479,0.9198022723919138,3.3137503,3.0313761
C1ql3,3.4794466,0.5518169,0.0005024502820712575,0.003108643582605271,0.5358444714459295,0.5083370222812454,0.77832156,0.58970594
Rmst,3.4643137,0.19000588,0.0005315859166476722,0.003273828462141405,0.3292831105710814,0.24797107864836948,0.367476,0.3287898
C130073E24Rik,3.450662,0.3718625,0.0005592134091056874,0.0034259152536866896,0.3973268529769137,0.3420761398849048,0.49802154,0.40466714
Brinp3,3.4313822,0.29332492,0.0006005137557369325,0.003666395050363866,0.6123936816524909,0.6317323299395012,1.2307515,1.0912056
mt-Co1,3.3951156,0.7204523,0.0006859962975959705,0.0041524488660517524,0.5236938031591738,0.5143868968570163,0.8536773,0.5978875
Rorb,3.3471937,0.10082673,0.0008163412964771285,0.004871217107781578,0.3195625759416768,0.23981850376272687,0.33669665,0.31721133
