names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB Dopa-Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Dlx1,3.0611625,3.9235857,0.002204794936092448,0.17424364686118846,0.4,0.05801619723356984,0.44133,0.03590695
Gad1,3.0496852,2.522917,0.002290812967533567,0.17945814704847504,0.52,0.2653192861750161,0.9604163,0.24733633
Magi1,3.0483453,1.0296844,0.0023010540739882906,0.17973640397693422,0.76,0.7490862180176306,1.7183461,1.1758996
Dlgap1,3.033977,0.72402436,0.002413527249120026,0.18528993481101458,0.92,0.9190855013258797,3.4177446,2.9370425
Prkg2,2.9724102,2.6154134,0.0029547163931681114,0.20952948600061957,0.48,0.2070880814161829,0.6826674,0.14823312
Stac,2.9570744,3.5092182,0.003105732802508719,0.21732041771721167,0.44,0.16322654626245253,0.87723124,0.11629519
Dnm3,2.9260302,1.0703626,0.003433175434607862,0.23178247218068657,0.72,0.7279796459542751,1.6787392,1.1235191
Synpr,2.9165137,1.7986401,0.003539673332739823,0.2363362538403545,0.64,0.546405790869347,1.7735276,0.8779959
Pax6,2.8955197,4.4316673,0.0037853120051286734,0.2444983980235756,0.36,0.030423564824768868,0.45922112,0.026649268
Syn2,2.885544,0.59021527,0.0039073786707456105,0.250131479370555,0.76,0.8032681143840035,1.8286176,1.4975753
Zfp608,2.8540657,1.2897502,0.004316360693684705,0.26077471934787005,0.64,0.6599655987959578,1.4303769,0.833259
Prrc2c,2.8527753,0.8944085,0.004333925758770432,0.26077471934787005,0.8,0.7723070307460761,1.4813905,1.0397798
Rasgrf1,2.8339405,0.8021687,0.00459779048423303,0.2695638987882301,0.8,0.7499462481186842,1.6896251,1.2622455
Rims2,2.8316326,0.5307966,0.004631103006722922,0.2699300168994466,0.76,0.8095033326166415,2.0484598,1.7362963
Erbb4,2.8013082,1.6004308,0.0050895886600765125,0.28610302781643493,0.76,0.7200243675195298,2.5259025,1.5671955
Dscam,2.7832427,0.9170181,0.005381854707527417,0.2963328606378314,0.68,0.7568623235146563,2.0608883,1.5324172
Nrxn3,2.7562435,0.93086404,0.005846945564866852,0.3119103489537135,0.96,0.9292625241883465,3.7273405,3.103679
Pdzd2,2.7467515,1.9538068,0.006018870156441119,0.3147154708998841,0.56,0.46384290116820753,1.1994369,0.4690163
Msi2,2.7232265,1.4547772,0.006464769479552233,0.32590685912864636,0.64,0.6531570271626174,1.4944955,0.81588966
Lrrc3b,2.6506665,2.3556895,0.008033312742215888,0.3557427623125614,0.48,0.31817530280226475,0.82193255,0.22240762
Atp1a3,2.6152053,1.113628,0.008917383637271929,0.37853096103238026,0.72,0.7067297355407439,1.3819716,0.866437
Pcdh7,2.6031451,0.95647043,0.009237286782080339,0.3868233408642715,0.76,0.785601662724862,2.2510939,1.6825362
Peli2,2.5980082,2.1232238,0.009376624091627159,0.38950214821524126,0.48,0.25689815810220024,0.6945918,0.20717469
Whrn,2.595812,2.9144313,0.00943676585367034,0.38950214821524126,0.4,0.1389306959076901,0.5657808,0.09614088
Thsd4,2.5750914,2.098074,0.01002136431928211,0.4031048791304047,0.52,0.3802766430158389,1.0346235,0.3532643
