names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L4/5 IT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Pak5,20.663818,1.3809296,7.33303067691102e-95,5.1852245865420815e-92,0.9257028112449799,0.73819852003062,1.9199483,1.1740141
9130024F11Rik,20.430054,2.2130759,9.040245135289979e-93,6.22849709705748e-90,0.7329317269076305,0.2269529398899136,0.59943974,0.16304485
Sorbs2,20.362444,1.2902023,3.601628835059284e-92,2.419394169951074e-89,0.9377510040160643,0.779535595815259,2.3340082,1.5708079
Nyap2,20.34688,1.5682042,4.947850353795036e-92,3.242652170889576e-89,0.9156626506024096,0.5981482156526811,1.5551798,0.815304
Cntn5,20.142797,1.8356557,3.112530338998142e-90,1.9912783383066687e-87,0.9477911646586346,0.763460066343455,2.9414682,1.7962794
Negr1,19.98748,1.1710863,7.078239369705077e-89,4.423076554976173e-86,0.9598393574297188,0.9014325811978274,3.3076355,2.5406911
Sorcs1,19.983997,2.036602,7.58973832316879e-89,4.634915198716941e-86,0.8594377510040161,0.45784274414026904,1.5500172,0.64429575
Cdh12,19.95858,1.6507208,1.2624960414551892e-88,7.538504140866875e-86,0.9257028112449799,0.6811504392519958,2.1773663,1.2503283
Pamr1,19.937899,3.0215743,1.9091901763133784e-88,1.1152160877726191e-85,0.6104417670682731,0.10334268946159735,0.4311485,0.064267784
Nlk,19.733425,1.2114036,1.1136148800083638e-86,6.3665599629414335e-84,0.9317269076305221,0.7531440236211862,1.7935523,1.1518034
Ankfn1,19.663548,3.5070312,4.42660902442884e-86,2.4779788434667276e-83,0.6044176706827309,0.1242663944883899,0.7481799,0.09340944
Hs3st2,19.622803,2.2898319,9.875687433157485e-86,5.415504516917175e-83,0.6987951807228916,0.21598075310757117,0.65162927,0.17215839
Cdh6,19.566362,2.1865578,2.992945427628481e-85,1.6084088728075455e-82,0.7248995983935743,0.27605438705209057,0.80099547,0.23878671
