names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MY Lhx1 Gly-Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Rps23,2.145892,3.3981423,0.03188160166292092,0.9993843363596849,0.6666666666666666,0.38499552372426143,1.8164366,0.39776212
Ndufa4,2.1325998,3.4698305,0.032957574925768514,0.9993843363596849,0.6666666666666666,0.40791405550581916,1.9546567,0.4363743
Usp46,2.0848744,2.87043,0.037080700458714755,0.9993843363596849,0.6666666666666666,0.464136078782453,1.4662355,0.37552702
Atp5l,2.0606194,3.3406596,0.03933937046615737,0.9993843363596849,0.6666666666666666,0.46402864816472694,1.817841,0.41158003
Marcks,1.9750682,2.8607872,0.048260404521215196,0.9993843363596849,0.6666666666666666,0.47294538943598924,1.6705302,0.46625593
Rps15,1.9613203,2.8434892,0.04984166925239631,0.9993843363596849,0.6666666666666666,0.48214861235452106,1.6879789,0.47884768
Cox6c,1.9343561,2.781385,0.05306935446203,0.9993843363596849,0.6666666666666666,0.43341092211280213,1.5832695,0.44662175
Pllp,1.8838711,4.7967067,0.05958241002745597,0.9993843363596849,0.5,0.0969740376007162,1.2497772,0.085784815
mt-Co3,1.8377155,2.8710563,0.06610432985619069,0.9993843363596849,0.6666666666666666,0.6080572963294539,2.2700355,0.78226024
Fcho2,1.8288541,2.1541166,0.06742146843569036,0.9993843363596849,0.6666666666666666,0.6527842435094002,1.713707,0.70415646
mt-Co1,1.8044724,2.4398913,0.07115728001970716,0.9993843363596849,0.6666666666666666,0.5146284691136974,1.7069716,0.60518676
Scd2,1.7943197,2.53301,0.07276215416371419,0.9993843363596849,0.6666666666666666,0.5443151298119964,1.7390342,0.5936849
Atp1b1,1.7743435,1.709331,0.07600635953019276,0.9993843363596849,0.8333333333333334,0.8601611459265891,2.511999,1.4961805
Uqcc2,1.749506,4.313538,0.0802035885974741,0.9993843363596849,0.5,0.1653715308863026,1.3804337,0.13950051
Fabp5,1.7419864,4.173269,0.08151081730243966,0.9993843363596849,0.5,0.1658012533572068,1.361441,0.14914258
Nme2,1.7288462,4.1453424,0.08383663316676174,0.9993843363596849,0.5,0.16816472694717996,1.2495633,0.13159288
Cox14,1.7178832,4.1315374,0.08581791104440098,0.9993843363596849,0.5,0.17489704565801253,1.2305708,0.12949325
Rpl36al,1.6830198,4.075537,0.09237127195860989,0.9993843363596849,0.5,0.19523724261414502,1.3804337,0.16258544
Hspe1,1.6670945,3.5468504,0.09549563249070117,0.9993843363596849,0.5,0.1803043867502238,1.0330815,0.14396746
Psmc5,1.6619041,4.2320175,0.09653199857519766,0.9993843363596849,0.5,0.21056401074306177,1.4046879,0.15151623
Fxyd6,1.6003296,3.4222448,0.10952547935508325,0.9993843363596849,0.5,0.22363473589973143,1.0330815,0.15599032
Mrps33,1.5965065,3.7419245,0.11037574879149054,0.9993843363596849,0.5,0.23022381378692927,1.2305708,0.16645925
Mef2c,1.5933417,1.1233263,0.11108355162235511,0.9993843363596849,0.8333333333333334,0.7807699194270367,2.1621795,1.5107187
Uba52,1.5806066,3.5327814,0.11396803087329688,0.9993843363596849,0.5,0.22875559534467324,1.2495633,0.19477747
Atp5e,1.5672637,3.694652,0.11705306592896618,0.9993843363596849,0.5,0.24777081468218443,1.4898987,0.23540439
Atp5g3,1.5608329,3.6388562,0.11856320338302075,0.9993843363596849,0.5,0.24784243509400178,1.387169,0.21600996
Afdn,1.549794,1.3921806,0.12119097705548795,0.9993843363596849,0.6666666666666666,0.6851208594449418,1.4904896,0.8373853
Nfxl1,1.5452113,3.4193122,0.122295157559259,0.9993843363596849,0.5,0.25976723366159354,1.0330815,0.15628454
H2az1,1.5354891,3.6111267,0.12466375035944628,0.9993843363596849,0.5,0.26180841539838856,1.387169,0.21977276
Srrm2,1.5194877,1.332552,0.12863976756318177,0.9993843363596849,0.6666666666666666,0.7815577439570277,1.821187,1.1172609
Ndufb5,1.4943719,3.4250846,0.13507845814254965,0.9993843363596849,0.5,0.2730528200537153,1.2670823,0.21305132
Ube2b,1.4894601,1.2939237,0.1363662643901622,0.9993843363596849,0.6666666666666666,0.7106535362578335,1.4662355,0.85836196
