names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PAG-SC Neurod2 Meis2 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Zfp292,1.7220608,1.7988062,0.08505850419026348,0.9993843363596849,0.6666666666666666,0.694288272157565,1.6525146,0.7943082
Pde4dip,1.7050215,0.9977326,0.0881904188270932,0.9993843363596849,0.8333333333333334,0.7520859444941809,1.6933423,1.1700946
Cend1,1.6841338,3.7837393,0.09215582449624735,0.9993843363596849,0.5,0.17937332139659803,1.076397,0.13140465
Slc35f1,1.668968,1.2719383,0.09512372543023868,0.9993843363596849,0.8333333333333334,0.655183527305282,1.6933423,1.042973
Pias2,1.651245,1.2565141,0.09868854657033924,0.9993843363596849,0.6666666666666666,0.7022023276633841,1.4341669,0.8491936
Cdh23,1.6453205,3.6071627,0.09990372744380349,0.9993843363596849,0.5,0.1852461951656222,1.1237968,0.157346
A230006K03Rik,1.6345855,1.3557779,0.10213596842872685,0.9993843363596849,0.8333333333333334,0.6662130707251567,1.9299387,1.1942266
Calm1,1.6179513,0.99608976,0.1056730993963057,0.9993843363596849,0.8333333333333334,0.8370993733213966,1.8900199,1.3395591
Galntl6,1.6177994,1.3295027,0.1057058441210257,0.9993843363596849,1.0,0.8136078782452999,2.8125937,1.9780266
Rbm26,1.6130395,1.2405707,0.10673592870011428,0.9993843363596849,0.6666666666666666,0.7177081468218443,1.4775567,0.8884595
Foxn3,1.6008866,1.8122739,0.10940203234897514,0.9993843363596849,0.6666666666666666,0.7002327663384065,1.8772894,0.9463424
Marchf1,1.585012,1.0307188,0.11296361981077768,0.9993843363596849,1.0,0.8369561324977619,2.696202,2.0497556
Syt5,1.5716945,3.4930453,0.11602143364439776,0.9993843363596849,0.5,0.23928379588182633,1.0574607,0.1543412
Klhl20,1.5685043,3.450718,0.11676348554120226,0.9993843363596849,0.5,0.24472694717994628,0.9901748,0.14386052
Hnrnpc,1.5585288,1.7962339,0.11910793888620916,0.9993843363596849,0.6666666666666666,0.6653536257833482,1.5224534,0.7089093
Dleu2,1.5564274,1.5554446,0.11960649417900493,0.9993843363596849,0.6666666666666666,0.6561862130707251,1.538647,0.8085437
Zfp438,1.552579,3.4963014,0.12052374776598457,0.9993843363596849,0.5,0.2597314234556849,1.10933,0.1655953
Lyn,1.5399451,2.9887455,0.12357374169003801,0.9993843363596849,0.5,0.20762757385854969,1.0466045,0.20929152
Sap30bp,1.5379956,3.2069743,0.12404970153551559,0.9993843363596849,0.5,0.25822739480752016,0.9049724,0.14789772
Gphn,1.5371348,0.56961566,0.12426032035474724,0.9993843363596849,0.8333333333333334,0.8810743061772606,2.3029125,1.9553407
Hcn1,1.5355903,1.0671121,0.12463889443822287,0.9993843363596849,0.8333333333333334,0.748898836168308,2.1675746,1.5460082
Serinc1,1.5300709,1.8199751,0.1259991864100522,0.9993843363596849,0.6666666666666666,0.7023813786929275,1.7191311,0.831643
P2ry12,1.5296152,3.4560215,0.12611201893330476,0.9993843363596849,0.5,0.2412891674127126,1.3535914,0.23241702
Zfp945,1.5293872,2.987035,0.12616846469887835,0.9993843363596849,0.5,0.25815577439570275,0.84191436,0.1540861
Zfp280d,1.5050309,0.9613118,0.13231612950886487,0.9993843363596849,0.6666666666666666,0.7393375111906894,1.4341669,0.97135067
