names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IT EP-CLA Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Spag16,11.253952,5.423155,2.2144279561153123e-29,1.8030811872975285e-26,0.616,0.05790117240883263,1.0244056,0.04076892
Syt16,11.234846,1.5184883,2.7497237260475955e-29,2.1730904858499673e-26,0.944,0.6688844134359491,1.6712031,0.91924775
Nek10,11.224857,2.8620155,3.0788443836081095e-29,2.36367281678714e-26,0.728,0.21477378982953318,0.7433028,0.14123489
Sgcz,11.1731205,2.217889,5.520657686664035e-29,4.076504660606721e-26,0.944,0.7470689779184349,3.0774128,1.6956242
Htr1f,11.171642,2.338038,5.613348434776654e-29,4.076504660606721e-26,0.824,0.3539523843774725,1.2240012,0.38853672
A830018L16Rik,11.09274,1.6623354,1.3605601887835103e-28,9.620592703319189e-26,0.92,0.6884844997482558,2.1025789,1.1849886
Dlg2,10.87411,0.79182315,1.5314330412444965e-27,1.0430580954806678e-24,0.96,0.9554412716679853,4.2566185,3.7180781
Igsf21,10.870702,2.1017835,1.5897246449683818e-27,1.0430580954806678e-24,0.784,0.3126663310076962,0.7387246,0.22689494
Pdzrn4,10.870597,2.0137775,1.5915661300598205e-27,1.0430580954806678e-24,0.904,0.5395238437747248,1.7011443,0.746408
Rasgef1b,10.8316345,1.8152828,2.4376437552467777e-27,1.559511611987641e-24,0.912,0.5436236783428037,1.5821193,0.7411326
Sv2b,10.666725,1.6930546,1.4566952459163696e-26,9.102651455296012e-24,0.96,0.6203337409192261,1.840044,0.9700791
Gm6209,10.6242285,5.673431,2.299060274511566e-26,1.4039943085483132e-23,0.568,0.02607350931453643,0.5784523,0.015231075
Celf4,10.563187,1.2649934,4.4141839781836247e-26,2.635758299862089e-23,0.944,0.7917355966338201,2.3379636,1.5881672
Gm1604a,10.532852,2.4972105,6.095922063784983e-26,3.5608136055196195e-23,0.728,0.2518521182478602,0.68038905,0.15924758
Shisa9,10.527944,1.6813681,6.422235303489937e-26,3.67160558733563e-23,0.952,0.6627346615838309,2.0096545,1.103391
Col6a1,10.516081,3.6136022,7.284090034924323e-26,4.077572900800345e-23,0.608,0.0755951952815939,0.46145427,0.04679238
Sox5,10.493784,1.7913389,9.225783414296161e-26,4.974595950655789e-23,0.944,0.6190030928576566,2.009561,1.0530307
Nwd2,10.493467,1.7781218,9.256784426229603e-26,4.974595950655789e-23,0.904,0.5322592246277782,1.4345456,0.6587319
Pid1,10.424654,1.7021824,1.9135417444441462e-25,1.0081738563375335e-22,0.928,0.5861684528519024,1.5348914,0.75089693
