names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB Meis2 Thsd7b Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Nrgn,1.7201346,1.2525982,0.08540798542716035,0.3908895534709247,0.6097560975609756,0.7354965937612047,1.6712397,1.0340914
Atp6v1f,1.6975338,2.6648247,0.08959577650747896,0.4046795284511615,0.2926829268292683,0.18691287199713158,0.7440676,0.1605588
Sncb,1.6923004,2.1741,0.0905887089979469,0.4074520607256165,0.4146341463414634,0.4081032628182144,1.0619805,0.35012844
Syt6,1.6674222,3.472386,0.09543048370397432,0.4239076040875831,0.1951219512195122,0.053316600932233775,0.36757493,0.039243203
Uqcrh,1.6608998,2.0553477,0.09673357679197413,0.42818197445305706,0.3902439024390244,0.35367515238436714,0.92211926,0.31071606
Gucy1a1,1.6077513,2.4922342,0.10788965921319628,0.4642105913624634,0.2926829268292683,0.2,0.5951008,0.13499686
Cox8a,1.5947646,1.9078339,0.11076488305847457,0.4729465132339443,0.43902439024390244,0.4622803872355683,1.2488731,0.50838757
Serpini1,1.5727357,1.4077114,0.11578002736906441,0.4897684721987974,0.4634146341463415,0.5285406955898171,1.1114533,0.57009435
Rpl41,1.5539825,1.676814,0.12018857827609063,0.5049198089866409,0.4634146341463415,0.5131588382932951,1.1851028,0.5366775
Map1lc3a,1.5133944,2.2741127,0.13017952572919123,0.5359565339159165,0.2926829268292683,0.20297597705270706,0.6308991,0.16702682
Olfm1,1.4584239,0.8579989,0.1447237562744512,0.579455719131948,0.6097560975609756,0.7483327357475797,1.4737111,1.0496868
Ptgds,1.4318496,1.8888118,0.15218687208250598,0.6028691217539341,0.3902439024390244,0.36532807457870203,1.1136876,0.4397791
Rplp1,1.423447,1.236752,0.15460661272556075,0.610372823299382,0.5365853658536586,0.6540695589817139,1.376082,0.8134753
Gad1,1.3799998,1.8967626,0.16758671445979956,0.6482947045112026,0.3170731707317073,0.26547149515955537,0.7152474,0.24728765
Rpl18a,1.3277526,2.130222,0.1842598486498409,0.6965478521695591,0.34146341463414637,0.3141986375044819,0.93200934,0.30134884
Chchd2,1.2637593,1.7408829,0.20631644297240737,0.7557904325383212,0.4146341463414634,0.45697382574399426,1.0622565,0.44873327
Gad2,1.2402767,1.6475532,0.21487309028511892,0.779284439088677,0.2926829268292683,0.22344926496952314,0.5996659,0.23286465
Pcsk1n,1.2212715,1.457395,0.221983240236294,0.7987129393792664,0.4634146341463415,0.5537468626747938,1.2178918,0.6241699
Tshz1,1.2108434,2.4491377,0.22595543278343844,0.8082298294583322,0.2682926829268293,0.21348153460021513,0.65434235,0.15630347
