names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PRNc Otp Gly-Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Hnrnpu,1.4914676,1.0912069,0.1358387729954036,0.9992717887859529,0.625,0.7562224689324213,1.551319,1.0097679
mt-Co2,1.4543667,2.7207086,0.14584465664023608,0.9992717887859529,0.5,0.3478494431114135,1.3288909,0.35153568
Ash1l,1.4529853,0.9308381,0.14622782913303706,0.9992717887859529,0.625,0.7832252981413171,1.6070013,1.1287653
Nxph1,1.4296108,1.5920901,0.1528287236276447,0.9992717887859529,0.625,0.4222325681337965,1.4465225,0.7311331
Atp6v1c1,1.4266069,2.9022768,0.1536932408788015,0.9992717887859529,0.5,0.4021057909250439,1.2844795,0.29972482
Tmem38a,1.4196779,2.7967453,0.1557014820919636,0.9992717887859529,0.5,0.4086595279876804,1.2007229,0.2883592
Galntl6,1.3706706,0.9804924,0.17047768301304578,0.9992717887859529,0.875,0.8136303405794506,2.5869846,1.9780315
Myo9a,1.3138132,0.46449146,0.18890905556762272,0.9992717887859529,0.625,0.8030655731833972,1.5957024,1.347939
Syt11,1.3046916,1.2431613,0.1919979059825463,0.9992717887859529,0.625,0.7936468144540343,1.7350383,1.0893924
Tox,1.3042749,1.8408293,0.1921398649692816,0.9992717887859529,0.5,0.4140672563836264,1.3427199,0.5821432
Sox5,1.3023233,1.0186138,0.19280585825216146,0.9992717887859529,0.625,0.6204562547004262,1.569696,1.0571653
Armcx1,1.2929823,4.094608,0.19601714747168575,0.9992717887859529,0.375,0.17469469612863947,1.0179284,0.09844567
