names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L2/3 IT RSP Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ldb2,1.6332114,0.9701299,0.10242455057964722,0.9207586731599601,0.56,0.5564036407940944,1.2794803,0.84351885
Fgf13,1.6202453,0.97754455,0.10517958700220935,0.9318086062477301,0.64,0.6392532071955852,1.3172694,0.87047607
Ppia,1.6015097,1.6395317,0.10926406762069422,0.9492161322237483,0.56,0.5328961513652978,1.3116623,0.6262341
Hspd1,1.5979487,2.1907904,0.11005439009101375,0.9527454699061422,0.4,0.2652476169999283,0.69476664,0.1986393
Clu,1.5429455,1.9668164,0.12284401304153723,0.9989983419631111,0.4,0.28395327169784274,0.81600463,0.27967456
Hnrnpu,1.5301656,0.6646031,0.12597576158218993,0.9989983419631111,0.68,0.75625313552641,1.3258661,1.00964
Rps8,1.4980296,1.3524464,0.1341255548443026,0.9989983419631111,0.56,0.5453665878305741,1.1288275,0.5984505
Gm28307,1.4505578,1.6376082,0.1469030300385085,0.9989983419631111,0.4,0.2871783845767935,0.6519813,0.2588702
Pdzrn3,1.4187444,1.3953103,0.15597351738619,0.9989983419631111,0.44,0.3933562674693614,1.0352833,0.5249314
Actb,1.4156798,1.1776558,0.15686927368838682,0.9989983419631111,0.64,0.6837239303375618,1.3900666,0.8471096
Asic2,1.4099226,0.3376126,0.15856252715825658,0.9989983419631111,0.72,0.7920518884827635,2.0317898,1.8317534
Rpl27a,1.3637909,1.8217206,0.1726333976291946,0.9989983419631111,0.48,0.428760839962732,1.0429254,0.41857803
Klf5,1.3569294,2.3688195,0.1748036410756486,0.9989983419631111,0.28,0.15057693685945675,0.41057724,0.093754575
Psap,1.3523138,1.1992658,0.17627496748016735,0.9989983419631111,0.6,0.6246685300652189,1.1748909,0.6803439
Mt3,1.3446954,1.6080668,0.17872361078732357,0.9989983419631111,0.52,0.5008958646885975,1.2180525,0.57713443
Sgtb,1.3427846,1.8420138,0.17934171612038607,0.9989983419631111,0.4,0.3321866265319286,0.6198304,0.21470393
Pcdh15,1.3322878,0.719278,0.18276565282213408,0.9989983419631111,0.68,0.742994338135168,2.0350955,1.6176034
Id2,1.297112,2.2893534,0.1945926693153469,0.9989983419631111,0.28,0.14645595929190855,0.4528491,0.11080172
Brinp1,1.2740585,0.20632045,0.20264269458655737,0.9989983419631111,0.68,0.7804773167060847,1.6935248,1.5783908
Olfm1,1.2713908,0.5794565,0.20358964715560246,0.9989983419631111,0.68,0.7481903533290332,1.328695,1.0500597
