names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_TRS-BAC Sln Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Vta1,3.4889994,2.758213,0.000484832411862995,0.31774260748191896,1.0,0.37255604096540856,1.0818325,0.2532737
Tmem163,3.4740782,3.73952,0.0005126117169559212,0.31989597197284414,1.0,0.23615985103487788,1.4558063,0.22006637
Tenm3,3.4702785,3.7718592,0.0005199189298805717,0.31989597197284414,1.0,0.7357659528754565,3.8773243,1.4956733
Cers4,3.4643433,2.6868618,0.0005315276342839468,0.31989597197284414,1.0,0.4745398553319487,1.3514891,0.36786932
Cdh18,3.4587686,3.9512355,0.0005426506853302705,0.31989597197284414,1.0,0.5837570722624078,3.0845518,0.85374296
Ndufa3,3.4563003,3.3696687,0.0005476447603554458,0.31989597197284414,1.0,0.21961612833918212,1.1820676,0.19782624
Bicd1,3.4214103,1.8900516,0.0006229726133473583,0.3492687664369175,1.0,0.7643056649717109,2.2375798,1.1812294
Atp6ap2,3.4209943,3.2046485,0.0006239263412345381,0.3492687664369175,1.0,0.427630165437227,1.5908092,0.353377
Sgcd,3.4050193,2.9814258,0.0006615938827189609,0.36279648221752,1.0,0.7053641767528468,3.2085795,1.3879057
Cnrip1,3.3167958,2.4624245,0.0009105613059400173,0.44817380802887563,1.0,0.5467306452768029,1.502212,0.49073926
Cep112,3.3147159,3.125519,0.000917363581748722,0.44817380802887563,1.0,0.48975864785504547,1.9645382,0.5321487
