names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SPVI-SPVC Tlx3 Ebf3 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Uba52,1.8470613,3.7545793,0.06473825283740815,0.7606107799480355,0.5,0.22873616731726534,1.3611466,0.19466999
Pcsk1n,1.8225906,2.502506,0.06836542834089383,0.7806684765933926,0.625,0.5535938115531999,1.7778347,0.6247111
Nsg2,1.7646149,2.1031086,0.07762849660594817,0.8338262259808571,0.625,0.656018336138667,1.7230479,0.7280533
Pcdh17,1.732974,1.737487,0.08310029042117023,0.8685604451027238,0.625,0.6475307094509902,1.6817495,0.8381176
mt-Co3,1.7247732,2.337607,0.08456835006966655,0.8756653434959307,0.625,0.6080650359918347,1.9454376,0.7822466
Khdrbs3,1.6759851,1.255501,0.09374110082077973,0.9160197113068085,0.625,0.6748200408265588,1.8100399,1.144417
Rps11,1.6606361,3.2872465,0.09678655435862939,0.930134018460791,0.5,0.29330659313111057,1.3970131,0.27133536
Eif4h,1.638051,3.5299928,0.10141104247507643,0.952767381575281,0.5,0.32342513340257134,1.3658583,0.2253052
Atp5k,1.6290389,3.2263296,0.10330476856605986,0.958494175196833,0.5,0.30541130967302943,1.4200736,0.28910902
Eif4a1,1.6175491,3.3281405,0.10575980369747696,0.9675743702251298,0.5,0.3257171507359524,1.2928625,0.2336361
Lsm4,1.5825094,4.79015,0.11353332517981844,0.9993461808789204,0.375,0.0800773555850016,0.9842744,0.05880697
Rps7,1.5733219,3.114667,0.11564429909369388,0.9993461808789204,0.5,0.33162625792357553,1.4429847,0.31720516
Tubb3,1.555495,3.2301242,0.11982820599716405,0.9993461808789204,0.5,0.3529348565698528,1.327719,0.25886422
Rplp1,1.5476451,1.919316,0.12170775878856153,0.9993461808789204,0.625,0.6539053826594564,1.749982,0.8140331
Rex1bd,1.5354974,4.445589,0.12466168230393423,0.9993461808789204,0.375,0.09393689789779035,0.9692588,0.072395205
