names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MEA-BST Lhx6 Nfib Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Syt11,1.5759094,1.4366384,0.11504670286795902,0.999308983447934,0.75,0.7936110016832002,1.8467188,1.0893605
Ppia,1.5584333,2.3967888,0.1191305619605838,0.999308983447934,0.625,0.5328940300111019,1.7205417,0.6265342
mt-Co3,1.5421195,2.4167826,0.12304456367541908,0.999308983447934,0.625,0.6080650359918347,1.9926348,0.7822331
Grik1,1.5379313,1.7025266,0.12406539512822218,0.999308983447934,0.625,0.4994090892812377,1.5433967,0.75650513
Psip1,1.4762281,2.057879,0.1398826479062051,0.999308983447934,0.625,0.5932385488665258,1.4424126,0.5743408
Hsp90ab1,1.4725664,1.5276536,0.14086800911565875,0.999308983447934,0.75,0.8093686208501952,1.9970065,1.1657512
Pgm3,1.4654181,4.218187,0.1428068939526102,0.999308983447934,0.375,0.11259535150234573,0.74807215,0.058075376
Ap2a1,1.4432715,2.7711515,0.14894398679126705,0.999308983447934,0.5,0.34659599613222075,1.0544062,0.24213909
Ube3a,1.4296767,0.90319425,0.15280983407418755,0.999308983447934,0.625,0.759732120474161,1.5451068,1.0893153
Uqcrfs1,1.4261903,3.8486302,0.15381343041861026,0.999308983447934,0.375,0.11821795652329621,0.86184335,0.09068602
Hcn1,1.415402,0.77189606,0.15695064382109591,0.999308983447934,0.75,0.7489166636822691,1.9886111,1.5460149
Psmb7,1.4113674,2.7063506,0.15813629288430975,0.999308983447934,0.5,0.38838949969559144,1.1392977,0.28180537
Rab14,1.4064119,2.0540526,0.1596018465576321,0.999308983447934,0.625,0.6139025176377897,1.4961712,0.6066575
Lamtor2,1.4062365,3.4600773,0.15965391219158243,0.999308983447934,0.375,0.12104716541918849,0.6928615,0.086926565
Erlin2,1.4025747,3.730392,0.1607437174578985,0.999308983447934,0.375,0.1292124771693586,0.6940315,0.07276326
Gprasp1,1.390712,1.1232097,0.16431277198977123,0.999308983447934,0.625,0.75296350678652,1.5731205,1.0132071
Rab2a,1.3700128,1.4114919,0.17068293055095474,0.999308983447934,0.625,0.6836299824517423,1.3916824,0.75888515
Gsn,1.3694206,3.4849763,0.17086781155570174,0.999308983447934,0.375,0.14428965369050603,0.95392376,0.133248
