names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PRT Mecom Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Tubb2a,1.4429865,2.8444848,0.14902427125289103,0.9993461808789204,0.5,0.3739569530494574,1.4184797,0.36179024
Nsd1,1.4335797,1.0697523,0.1516922305107065,0.9993461808789204,0.625,0.8010958707875229,1.7382057,1.1733968
Atp6v0c,1.4223311,1.7263064,0.15493016355509287,0.9993461808789204,0.625,0.6818393439100383,1.7345884,0.8797764
Rbm6,1.415402,0.64547914,0.15695064382109591,0.9993461808789204,0.625,0.7881674605164202,1.5506895,1.2163218
Csf1r,1.3956456,3.389332,0.16282123086381062,0.9993461808789204,0.375,0.1272785875443183,1.0270795,0.15794845
Ube2l3,1.3914356,2.8721416,0.164093370827198,0.9993461808789204,0.5,0.4220893170504602,1.2899466,0.30716828
Zfr,1.3879931,0.8258103,0.16513916385371297,0.9993461808789204,0.625,0.806145471475128,1.7257957,1.2822454
Ptma,1.3794633,2.6345584,0.1677519376684401,0.9993461808789204,0.5,0.405328940300111,1.390744,0.39607233
Rpl30,1.3752095,2.5439246,0.1690665123870887,0.9993461808789204,0.5,0.39204240232066756,1.2699652,0.36401895
Ndufa1,1.3692892,3.6763828,0.17090891658529184,0.9993461808789204,0.375,0.140672563836264,1.0132895,0.12860654
Kcnab1,1.3653203,0.92841494,0.17215240253428143,0.9993461808789204,0.625,0.6765748665974286,1.57999,1.1070757
Diaph2,1.3288115,0.80371153,0.18391017554257838,0.9993461808789204,0.625,0.7728395945994342,1.7062838,1.2761375
Qki,1.3245356,0.8805575,0.18532520581302192,0.9993461808789204,0.75,0.8297460874547864,2.110594,1.5972867
Nme2,1.3089015,3.7594059,0.190567698600149,0.9993461808789204,0.375,0.16817677183683702,1.0661662,0.13156538
Fau,1.2939692,2.349845,0.19567608686502402,0.9993461808789204,0.5,0.41435375855029905,1.3098722,0.42576936
Fabp5,1.287676,3.4107826,0.19785876807660452,0.9993461808789204,0.375,0.16581312896178776,0.99723446,0.1491601
Nell2,1.2767124,0.36772293,0.20170380229514362,0.9993461808789204,0.625,0.7675751172868245,1.7231033,1.5187438
Ndufb7,1.2744977,3.427199,0.20248706953330775,0.9993461808789204,0.375,0.1748021344411417,1.003932,0.14905104
Tcf7l2,1.2732917,2.7703962,0.20291453211245558,0.9993461808789204,0.375,0.16574150342011962,0.8918557,0.1914475
Ctsb,1.266582,2.4432518,0.20530478356021242,0.9993461808789204,0.5,0.44543924363428,1.3004899,0.39953375
Smdt1,1.2468694,3.2770188,0.21244536917319778,0.9993461808789204,0.375,0.18089030548293522,0.9575871,0.15324996
Aldoa,1.239765,2.616536,0.21506231506556028,0.9993461808789204,0.5,0.4656018336138667,1.5828212,0.4890842
Uqcrb,1.2282313,3.3256626,0.21936014629642708,0.9993461808789204,0.375,0.18866167675393045,1.0198212,0.1628086
