names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CEA-BST Ebf1 Pdyn Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Fth1,2.2258883,2.700926,0.02602167514791274,0.501579921968734,0.7142857142857143,0.5800744878957169,2.0853426,0.734214
Cops9,2.2110267,4.3786316,0.027033988691806732,0.5078632143762623,0.5714285714285714,0.18253115599484315,1.4841071,0.15184341
Ncald,2.2005253,1.6623108,0.027769651913728866,0.5159279881985198,0.7142857142857143,0.7019767941555651,1.9216211,1.0446947
Psmc5,2.1712947,4.4055552,0.029908910529380172,0.5334818597324047,0.5714285714285714,0.2105357398653488,1.4963892,0.15144837
Ndfip1,2.1544173,2.1475694,0.031207465328183928,0.5452175509546828,0.7142857142857143,0.7487465979086091,2.0853426,0.951863
Rpl39,2.1537843,4.5465436,0.031257087961425845,0.5457296644077404,0.5714285714285714,0.23134221458243803,1.8862417,0.21462463
Rps17,2.0705695,3.888838,0.03839903271449688,0.5995361493656378,0.5714285714285714,0.2443775963329036,1.560525,0.22626802
Nme1,2.0697727,4.2627416,0.038473640254862246,0.5995361493656378,0.5714285714285714,0.26905171178914195,1.7312853,0.21682587
Camk1d,2.0137727,0.8079384,0.04403340768199986,0.6433810029447179,0.8571428571428571,0.954018048990116,2.8414397,2.3242786
Uqcr11,1.9981846,3.7663577,0.045696656045680066,0.6559130063821705,0.5714285714285714,0.2921859332473858,1.6897919,0.28118172
Ldhb,1.9779552,3.645429,0.047933764374959595,0.6753040497626369,0.5714285714285714,0.2959461395215585,1.4671934,0.23639378
Rps2,1.9759158,3.759758,0.04816431186746416,0.6761625182229686,0.5714285714285714,0.3019624695602349,1.6528753,0.2713125
Rpl36,1.9613357,3.883088,0.04983987927518892,0.6871203469083254,0.5714285714285714,0.3107004727116459,1.7487195,0.27895433
Rps9,1.9587103,3.7476404,0.05014672339804354,0.6902881443163064,0.5714285714285714,0.3151410972640023,1.6591295,0.2751692
Rps19,1.9398874,3.780644,0.052393379716591144,0.7079134327324744,0.5714285714285714,0.32348517404383326,1.7085046,0.28438303
Rpl32,1.9393717,3.6254406,0.05245609758477763,0.7082891166346608,0.5714285714285714,0.30973356252685863,1.6547948,0.29483834
Syne1,1.902476,0.9072646,0.05710896577876298,0.7377122984301618,0.7142857142857143,0.8185790001432459,2.1223743,1.5932049
Rps28,1.887802,3.2915206,0.0590525382604359,0.7498779315018491,0.5714285714285714,0.32445208422862054,1.5041097,0.30562213
mt-Co2,1.8847078,3.7231905,0.05946929779969705,0.75201181991678,0.5714285714285714,0.3478369861051425,1.8811924,0.35143226
Gde1,1.8768551,3.6277478,0.060537949246547665,0.7579314593222493,0.5714285714285714,0.3567898581865062,1.5854174,0.2730701
