names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PVHd-DMH Lhx6 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Fgf14,2.0565758,1.1473126,0.039727043460441334,0.9995550280021681,1.0,0.9245891073155011,3.8450346,3.0754309
Trf,1.9961731,3.5280702,0.04591508032040703,0.9995550280021681,0.75,0.27314068822286675,1.704365,0.3292328
Cpe,1.9854445,1.6342418,0.047095036407199725,0.9995550280021681,1.0,0.8455974504959358,2.4942808,1.5216831
Galntl6,1.9572897,2.0818558,0.0503134215539773,0.9995550280021681,1.0,0.8136212267697926,3.3093681,1.9780151
Grik1,1.9562974,3.0172338,0.05043012720270504,0.9995550280021681,0.75,0.49940917391771406,2.3179905,0.7565068
Clasrp,1.9485456,3.5365999,0.05134972146375894,0.9995550280021681,0.75,0.3473699287427937,1.3790563,0.22796124
Man1a,1.9065613,2.2707314,0.056577418757522965,0.9995550280021681,0.75,0.5582769362982061,1.9684867,0.82262623
Pknox2,1.897228,2.3664422,0.05779784749276593,0.9995550280021681,0.75,0.5618935080746231,1.6469012,0.5948232
Ddx10,1.872701,3.0311053,0.061109675850856325,0.9995550280021681,0.75,0.5518315608550864,1.8287883,0.49430537
Gpx4,1.8677399,3.2369995,0.061798339859795826,0.9995550280021681,0.75,0.3494825795824829,1.5192406,0.3210065
C130073E24Rik,1.8593369,2.7204027,0.06297941205734946,0.9995550280021681,0.75,0.34364593404232463,1.4616596,0.40726689
Gabarapl1,1.8569182,3.1545482,0.06332278937811209,0.9995550280021681,0.75,0.36355498263329394,1.3790563,0.28793138
Senp5,1.855926,2.985197,0.06346410896605074,0.9995550280021681,0.75,0.5621441615640778,1.8287883,0.5068366
Hspa9,1.8531353,3.2347357,0.06386296794807839,0.9995550280021681,0.75,0.377519962760053,1.3790563,0.2743125
Lmbrd1,1.8454144,2.3353722,0.06497727672906477,0.9995550280021681,0.75,0.6009238371468472,1.605512,0.5814901
Larp1,1.8418486,2.8129427,0.06549730557516123,0.9995550280021681,0.75,0.4978336376982848,1.4939008,0.39983755
Gria3,1.8290424,1.4298687,0.0673932514091555,0.9995550280021681,1.0,0.8048125469975292,2.6907024,1.8083788
Grin2b,1.8209494,1.0203099,0.06861453911201248,0.9995550280021681,1.0,0.8857020088086798,3.1439476,2.4801018
Stmn2,1.8151201,2.4724355,0.06950546340801848,0.9995550280021681,0.75,0.5693414974755613,1.7134551,0.5985696
Rtl4,1.8091666,1.6508272,0.0704251256324847,0.9995550280021681,0.75,0.6286389515522612,1.777151,0.9417965
Dcc,1.7767327,1.5204144,0.07561223007444162,0.9995550280021681,1.0,0.8458839116267411,3.161782,2.1840703
Jph4,1.7757405,2.3341477,0.07577570624301476,0.9995550280021681,0.75,0.5699860350198732,1.5236427,0.53750336
Rps27a,1.7665622,3.2243984,0.07730157292288754,0.9995550280021681,0.75,0.39685608908941167,1.684202,0.38492554
Cacnb2,1.7642987,1.4728156,0.07768170812468941,0.9995550280021681,1.0,0.7816808106850002,2.6259189,1.7259381
Pcp4,1.7457252,2.9982333,0.08085872363618994,0.9995550280021681,0.75,0.3910552511906041,1.5192406,0.36924312
Ncam2,1.7456322,1.2782031,0.08087489682339372,0.9995550280021681,1.0,0.8598846993948509,2.8969152,2.0866666
Ablim1,1.7429035,1.9060081,0.08135048000567432,0.9995550280021681,0.75,0.6137429727503849,1.61466,0.72962767
Frrs1l,1.7421283,2.3365521,0.08148600207841088,0.9995550280021681,0.75,0.61778923622301,1.738232,0.6564828
Csmd3,1.7309035,1.0185468,0.083468971027814,0.9995550280021681,1.0,0.9004905646865041,3.2284331,2.5622663
