names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Emx1_Mutant (for_DEGs)
mt-Atp6,2.9492798,0.45312518,0.0031851553170632587,0.026547737872244005,0.45123537061118335,1.0388956,1.252742
Pde4d,2.9421065,0.81653875,0.003259877160725273,0.026913545838947856,0.23927178153446033,0.4011092,0.62545997
Gria4,2.9144242,0.78874207,0.00356345286094573,0.029071014644237104,0.2483745123537061,0.43276688,0.66036916
Mdga2,2.893612,0.6088753,0.003808384693572287,0.030705101591926565,0.33550065019505854,0.70881027,0.9451579
Rgs7,2.8890152,0.8623632,0.003864505242445319,0.031036337822595867,0.2223667100130039,0.35696295,0.5765553
Nfasc,2.868203,0.9760733,0.00412810795685129,0.032620144058864604,0.19115734720416125,0.2812915,0.49408242
Nalf1,2.8660307,0.5221123,0.004156539674167341,0.032620144058864604,0.39011703511053314,0.8650702,1.0901855
Serinc1,2.8494112,0.36189595,0.004380023448870512,0.03424381969116946,0.5552665799739922,1.4375128,1.6342245
Robo1,2.8478956,0.8732649,0.004400934292690368,0.03427746558533177,0.22626788036410922,0.38354275,0.6185963
Csmd3,2.8465319,0.58290195,0.004419831371398218,0.03429523289686436,0.3342002600780234,0.6945781,0.9171497
Rora,2.8413286,1.0189698,0.004492597480568684,0.03472048276406065,0.18205461638491546,0.25972214,0.4706223
Rtn3,2.8142526,0.36544985,0.004889079569083915,0.03723638461472029,0.5903771131339401,1.4705273,1.671043
Cacna1a,2.763788,0.723636,0.005713466450175389,0.042572544235241885,0.2535760728218466,0.44294333,0.65246266
Gabra1,2.752523,0.703133,0.005913799049043922,0.043593147275809485,0.26527958387516254,0.48028573,0.69501716
Hdac9,2.742521,1.0248322,0.006096955145569306,0.04446683894153727,0.17945383615084526,0.25530314,0.46486843
Ccser1,2.7314582,0.66283476,0.00630547450088285,0.04563096468494858,0.26397919375812745,0.509897,0.7193073
Agbl4,2.7305489,0.9906695,0.006322895300336867,0.04563096468494858,0.17815344603381014,0.26648906,0.47425056
Rims2,2.7047355,0.80447894,0.006835876996852374,0.04815443727475529,0.2223667100130039,0.37406248,0.5834815
Cpeb3,2.6951377,1.0384483,0.007035953978752045,0.04918065927931909,0.1716514954486346,0.22731514,0.42149416
