names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_ENT CTX (for_DEGs),mean_expr_Rest (for_DEGs)
Mtch1,3.8813891,-0.26259828,0.00010386151658985505,0.00038583699029025374,0.48666168037895785,0.4181136789506558,0.29804403,0.3482171
Mlf2,3.8591316,-0.29324478,0.00011379062924797486,0.00042149906367426035,0.3532784841685365,0.304351447012284,0.19236542,0.2310505
Myo1e,3.7987337,-0.27688134,0.00014543719035423996,0.0005350352279324245,0.21416105709299427,0.1709764730376848,0.12477394,0.14928937
Sec61g,3.7610583,-0.31029847,0.00016919599220658794,0.0006191333665519567,0.22587883320867613,0.18600874453466584,0.12004069,0.14682253
Micos10,3.7579613,-0.29091302,0.000171303448210818,0.0006264185701448938,0.4218399401645475,0.3676868623776806,0.2431102,0.29020065
Dstn,3.6854575,-0.29751265,0.00022829225159610257,0.0008270477012791257,0.4343056594365495,0.3761815531959192,0.2567516,0.30731183
Sez6l2,3.67778,-0.2701532,0.00023527274406389334,0.0008514179977100086,0.5861381201695338,0.4978555069748074,0.39899924,0.4645551
Tpi1,3.6406527,-0.4022191,0.0002719478218572894,0.0009789975848479857,0.34554973821989526,0.2968561315844264,0.1961011,0.25177842
Rpl15,3.6284497,-0.4147566,0.0002851282431677888,0.0010249359055409346,0.45774121166791326,0.39279616906100356,0.27657443,0.35397866
Gnb2,3.623532,-0.28431773,0.0002906071134345359,0.001043792693220957,0.26925953627524307,0.22914844888611285,0.14483626,0.17378514
Emc7,3.601317,-0.28393742,0.00031660945203875634,0.0011350628387300046,0.3949139865370232,0.3454091193004372,0.22503081,0.2679274
Ndufb3,3.5443501,-0.35192564,0.0003935819915466535,0.0014007348493852423,0.33582647718773373,0.29011034769935456,0.18551734,0.23123457
Itgb8,3.491669,-0.2521622,0.00048001297524112834,0.0016991106105558053,0.3303415607080529,0.2800333125130127,0.21397176,0.2501019
Gabarapl1,3.459788,-0.3762674,0.0005406007914508184,0.0019052916141505103,0.41037147843430566,0.3549864667915886,0.23619999,0.29700243
Psma4,3.4558234,-0.2630581,0.0005486147588019764,0.0019320155398439198,0.26028421839940163,0.2239433687278784,0.13516776,0.16014205
Gm11867,3.4495902,-0.33221558,0.0005614383054065525,0.0019761392803607633,0.3951633009224632,0.33991255465334164,0.25261533,0.30881184
Capza2,3.4392183,-0.26528355,0.0005833966354596362,0.002051009759884918,0.6085764148591374,0.5064334790755778,0.40948224,0.47511095
Ugp2,3.4106486,-0.29409003,0.0006480856817032467,0.002268342095527711,0.4053851907255049,0.3525296689569019,0.24541754,0.29345292
Rpn1,3.3380804,-0.30982554,0.0008435930878418864,0.0029278411612388903,0.27025679381700324,0.23256298146991464,0.14361036,0.17515442
Tagln3,3.3295207,-0.3539021,0.0008699558287910043,0.003015831908091122,0.25978558962852155,0.22140328961066,0.13423087,0.1685565
Pgrmc1,3.2866514,-0.32482156,0.00101386255696645,0.003493522301319379,0.4717028172525555,0.41082656672912765,0.30372074,0.3677649
Clcn4,3.2661977,-0.25295943,0.0010900215004235902,0.003747777059037987,0.40463724756918473,0.35740162398500935,0.23018889,0.26883882
Cerk,3.254995,-0.25952175,0.0011339431735655423,0.003894306374451191,0.3388182498130142,0.2973974599208828,0.1875761,0.22072816
6330403K07Rik,3.2483256,-0.3135827,0.0011608640091273486,0.003981163487587984,0.25529793069060086,0.21757235061419947,0.14101651,0.17245032
Eid1,3.2190104,-0.36947328,0.0012863379338364205,0.004393529971041645,0.481426078284717,0.412700395586092,0.2938982,0.36559263
Sod1,3.2146442,-0.39358795,0.0013060632160557064,0.004457502682003916,0.3081525804038893,0.2685404955236311,0.16693957,0.21403772
Gng13,3.1862495,-0.29912615,0.001441302853103484,0.004897914210559076,0.15382697581650462,0.12071621902977306,0.08185095,0.09979627
Tomm20,3.1649575,-0.3416757,0.0015510556272789976,0.005253607047143157,0.42657691348790827,0.37334998958983967,0.24876718,0.305954
Abca2,3.1321259,-0.32845578,0.0017354543476434052,0.005852366757175991,0.3029169783096485,0.2638351030605871,0.15746142,0.19403279
Akr1a1,3.058589,-0.329919,0.0022238196083489343,0.007421939246843357,0.3395661929693343,0.3001041016031647,0.18710883,0.2300213
E230029C05Rik,3.0537767,-0.25637692,0.0022598010521191554,0.007534539554590111,0.36524557466965846,0.32767020612117426,0.22914355,0.2681971
Mdh1,2.958067,-0.42991656,0.0030957492344468518,0.010195217787668453,0.5447519321864872,0.4651259629398293,0.3576126,0.45689115
Caly,2.907224,-0.41996068,0.003646520563092211,0.011895351163079727,0.40737970580902516,0.357526545908807,0.2373907,0.30635896
Snrpg,2.8788092,-0.31685948,0.003991798002948647,0.012971291853819102,0.18075292944402893,0.15061419945867166,0.09255796,0.114039026
Bcap31,2.866641,-0.2730788,0.0041485324719513425,0.013461063581853951,0.2540513587634006,0.22340204039142203,0.13236092,0.15786739
Spcs2,2.8360052,-0.29944408,0.004568170481747976,0.014760310346869662,0.2899526302667664,0.2562981469914637,0.15583792,0.18858209
Pnma8a,2.8343174,-0.2727926,0.004592368320423412,0.014834928681146558,0.28097731239092494,0.24838642515094733,0.14975104,0.17828864
Cct8,2.8319244,-0.33156216,0.004626876559393442,0.014939218114744267,0.2961854899027674,0.2645013533208411,0.15809797,0.19518483
BC031181,2.8291173,-0.30057237,0.00466765832880337,0.015063134512695756,0.30466217900772874,0.27020612117426607,0.16995122,0.20551421
Mdh2,2.828176,-0.37655944,0.004681406620292662,0.015100767813597099,0.29468960359012714,0.2605038517593171,0.16008355,0.20325632
Bex2,2.818056,-0.5294744,0.004831537093383976,0.01555889282109629,0.3535277985539766,0.3055590256089944,0.21397434,0.2959359
Nfe2l1,2.81669,-0.36288005,0.004852135048589458,0.015617737033492899,0.3530291697830965,0.3135123880907766,0.19449799,0.2438116
Ndufv3,2.81313,-0.33860606,0.0049061810910924035,0.015774690189978808,0.3163799551234106,0.2821569852175724,0.176112,0.21794133
Glud1,2.8029141,-0.31133935,0.0050643142484221556,0.01625589820273603,0.46596858638743455,0.4062877368311472,0.28264862,0.3402607
Tceal5,2.7853267,-0.32000455,0.0053473823128218426,0.017131770924707634,0.2318623784592371,0.20229023526962314,0.12104359,0.14896186
Fbxo7,2.7805154,-0.30688673,0.0054272670671702255,0.0173607935827219,0.26651707803540264,0.2336456381428274,0.13728327,0.16723593
C1ql3,2.7789838,-0.31325653,0.0054529244390344005,0.0174387145533033,0.5886312640239342,0.4943576931084739,0.51465386,0.6077433
Nars,2.7406094,-0.409618,0.006132536697308289,0.01948459986480711,0.3505360259286961,0.31009785550697483,0.1881625,0.24295007
Tln1,2.700444,-0.29387146,0.006924700561137081,0.02189277610045339,0.18898030416355024,0.16089943785134292,0.093851686,0.113888465
Pdcd5,2.6668818,-0.33721724,0.007655860632600506,0.024099458200325163,0.19695836449763152,0.16914428482198626,0.10162319,0.12674935
Tma7,2.6606147,-0.40714353,0.007799813658836771,0.024532481916533306,0.31114435302916976,0.27682698313554027,0.17757049,0.2292599
Scarb2,2.6601405,-0.3130701,0.007810808122145521,0.02456131237472793,0.42084268262278735,0.3726420986883198,0.24736501,0.2991121
Ndufb1,2.6350937,-0.45124063,0.008411406527073523,0.026332808270122986,0.31438544003989033,0.27845096814490944,0.18137063,0.24049912
Nedd8,2.6315897,-0.4386236,0.008498643798722,0.026581138269312087,0.31438544003989033,0.27845096814490944,0.17344047,0.22847545
Tppp,2.629847,-0.32706273,0.008542326703768572,0.026710177427615885,0.36948391922213913,0.3294607536956069,0.20692487,0.2533917
Ldhb,2.5921822,-0.4548022,0.009536925716717007,0.02966283065264336,0.32834704562453254,0.2900270664168228,0.18482319,0.24548326
Cped1,2.5777192,-0.29269317,0.009945479316055177,0.030851423369014384,0.112440787833458,0.08640433062669164,0.061080366,0.074319646
Atp6ap1,2.568276,-0.34387842,0.010220573492573751,0.03164632516080395,0.4642233856893543,0.4105350822402665,0.28477138,0.34934407
Dek,2.5485358,-0.37103164,0.010817614824426836,0.033394911573109955,0.32410870107205186,0.28694565896314805,0.17576654,0.22195588
Timm10b,2.5291848,-0.2598208,0.011432781928165736,0.03514860988670633,0.1593118922961855,0.13362481782219446,0.07650146,0.090929866
Snrpd3,2.527868,-0.25088188,0.011475744294284999,0.03527410324826353,0.2351034654699576,0.2088278159483656,0.12086283,0.14225551
Atp5j2,2.5131512,-0.50168556,0.011965808115776525,0.03670753100478539,0.368735976065819,0.32650426816572975,0.21977603,0.29863536
Hmox2,2.4809687,-0.30248916,0.013102585603899222,0.04004395759517426,0.3303415607080529,0.2975223818446804,0.17484768,0.21158515
Arl8a,2.474998,-0.30405644,0.01332369135131789,0.04067805779001383,0.28396908501620544,0.254840724547158,0.15474303,0.18782407
Tmem256,2.4614427,-0.3710176,0.01383795243251001,0.04214278384467233,0.1550735477437048,0.12871122215282116,0.08015137,0.10248819
Hras,2.4546633,-0.37953967,0.014101657513638798,0.042877847390683996,0.1854899027673897,0.158859046429315,0.09767891,0.12529807
Tmem106b,2.4478357,-0.26644728,0.014371721548477975,0.04365455098435487,0.42034405385190726,0.37530709972933585,0.24056776,0.2830251
Ube2v1,2.4429874,-0.26038864,0.014566240352070704,0.044200437974041766,0.23161306407379706,0.20737039350405997,0.11933799,0.14134517
Npdc1,2.4417562,-0.35729006,0.014616010076760985,0.04434144639974796,0.3737222637746198,0.33416614615865087,0.20876233,0.26035494
Slc25a3,2.438405,-0.2909564,0.014752230729576198,0.04471431919951635,0.6429818000498628,0.5396210701644806,0.46110082,0.54041433
Nacc2,-2.395328,-0.98943585,0.016605498167897803,0.04994288513223796,0.10371478434305659,0.12475536123256298,0.04750209,0.09220268
Inpp5j,-2.3987572,-0.4318232,0.01645081529050043,0.04951091026610064,0.14036399900274246,0.16418904851134708,0.065562434,0.087464064
Gm20751,-2.401148,-1.2269111,0.016343720215002043,0.04922719002097353,0.018199950137122913,0.04193212575473662,0.008138816,0.018947238
Trim36,-2.404377,-1.1569345,0.016200057697666158,0.04883716276591993,0.08601346297681377,0.10768269831355402,0.040110078,0.08732984
Asah2,-2.4072433,-0.6791347,0.016073460723716782,0.04848382236711607,0.10047369733233608,0.12379762648344785,0.04986675,0.07869102
Gpsm2,-2.4126773,-0.7982727,0.0158358288789056,0.04779385847199747,0.09922712540513588,0.12167395377888819,0.04528572,0.0774823
Ermp1,-2.413062,-0.5352947,0.015819121077863946,0.04774879615392095,0.22538020443779605,0.24334790755777638,0.11355944,0.16065784
Fam114a1,-2.41987,-2.2437136,0.015526060628917275,0.04692747458931464,0.01720269259536275,0.04080782844055798,0.0070657735,0.033031464
Gm973,-2.4215672,-1.7728722,0.01545374793634771,0.04672467728701057,0.030167040638244828,0.053549864667915885,0.015572708,0.052244883
Psmb5,-2.4225738,-1.0387759,0.015410994586231871,0.046600655472884354,0.15332834704562454,0.17222569227566104,0.07777123,0.15371387
Rgs10,-2.4239843,-1.391096,0.015351270246540337,0.04644619204194785,0.06906008476689104,0.09152612950239433,0.03389623,0.086568706
B2m,-2.4252207,-1.2574899,0.015299078723630864,0.04629870991147216,0.0962353527798554,0.11750988965230065,0.04575858,0.10610695
Tspyl4,-2.4294205,-0.7876262,0.015122978896072434,0.04579673649695326,0.2911992021939666,0.29985425775556945,0.15438882,0.25323427
Pald1,-2.4306118,-1.1816671,0.01507335697925506,0.045656758204552304,0.05734230865120917,0.0806995627732667,0.024703458,0.05518384
Bsg,-2.433944,-0.7669658,0.014935308228412625,0.045243712750557746,0.43405634505110946,0.41711430356027485,0.26453835,0.41562712
Gm31218,-2.4373014,-1.6446512,0.014797339145309377,0.04484092735248257,0.01670406382448267,0.040641265875494485,0.00814069,0.025236422
Csf3r,-2.441014,-2.0592988,0.014646080625042053,0.044417628261273136,0.032410870107205184,0.055756818655007284,0.015251443,0.062084954
Sncaip,-2.4413261,-0.5926631,0.014633430688154871,0.04438928455528578,0.20967339815507355,0.2273579013116802,0.1278954,0.1870994
Zfp808,-2.4430382,-0.7410715,0.014564198221195835,0.04419923268619065,0.0787833457990526,0.10251925879658547,0.03842984,0.06342762
Retreg1,-2.4448059,-0.5142433,0.014493009557772257,0.04399809816035934,0.42832211418598853,0.42102852383926714,0.27673277,0.37524277
Serinc2,-2.451851,-0.27770618,0.014212354815950108,0.043185115221596675,0.06756419845425081,0.09315011451176348,0.036367152,0.043919384
Acadl,-2.452103,-1.7504702,0.01420240735845102,0.04315976993005869,0.032660184492645225,0.056214865708931916,0.013510304,0.04474999
Epb41l5,-2.4523032,-0.56371593,0.014194503721330784,0.04314063058388849,0.14659685863874344,0.16972725379970852,0.07693007,0.11171711
Myo1f,-2.4550345,-1.8596303,0.014087109734964224,0.042838460681132715,0.03664921465968586,0.06012908598792421,0.018834455,0.06672438
Vwa5a,-2.4569097,-1.7126131,0.014013788034844236,0.04263962003128351,0.02567938170032411,0.04963564438892359,0.011473034,0.037122212
Gm15902,-2.4580967,-0.9782659,0.013967554073171422,0.042508571519551036,0.04013961605584642,0.06416822819071413,0.01833274,0.035801757
Tbxas1,-2.4582896,-1.4274963,0.013960052761418028,0.04249055479149325,0.06282722513089005,0.08569643972517177,0.036253057,0.094675906
Cldn14,-2.459757,-1.9885083,0.013903109917228505,0.04232682568274756,0.02468212415856395,0.04846970643347907,0.012352708,0.048145063
Mfsd13b,-2.4606109,-1.191568,0.013870069536871126,0.04223102192132886,0.02617801047120419,0.05034353529044347,0.01216009,0.027560022
Zfpm1,-2.4610105,-0.9138062,0.013854633724078223,0.04218880418925452,0.0481176763899277,0.07245471580262336,0.021624466,0.040358886
Eif1,-2.4614553,-0.8098806,0.013837464466823768,0.04214278384467233,0.4295686861131887,0.406037892983552,0.2801623,0.449063
8030442B05Rik,-2.4625306,-2.2480674,0.013796042875657968,0.042024676575096884,0.02617801047120419,0.04992712887778472,0.012235999,0.05683741
Phgdh,-2.4682198,-1.7818705,0.013578691197891547,0.04139074673707838,0.03590127150336574,0.059504476368936084,0.01633013,0.055071104
St3gal4,-2.469567,-0.86599356,0.013527667849221566,0.04124457450454822,0.1680378957865869,0.1864251509473246,0.08863574,0.15608269
Rnasek,-2.4748378,-0.877139,0.013329670151193808,0.04069168790758664,0.3161306407379706,0.31442848219862585,0.19355772,0.33092204
Serpine2,-2.479549,-0.82690966,0.013154872325064374,0.04019004199823533,0.25205684367988035,0.26092025817197584,0.14927989,0.2512188
Tsc22d3,-2.4807084,-1.3697135,0.013112159660444989,0.04006866030662536,0.06382448267265022,0.08673745575681865,0.030326225,0.07656207
Plxna1,-2.4988494,-0.34769762,0.012459726741894446,0.03814433833367936,0.16454749439042632,0.19104726212783676,0.08340645,0.10498077
Slc7a10,-2.5000744,-1.9652824,0.012416727080127048,0.03801703015531151,0.029668411867364748,0.05363314595044764,0.014613227,0.05589062
Lratd1,-2.5008037,-0.68451333,0.012391182195165872,0.03794314137710621,0.08177511842433309,0.10626691651051426,0.037338227,0.05934652
Nwd1,-2.5014806,-1.2479833,0.012367524674307379,0.037883651162635576,0.08177511842433309,0.10418488444722049,0.04098408,0.09473117
Pbx3,-2.509568,-0.6319272,0.012087893989731185,0.03706512741116934,0.34156070805285466,0.3362898188632105,0.2534767,0.36953822
Rpl37,-2.5102437,-0.7722478,0.01206478632176701,0.03699849446083994,0.43804537521815007,0.4185300853633146,0.30080178,0.46961653
Scrg1,-2.5113347,-1.8506852,0.012027557831956165,0.036892748737975135,0.030665669409124907,0.05479908390589215,0.014629329,0.051787235
Amotl1,-2.521248,-1.1643146,0.01169393881214136,0.03589810760679062,0.04836699077536774,0.07274620029148449,0.022394883,0.049512878
Pon2,-2.5222285,-1.9680084,0.011661396159505826,0.035806389533301515,0.031413612565445025,0.055590256089943786,0.013946383,0.053487994
Vit,-2.523507,-1.1688051,0.011619071491655877,0.035688666092911915,0.04487658937920718,0.06945658963148033,0.021942146,0.048672654
Pik3ap1,-2.52432,-2.0213168,0.011592240233378312,0.03561032297597751,0.032660184492645225,0.056797834686654176,0.016743982,0.06629806
Cldn10,-2.5248797,-1.3217108,0.011573793102560487,0.03555772017674368,0.04387933183744702,0.06841557359983344,0.022572404,0.05549533
Ccr5,-2.5398865,-1.8366889,0.011088842690489691,0.03414982270412126,0.038394415357766144,0.0627108057464085,0.019300273,0.067292295
4933407E24Rik,-2.541027,-1.7563103,0.011052733230933923,0.03405032583297346,0.011219147344801795,0.036268998542577556,0.0047167507,0.015846161
Cd63,-2.5418272,-1.4512695,0.01102746559327581,0.03397637891197352,0.07803540264273248,0.10047886737455757,0.03743145,0.09920764
Tmcc2,-2.54435,-0.5961241,0.010948136616445513,0.03376293250130735,0.16080777860882572,0.18459296273162606,0.07860421,0.11655279
Frem2,-2.5446177,-2.4020612,0.01093974625005897,0.03374092995168555,0.014958863126402393,0.039808453050176974,0.006772404,0.035287555
Gpr17,-2.5514781,-1.8015254,0.010726707728960939,0.033118078441592605,0.032410870107205184,0.056964397251717674,0.016471349,0.05627892
Gm19500,-2.5556989,-1.6011721,0.010597477591056885,0.032745425813212804,0.04013961605584642,0.06450135332084114,0.020287918,0.060323447
Arpc1b,-2.5575848,-1.5309849,0.010540186060459436,0.03257963872593409,0.04662179007728746,0.07095565271705184,0.021514952,0.060952257
Ednra,-2.5648732,-1.6253057,0.01032135115553003,0.03192158213042034,0.018698578908002993,0.043930876535498646,0.009451161,0.028874874
Pygb,-2.565437,-0.41558447,0.010304587639328336,0.031877074587698874,0.368735976065819,0.37409952113262546,0.21984538,0.28365085
Ddr2,-2.5658083,-2.4053767,0.010293571406555907,0.03184666248637388,0.011967090501121914,0.03714345200916094,0.005566882,0.029145258
Cdh24,-2.5669794,-0.47904745,0.01025887014279242,0.031750269608020305,0.055597107953128895,0.08153237559858421,0.025947398,0.035984103
B4gat1,-2.567962,-0.7898069,0.010229840167904696,0.03166771950594461,0.16529543754674644,0.1869248386425151,0.084044345,0.14113495
Pwwp2b,-2.5715082,-0.8463108,0.010125665532629695,0.0313633006180703,0.038643729743206186,0.06429315011451177,0.017135872,0.030600978
Gramd1c,-2.5730598,-0.3791374,0.010080379248313167,0.03123383191906997,0.12839690850162055,0.1553195919217156,0.06711759,0.086440675
Gm26644,-2.5817397,-1.3397868,0.009830369765870373,0.030511883480893842,0.018698578908002993,0.04422236102435977,0.008415526,0.021165177
Aox1,-2.5840883,-2.3858263,0.009763677625689022,0.030325975933679805,0.013961605584642234,0.03926712471372059,0.006469482,0.03335927
Anxa3,-2.5843508,-2.0835674,0.009756249258433951,0.030306406655967663,0.028671154325604586,0.05350822402665001,0.0149751315,0.061988726
St3gal6,-2.5863538,-1.1068127,0.00969973259485835,0.030148272391422072,0.16030914983794564,0.1783885071830106,0.088448666,0.18162896
C1qc,-2.588483,-1.63585,0.009639966684981351,0.029965976958057486,0.06606831214161057,0.08948573808036643,0.03521353,0.10560503
Selenow,-2.5886686,-0.63141227,0.00963477493898556,0.02995330355322712,0.5901271503365744,0.5373308348948573,0.4122477,0.58241314
Kirrel,-2.5929422,-0.8128215,0.009515875758599907,0.02960078509302842,0.04487658937920718,0.07058088694565896,0.023746597,0.041346855
Mmd2,-2.5936127,-0.47199658,0.009497341823262593,0.029546552598247757,0.41012216404886565,0.4030397668124089,0.24671412,0.32794192
Arhgef10l,-2.5960815,-0.5374019,0.009429369882356955,0.02933848642183087,0.18274744452754924,0.20528836144076618,0.095198035,0.13536693
Mlc1,-2.5961921,-2.166112,0.009426332652771631,0.029332432933407492,0.02318623784592371,0.048303143868415575,0.011456809,0.05042245
Plaat3,-2.5972686,-1.4836295,0.009396844677411809,0.029244060282841707,0.05036150585888806,0.07491151363731001,0.025334042,0.06929472
Hk2,-2.6010675,-2.1591876,0.009293412672509237,0.028938926701856903,0.031413612565445025,0.056339787632729545,0.014591795,0.063588716
Masp1,-2.6078491,-0.7689699,0.009111312962784736,0.028404800940947425,0.07080528546497133,0.09648136581303351,0.03513896,0.059158243
Stk26,-2.609308,-0.5162015,0.009072554799462876,0.028293819343264564,0.06631762652705062,0.09256714553404122,0.03249229,0.046151534
Crhbp,-2.628287,-1.9551992,0.008581608051319044,0.02682168198195424,0.01844926452256295,0.04422236102435977,0.009281933,0.035521608
Irak2,-2.6342883,-1.1390352,0.008431386257800598,0.026389207774851726,0.10471204188481675,0.1279616906100354,0.05103006,0.109125674
Hsd17b11,-2.6381907,-0.890085,0.008334967433701013,0.026102631112301423,0.10047369733233608,0.12500520508015822,0.049023785,0.08903504
Itgbl1,-2.6433594,-0.6134856,0.008208787186942542,0.025743477090703324,0.2049364248317128,0.2209036019154695,0.12896724,0.1911178
Plod2,-2.6439981,-0.4079064,0.008193310881812474,0.025697941332356856,0.13537771129394166,0.16169061003539453,0.07122646,0.09344221
Gm19619,-2.6481905,-2.0092819,0.008092390841363019,0.02539623241151884,0.008227374719521317,0.034353529044347283,0.003975104,0.0159077
Zbtb18,-2.6501849,-0.52145463,0.008044771378232415,0.02525268772583002,0.49015208177511843,0.46021236727045595,0.31499758,0.42622572
Parp4,-2.651605,-2.342285,0.008011021988367145,0.025155563962536542,0.017701321366242834,0.04355611076410577,0.0073120478,0.036539882
Rgcc,-2.660834,-1.6111101,0.007794736460820242,0.024519382896539443,0.04113687359760658,0.06654174474286904,0.019684503,0.058956683
Lmo2,-2.6701486,-1.3053156,0.007581769224537249,0.023880217918569438,0.04961356270256794,0.07532792004996877,0.021489084,0.05229104
Prkcd,-2.67829,-1.9091607,0.007399916040832387,0.02332384094043006,0.025430067314884067,0.05155111388715386,0.0119097885,0.044016335
Spink8,-2.6789443,-1.1096733,0.007385464731871861,0.023286486428701823,0.054599850411368736,0.0806995627732667,0.025909783,0.05509703
Gpr34,-2.6904368,-1.7344549,0.00713585405008056,0.022528539340343632,0.053353278484168536,0.07849260878617531,0.026219362,0.084708534
Grp,-2.6920276,-0.85318834,0.007101907528787986,0.022424710592107523,0.06606831214161057,0.09252550489277535,0.035408054,0.0630782
Ndufs5,-2.6921425,-0.8237372,0.007099461084465277,0.02242154670187847,0.3081525804038893,0.316385592338122,0.17529167,0.29201096
Evc,-2.6950889,-1.0451008,0.007036986759715488,0.022229465581184476,0.020443779606083273,0.047220487195502814,0.010412689,0.021369008
Tmbim1,-2.7107463,-1.2553462,0.006713198865745159,0.0212441000497671,0.06706556968337073,0.09248386425150948,0.02924268,0.068443544
Ncl,-2.7208755,-0.7105032,0.006510926134441569,0.020623433364664028,0.4268262278733483,0.4141994586716635,0.24920018,0.380552
Ndnf,-2.7227962,-1.6836418,0.0064731965572414,0.020508759756287753,0.03889304412864622,0.06491775973349989,0.022640327,0.070979215
Dapp1,-2.726294,-2.1236227,0.0064049930221622324,0.020309436217311683,0.02916978309648467,0.05542369352488028,0.013213865,0.056348596
Cyp2j9,-2.7355525,-2.2088037,0.0062275633911102165,0.0197701593004645,0.02518075292944403,0.05155111388715386,0.010783989,0.048907503
A230001M10Rik,-2.7362957,-1.5290468,0.00621351502580016,0.019732555104981717,0.0481176763899277,0.07395377888819488,0.028840737,0.08106812
Btbd3,-2.742567,-0.39887822,0.006096102258923141,0.019375711816567873,0.5255547245076041,0.4857380803664376,0.36834076,0.46195042
Dab2,-2.743757,-1.7874942,0.006074046633608107,0.019317035512492583,0.03415607080528547,0.060587133041848845,0.016844263,0.056986324
Ston1,-2.7470586,-1.6172765,0.006013237108934472,0.019134969341197215,0.02218898030416355,0.049177597334998956,0.009854878,0.029931325
Gapdh,-2.747861,-0.9886454,0.005998544941939286,0.019095000899171734,0.35926202941909746,0.3478659171351239,0.2260319,0.4076317
Aldh1l2,-2.749751,-1.5419418,0.005964056370965185,0.01898971379166187,0.024931438544003988,0.05188423901728086,0.011400414,0.03284116
Glo1,-2.7552917,-0.7784713,0.0058639837853181175,0.018677719809328808,0.12665170780354026,0.15232146575057257,0.060058735,0.10090895
P3h2,-2.7575486,-0.46652132,0.005823655528646246,0.018553666594110108,0.3231114435302917,0.3320424734540912,0.2124031,0.2829149
Rpl19,-2.760182,-0.8085135,0.005776918930536057,0.018413500790451225,0.4195961106955871,0.4049135956693733,0.26894706,0.43208054
Rps10,-2.7659545,-0.83253855,0.005675646398146207,0.018103587217258854,0.34829219645973575,0.34761607328752864,0.21273603,0.35217437
Lgi3,-2.7704334,-0.66632617,0.005598172260190853,0.01786707312404421,0.24158563949139866,0.26125338330210285,0.12742336,0.19529821
