"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
9.19365656051304e-05,-0.320099841389229,0.194,0.317,1,"Eif3a","Down"
9.20518383505063e-05,-0.318392911399817,0.172,0.292,1,"Opa1","Down"
9.27515165266618e-05,-0.443389231801514,0.176,0.293,1,"Rgs7bp","Down"
9.43200239615999e-05,-0.758555232528729,0.062,0.135,1,"Azi2","Down"
9.45516787368825e-05,-0.535226516790525,0.072,0.151,1,"Rps3","Down"
9.77350439732814e-05,-0.295156176584809,0.259,0.397,1,"Dmxl2","Down"
9.82786508266174e-05,-0.271867176111011,0.154,0.267,1,"Epb41l4b","Down"
9.88127774489602e-05,-0.566176706825353,0.166,0.274,1,"Slc30a9","Down"
0.000104594900328238,-0.904858479339899,0.076,0.154,1,"Rps26","Down"
0.000106217370819903,-0.344245779958328,0.112,0.207,1,"Trim23","Down"
0.000107931091111655,-0.927535249129454,0.048,0.114,1,"Srp54a","Down"
0.000108363774076525,-0.52512251655151,0.124,0.222,1,"Cecr2","Down"
0.000108908564197149,-0.835590840225617,0.04,0.102,1,"Cibar1","Down"
0.000111131346415446,-0.539490731983704,0.066,0.142,1,"Rpl18","Down"
0.000112706448014267,-0.376239647557151,0.214,0.335,1,"Cwc27","Down"
0.000113907828470644,-0.740182946381974,0.06,0.132,1,"Fbxl4","Down"
0.000113918954239327,-0.589034825837682,0.098,0.184,1,"Iqgap2","Down"
0.000114239038518733,-0.337488611194806,0.114,0.209,1,"Tgfbr1","Down"
0.000114337166296428,-0.875637778603708,0.046,0.111,1,"Jkamp","Down"
0.000114506702681854,-0.710537055619987,0.046,0.111,1,"Rbm4","Down"
0.000115963337524354,-0.313125246578566,0.164,0.277,1,"Usp7","Down"
0.000116030133170036,-0.742828137980739,0.076,0.154,1,"Rabac1","Down"
0.000116337951071425,-1.19968715373552,0.04,0.101,1,"Tceal3","Down"
0.000116420724543347,-0.294796255560075,0.335,0.483,1,"Ube2d1","Down"
0.00011647021916848,-0.976153766799307,0.056,0.124,1,"Sncb","Down"
0.000117963865663335,-0.254608604046408,0.283,0.431,1,"Wapl","Down"
0.000118353337019099,-0.434548065590916,0.104,0.194,1,"Brd8","Down"
0.000118677093651321,-0.613465445823259,0.076,0.154,1,"Tmem50a","Down"
0.000118862518646336,-0.269567282184118,0.24,0.378,1,"Sos1","Down"
0.000119241730416176,-0.385461683927987,0.074,0.154,1,"Top3b","Down"
0.000119548638987296,-0.612710918348826,0.084,0.166,1,"Cdc5l","Down"
0.000120141493238487,-0.35870011655629,0.112,0.207,1,"Atp5c1","Down"
0.000120502490475429,-0.340565107223381,0.319,0.474,1,"Srsf11","Down"
0.000121371585250404,-0.567803526633435,0.09,0.175,1,"mt-Cytb","Down"
0.000122204831401431,-0.287677955682591,0.154,0.268,1,"Abcg1","Down"
