names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_4 (for_DEGs),mean_expr_Rest (for_DEGs)
Unc45a,-10.134417,-0.44577798,3.886872252021419e-24,2.033494108485505e-23,0.0678391959798995,0.23242793372172202,0.091591954,0.12278781
Dpp9,-10.135359,-0.5495037,3.849567565911201e-24,2.0143696299130277e-23,0.06281407035175879,0.22614814254369373,0.08325478,0.119618066
Chrm2,-10.135367,-2.036789,3.849253477191478e-24,2.0143696299130277e-23,0.028894472361809045,0.1830218657789211,0.04170502,0.16105293
Pgk1,-10.135389,-0.4976787,3.8483741638137214e-24,2.0143696299130277e-23,0.11055276381909548,0.2836120148293864,0.15633,0.21423814
Bbln,-10.135956,-1.1066694,3.826143657258764e-24,2.0032829320059042e-23,0.052763819095477386,0.2116213966860861,0.081801124,0.16852893
Btg3,-10.13685,-1.5241791,3.791272261281291e-24,1.985411920885369e-23,0.025753768844221106,0.18082772187334492,0.03646056,0.101476885
Cox5a,-10.139393,-0.37690592,3.693899014972996e-24,1.9347966185638285e-23,0.16080402010050251,0.3472421880910948,0.24048322,0.30234644
Macroh2a2,-10.141023,-1.4402666,3.632775335119006e-24,1.903152139883948e-23,0.028894472361809045,0.18434591813573428,0.036907405,0.09715135
Abcg4,-10.142283,-2.2208416,3.586156018087699e-24,1.8790954018333944e-23,0.013819095477386936,0.16698191722781267,0.01820668,0.08217937
Vstm2l,-10.143587,-1.3904083,3.538626472654981e-24,1.8545522395209548e-23,0.032663316582914576,0.18888552621623667,0.044898048,0.11367139
Dbnl,-10.143744,-0.9096493,3.5329096332352736e-24,1.8519173204259033e-23,0.04836683417085427,0.20795188015434668,0.061792172,0.11309982
Rnf19b,-10.144223,-1.3171242,3.515641684461987e-24,1.8432252109559724e-23,0.028894472361809045,0.18445940833774685,0.04212245,0.10183261
Ostm1,-10.148135,-0.5662925,3.377548440896946e-24,1.771861120790725e-23,0.0829145728643216,0.24964061436029356,0.11072066,0.15987654
Zfp385a,-10.151939,-2.37118,3.2484387684552997e-24,1.70446298981437e-23,0.01507537688442211,0.16841945978663841,0.019293418,0.09602485
Pigg,-10.152265,-0.58502614,3.2376251148613935e-24,1.699120836646985e-23,0.05778894472361809,0.2203601422410532,0.076665364,0.11290574
Nap1l5,-10.155373,-0.28663644,3.136093445332232e-24,1.6461580557936526e-23,0.17148241206030151,0.3662707119618673,0.24486282,0.29149455
Mrpl21,-10.155926,-0.7966114,3.11835043084758e-24,1.637164440736117e-23,0.05087939698492462,0.21112960581069834,0.0726991,0.123087235
Mib2,-10.156364,-0.7292763,3.104359624580468e-24,1.630137641439851e-23,0.04836683417085427,0.208557161231747,0.06828069,0.11078095
Pebp1,-10.156945,-0.6092218,3.0859364645548472e-24,1.6207801564227666e-23,0.1444723618090452,0.3217447227056064,0.211252,0.3066162
Lin7c,-10.161972,-0.36029017,2.9308670644170742e-24,1.539636324944023e-23,0.09296482412060302,0.2643565105545888,0.12964548,0.1635581
Slitrk2,-10.162726,-1.4959224,2.908272739679918e-24,1.528065868502139e-23,0.032035175879396985,0.18805326473481124,0.044406544,0.120506994
Purg,-10.16391,-0.4532981,2.8731759491736633e-24,1.5099205506414302e-23,0.3806532663316583,0.6875614738594235,0.61336976,0.7697361
Efcab7,-10.164953,-0.7527885,2.842589655215873e-24,1.494138967833539e-23,0.0471105527638191,0.20719527880759628,0.06885795,0.113433234
Dbt,-10.165568,-0.626479,2.8246887895341488e-24,1.4850203047306315e-23,0.06407035175879397,0.22785049557388212,0.08463532,0.12781927
Nbdy,-10.167712,-0.8442322,2.763227297545475e-24,1.4532769129975906e-23,0.05464824120603015,0.21570704395853824,0.07333924,0.1280544
Hint1,-10.176689,-0.52092665,2.5198846662902205e-24,1.326073266416338e-23,0.13128140703517588,0.30846636907013697,0.1908513,0.26369056
Dgat1,-10.178715,-1.2071654,2.467988120918241e-24,1.2990174497369861e-23,0.03391959798994975,0.1910418400544753,0.043657254,0.09806103
mt-Co3,-10.178769,-0.45869008,2.4666134157100263e-24,1.2985482460840205e-23,0.37185929648241206,0.6217749867594764,0.6316984,0.79321206
Chmp4b,-10.180178,-0.29946703,2.4311759679219082e-24,1.2801430189704423e-23,0.125,0.3055156238178104,0.17066063,0.20621443
Retreg2,-10.182111,-0.44505152,2.383354659797659e-24,1.2552085399600765e-23,0.09045226130653267,0.26049784368616175,0.1232616,0.16431381
Pet100,-10.18626,-0.54659754,2.283813798754483e-24,1.2030205209279151e-23,0.07726130653266332,0.2440417643943406,0.10179241,0.14540903
Akap5,-10.187283,-1.0175762,2.2599311386798985e-24,1.190673523457429e-23,0.04334170854271357,0.20235303018839373,0.060861617,0.11959646
Il17d,-10.187898,-2.5937815,2.2456689070548454e-24,1.1833913224664384e-23,0.011306532663316583,0.16467428312022395,0.014166729,0.08262119
Abraxas2,-10.188407,-0.599656,2.2339495648236086e-24,1.177446543876233e-23,0.059045226130653265,0.22225164560792918,0.082405955,0.12236234
Snrpb,-10.192376,-0.59259593,2.144566003048909e-24,1.130556964919054e-23,0.0722361809045226,0.23814027388968753,0.098143466,0.14453478
Ccdc174,-10.193471,-0.35879803,2.120559799711563e-24,1.1181209148008182e-23,0.0835427135678392,0.2531966406900204,0.113913044,0.14385988
Gm27003,-10.195815,-1.2607356,2.070010699882134e-24,1.0916817959927959e-23,0.032035175879396985,0.1891503366875993,0.042059615,0.09797208
Triqk,-10.196126,-2.8281548,2.0633955170432934e-24,1.0884067048086631e-23,0.009422110552763818,0.16263145948399788,0.012437259,0.08514657
Taf4b,-10.197213,-1.3799624,2.040423622471638e-24,1.0765007409348697e-23,0.03015075376884422,0.18672921237799803,0.0390802,0.09869037
Rmdn3,-10.198113,-0.7603683,2.021617872428798e-24,1.0667885355884094e-23,0.04648241206030151,0.20689263826889612,0.06327747,0.104946226
Ctdp1,-10.198645,-0.3181065,2.0105952018134854e-24,1.0611803785646896e-23,0.07600502512562814,0.24442006506771582,0.10652026,0.13114135
Rhobtb1,-10.1986475,-2.7732444,2.0105291797834184e-24,1.0611803785646896e-23,0.011306532663316583,0.16467428312022395,0.015620077,0.10221734
Pcca,-10.198966,-0.49333146,2.003937811141735e-24,1.0580823145093027e-23,0.39761306532663315,0.6950518271922524,0.6350209,0.8103576
N4bp2,-10.200421,-0.7549319,1.974151520486184e-24,1.0425599716089576e-23,0.06721105527638191,0.23117954149958386,0.08940674,0.14654684
Ccdc92b,-10.20229,-2.5627663,1.936516704157415e-24,1.0228858628014495e-23,0.010678391959798994,0.16429598244684876,0.013917351,0.07955405
Fam171b,-10.202947,-0.43758923,1.9234562814911518e-24,1.0161869894547237e-23,0.38253768844221103,0.6918362714685632,0.62117416,0.77299374
E430024P14Rik,-10.204748,-1.490467,1.8881124198221255e-24,9.977105353121046e-24,0.03077889447236181,0.18737232352273586,0.03901386,0.105969295
Ifnar2,-10.207489,-0.9165172,1.835530234274968e-24,9.701159991142483e-24,0.0571608040201005,0.21843080880683968,0.07784208,0.14219481
Gm13269,-10.209441,-3.2813473,1.7989763207070224e-24,9.511706756670148e-24,0.006909547738693468,0.15998335477037148,0.008763688,0.082114816
Sfxn4,-10.209794,-1.1229421,1.7924535973082493e-24,9.479084463623825e-24,0.035804020100502515,0.19365211470076416,0.047767375,0.101253755
