names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA1 (for_DEGs),mean_expr_Rest (for_DEGs)
Rgs11,8.580985,0.832951,9.406412792502866e-18,1.1334094696616682e-16,0.31646191646191646,0.22149974991343158,0.19263485,0.112667456
Gabpb1,8.576757,0.45602897,9.758539723600221e-18,1.1753113508432896e-16,0.41277641277641275,0.3187641876034012,0.26775816,0.20197903
Abhd17c,8.575421,0.6411847,9.872474884286128e-18,1.1885008966880297e-16,0.3248157248157248,0.22592435843176484,0.19528902,0.12951823
Vps41,8.57195,0.2753516,1.0174710761063028e-17,1.2232415129743337e-16,0.8103194103194103,0.6342195375322227,0.77685124,0.6783016
Gm2762,8.569257,1.1149069,1.0415465256191957e-17,1.2516259008670747e-16,0.257985257985258,0.15705436497249048,0.1663292,0.08024622
Srsf4,8.567037,0.30655193,1.0618218111057844e-17,1.2754202979174085e-16,0.5184275184275184,0.4146050555961679,0.35330048,0.29463753
Mark2,8.561034,0.27344263,1.118590528556653e-17,1.3424085530289087e-16,0.8235872235872236,0.6400292408910777,0.80377394,0.70354396
Neurl1a,8.559842,0.3969544,1.1302176946087416e-17,1.3557566720596824e-16,0.457002457002457,0.36143280366280633,0.3029088,0.23798518
Tra2a,8.559615,0.35283592,1.132451200284895e-17,1.3578297077936247e-16,0.9164619164619164,0.7207879650648301,1.1206505,0.9625738
Fktn,8.5584,0.28774497,1.1444464117348871e-17,1.371600137525264e-16,0.5287469287469287,0.4239544457696895,0.3665595,0.30947036
Ascc2,8.555033,0.42144853,1.1783523890111605e-17,1.4109772144710287e-16,0.45257985257985256,0.35404563118002386,0.2941145,0.22738767
Reck,8.546352,0.54431176,1.270399809241746e-17,1.5198416239681975e-16,0.3823095823095823,0.2879458274017929,0.25268343,0.17992502
Ube4b,8.544739,0.25359797,1.2882714718531807e-17,1.540536468566754e-16,0.7518427518427518,0.5915893963294987,0.6566989,0.5759161
Tmem38b,8.536108,0.732641,1.388184713400749e-17,1.659275945243689e-16,0.32923832923832924,0.2361586703089531,0.2080463,0.1303077
Atxn7l1,8.5280905,0.27464843,1.4878322858425243e-17,1.776802378692828e-16,0.7813267813267813,0.6054018698780347,0.7249163,0.6312824
Clip2,8.523292,0.2662542,1.5508110519533127e-17,1.8511902694795873e-16,0.5272727272727272,0.42260782578584893,0.36602196,0.31298524
Cry2,8.507379,0.33532465,1.7790925956208895e-17,2.121802842624647e-16,0.5135135135135135,0.40944942480089264,0.35464504,0.29072168
Slc6a7,8.501574,0.4723795,1.8703803148126366e-17,2.228697075787829e-16,0.4334152334152334,0.3370012696702705,0.2992675,0.22430883
Madd,8.48928,0.25320658,2.0792225196791948e-17,2.475352640840938e-16,0.6073710073710074,0.484129121619022,0.45393506,0.39340696
Phip,8.488982,0.34252387,2.0845481999540706e-17,2.480593894276611e-16,0.9144963144963145,0.7320610980724097,1.2058216,1.045592
Nup98,8.485236,0.2581591,2.1528055633511914e-17,2.560685501870142e-16,0.7292383292383292,0.584163748990035,0.63307124,0.5531073
Rps6kl1,8.479286,0.6068364,2.2658056419808377e-17,2.6939025486736776e-16,0.37886977886977885,0.28917702281559,0.24347149,0.16637377
Rgl1,8.472298,0.26455075,2.4059864487941684e-17,2.8593036655948387e-16,0.741031941031941,0.5655803932130353,0.6800196,0.59373754
Pcca,8.4718275,0.29583457,2.4157345586769675e-17,2.8696192569252924e-16,0.8427518427518428,0.6652687468739179,0.9092103,0.79187673
Glt1d1,8.466107,0.5142356,2.537312747975992e-17,3.0113778064538387e-16,0.4196560196560197,0.33026816975106765,0.2829153,0.20615879
Ccsap,8.462446,0.5618814,2.6182563975190966e-17,3.103332571739661e-16,0.34742014742014743,0.25220268554499636,0.20906283,0.14627546
Iqce,8.461115,0.42181522,2.648329458259099e-17,3.137593145653527e-16,0.4540540540540541,0.36254857450656,0.30121306,0.23300496
1700007F19Rik,8.456844,2.9612303,2.7470995507907985e-17,3.2531760656566216e-16,0.14004914004914004,0.029971913354622754,0.08503305,0.011331861
Dpp6,8.456763,0.58589816,2.7490096622187884e-17,3.254003948185852e-16,0.9945945945945946,0.8071255434573507,2.1575177,1.8077078
Pygb,8.438972,0.28384662,3.2013938465557294e-17,3.786754506988589e-16,0.4742014742014742,0.3654341887576469,0.32117367,0.27086607
Tmem132b,8.438954,0.42666343,3.201900349787151e-17,3.786754506988589e-16,0.941031941031941,0.7033973298449463,1.2682164,1.0648828
2610037D02Rik,8.43737,0.2838565,3.2455592137747597e-17,3.836699343340422e-16,0.6024570024570025,0.4812819822246162,0.45672458,0.38899547
Mcm3ap,8.4323435,0.4279649,3.388114519632827e-17,3.9981834493866514e-16,0.3960687960687961,0.3007964295333,0.24347417,0.18640557
Gm56518,8.429848,1.3617765,3.461143910270664e-17,4.080778274198014e-16,0.21081081081081082,0.10688315186025932,0.12076162,0.048736475
Dock7,8.429651,0.31698474,3.46695512019013e-17,4.085837021031088e-16,0.8457002457002457,0.6396829671809473,0.87694967,0.7545714
Tmem120b,8.413946,0.6016572,3.9644204242872716e-17,4.661880822783325e-16,0.3656019656019656,0.2750567504136047,0.22823907,0.15611236
Mb21d2,8.411461,0.46718723,4.049344504122271e-17,4.757581409084628e-16,0.3783783783783784,0.2793659343618945,0.24237394,0.18098755
Lrif1,8.410175,0.297497,4.093991191592155e-17,4.807934585580472e-16,0.5277641277641277,0.42491631718671846,0.3809108,0.32007203
Ppwd1,8.402077,0.32863456,4.3865263547514074e-17,5.144738679710621e-16,0.513022113022113,0.41168096648839986,0.3507524,0.28859502
Gm11613,8.400339,0.63257813,4.4519029499640315e-17,5.219137533400241e-16,0.35331695331695334,0.2650532876765034,0.2232097,0.14954837
Cd34,8.393557,1.3874824,4.716530952725609e-17,5.526959733961497e-16,0.1828009828009828,0.07487207110153515,0.10612717,0.041905392
Ralgapb,8.389967,0.2617172,4.8627760966715874e-17,5.695849769728228e-16,0.771007371007371,0.600630987649571,0.6854223,0.5995273
Pou2f2,8.389773,0.2857026,4.8707851122475574e-17,5.702744922269798e-16,0.47371007371007373,0.3680504790119657,0.33048669,0.27860343
Gm15997,8.383689,1.2797738,5.129404455670313e-17,5.997697899210675e-16,0.22162162162162163,0.11919510599823016,0.13233823,0.05664104
