names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CNU-MGE GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Mapk10,4.668899,1.0237373,3.0281806604343757e-06,0.0013561202390978615,0.8888888888888888,0.8107335548647586,2.3981862,1.7783326
Cntnap3,4.659354,2.5328712,3.1720319201522957e-06,0.0013972540605654458,0.6111111111111112,0.20895415728731195,0.8163423,0.1972946
Unc5d,4.648933,1.8793153,3.3365677217338864e-06,0.0014460253981127345,0.8055555555555556,0.6374388108764784,2.2502227,1.1962388
Frmd5,4.6150303,1.3224559,3.930375823559447e-06,0.0016763364822070216,0.8333333333333334,0.7387001107657126,2.1144314,1.3642731
Rarb,4.591096,2.7497828,4.409249101495255e-06,0.001822715743956577,0.5833333333333334,0.19662700539536213,0.70346665,0.1412893
Grb10,4.526528,1.9235119,5.996074239597001e-06,0.0024411290123935066,0.6944444444444444,0.3549862436131061,0.770065,0.26678962
Rab3b,4.501799,2.930759,6.738060025065301e-06,0.0026625246010809505,0.5555555555555556,0.16839961410654947,0.6394563,0.111035265
Rcan2,4.474401,1.7044183,7.66257691677426e-06,0.00298396292396702,0.6944444444444444,0.3661342766284346,0.8349916,0.33673716
Vwc2,4.4500027,2.9132667,8.586926292071267e-06,0.0032961529923993564,0.5555555555555556,0.16036016722049523,0.77832484,0.14526865
Frmd3,4.446405,1.8041685,8.731919726477217e-06,0.003304601169724547,0.6944444444444444,0.3656697752527959,0.75328135,0.27902493
Aff2,4.4424367,1.6035994,8.8945830050687e-06,0.003319408963141611,0.7777777777777778,0.6011719727016115,1.4431297,0.7247124
Ntn1,4.431923,4.1135387,9.33965119112381e-06,0.003437759280897216,0.4722222222222222,0.06052810233322614,0.62370086,0.04880762
Lypd6b,4.4274282,3.2564876,9.536317854174968e-06,0.0034627143343470457,0.5,0.09225711937685353,0.502632,0.06610339
Myo16,4.4124513,1.6242144,1.0220681832976457e-05,0.003661729611361032,0.7222222222222222,0.4841533569157109,1.1331302,0.52054816
E430024P14Rik,4.3846717,2.8223104,1.1616082682409129e-05,0.004106896601004386,0.5555555555555556,0.17801121949476542,0.563185,0.10158388
Klhl32,4.3626647,1.8449135,1.2848787985750036e-05,0.0044837264048974475,0.6944444444444444,0.5161324900846822,1.1968691,0.49650425
Cdh4,4.3578715,2.0442965,1.3133350052331158e-05,0.004524270716745361,0.6388888888888888,0.3188623289384357,0.8434317,0.27844268
Col25a1,4.343595,2.9584098,1.4016975156893587e-05,0.00476754585399659,0.6388888888888888,0.45045914174438134,1.8601137,0.52938735
Snhg11,4.34075,1.0239983,1.4199710790174402e-05,0.004769327861649827,0.8888888888888888,0.8273841426376531,2.8456094,2.194138
L3mbtl4,4.320495,4.2188725,1.5567935739914745e-05,0.005101346747945234,0.4722222222222222,0.08679029549433666,0.7571783,0.05902757
Snrpn,4.3117027,1.1498257,1.6200211759022536e-05,0.00524457457789079,0.8333333333333334,0.7002179583377997,1.4546607,0.9080945
Lrrtm4,4.2763987,1.196859,1.8994106492457127e-05,0.005882651750911788,0.9444444444444444,0.9200343016400472,3.8392296,3.037068
Dnm3,4.2394347,1.1398124,2.2408331136396887e-05,0.006701198755031336,0.8611111111111112,0.7265516132490085,1.7163768,1.1221275
C130073E24Rik,4.2390637,1.6936338,2.2445399626081886e-05,0.006701198755031336,0.6944444444444444,0.3426590917211563,0.96377647,0.4063358
Xkr4,4.229766,0.7938423,2.3393448551385597e-05,0.006758945834147645,0.8888888888888888,0.8606138564333441,2.7587285,2.253923
Fndc1,4.180392,2.829157,2.910074441326757e-05,0.007978949003923465,0.5277777777777778,0.1796548397470254,0.5947345,0.108260065
Dpysl5,4.157096,2.1102874,3.223185488199114e-05,0.008748181218980827,0.5833333333333334,0.2367885089505842,0.5234025,0.14780411
Nrxn3,4.1536016,0.90939194,3.272826952780913e-05,0.008794086022122314,0.8888888888888888,0.9291099439025262,3.7117794,3.1026616
Mpp7,4.1466336,2.918656,3.37399346539137e-05,0.008976158852976843,0.5,0.14560331582520455,0.5468848,0.09190436
A230057D06Rik,4.1415005,0.8058116,3.450414078721527e-05,0.009030807441768693,0.7777777777777778,0.7874012934576767,2.030589,1.5657098
Olfm3,4.140748,1.9950535,3.4617535039157995e-05,0.009030807441768693,0.6666666666666666,0.39857791117304464,1.2102914,0.46413478
Gm56750,4.136522,2.1759257,3.526101159036358e-05,0.00911022482147182,0.5555555555555556,0.17708221674348804,0.5779626,0.15968885
Peg3,4.0782824,1.2583796,4.53696088248273e-05,0.011010299975410412,0.7777777777777778,0.6347232643727445,1.2838674,0.7377661
Dner,4.0765405,1.3712763,4.5710691002584946e-05,0.011010299975410412,0.75,0.5435023403723157,1.1771199,0.62476563
Tenm1,4.0550075,1.1085167,5.0132688215764895e-05,0.011713611585718283,0.8333333333333334,0.7513488405331047,2.1155684,1.4777024
Kctd8,4.0122094,2.125757,6.015307269482023e-05,0.013697568333134066,0.5833333333333334,0.2698395683710294,0.925201,0.29923272
Chodl,3.9979024,7.753099,6.390631804242434e-05,0.014309689714999518,0.3888888888888889,0.005681209132811662,0.47903967,0.0028444922
Elmo1,3.9775856,1.3314508,6.961855986732712e-05,0.01533320248881213,0.7777777777777778,0.5714438846607354,1.3977777,0.79320145
Osbpl9,3.9753592,1.1997803,7.027313108141112e-05,0.01535153684680908,0.7777777777777778,0.5917032908135921,1.0453498,0.5894194
Ankrd55,3.9561453,2.2575798,7.616881732680218e-05,0.016505291302993344,0.5,0.1293100368028013,0.33469108,0.07985315
A530058N18Rik,3.948796,2.9195359,7.854527761756418e-05,0.01661820165026732,0.4722222222222222,0.1078357808982742,0.42221442,0.0671291
Frmpd3,3.9400754,1.6118828,8.145596371227158e-05,0.017099388632412012,0.6111111111111112,0.3019258941651481,0.5300474,0.20595431
Vstm2b,3.9318292,2.0413206,8.43019283099184e-05,0.01742456010528852,0.5555555555555556,0.22453281880873263,0.46950972,0.1359049
5330434G04Rik,3.921573,1.1045254,8.797278442446902e-05,0.017773148251770544,0.8055555555555556,0.6444420623861078,1.3620133,0.8546472
Slc38a1,3.8832073,1.5456707,0.00010308758118463484,0.020665698794576613,0.6944444444444444,0.44620716761353485,0.8013813,0.3512516
Efna5,3.8799603,1.7337258,0.00010447347043797376,0.020665698794576613,0.6944444444444444,0.41265587594240183,1.1851519,0.52051115
Zfp536,3.8616846,1.6172197,0.00011260784813695132,0.021925890430723783,0.6944444444444444,0.47611391002965664,1.3928276,0.6863417
Mirg,3.8403268,1.3283908,0.00012287058517416847,0.023461378545278435,0.6666666666666666,0.503162182441848,0.8979886,0.4569582
Rapgef4,3.8296685,1.0148882,0.00012831592902970076,0.024280626852310278,0.8888888888888888,0.7240861828706185,1.7345443,1.1967094
Grin3a,3.812898,2.1877334,0.00013734689771706794,0.02537361518173206,0.6111111111111112,0.4011148033015329,1.2544547,0.43828207
Gm1604a,3.8119597,2.3660057,0.00013786928978536957,0.02537361518173206,0.5555555555555556,0.25297459534784006,0.64099616,0.1606447
Srgap2,3.7951272,0.9570596,0.00014756779127005044,0.02661172182165272,0.8055555555555556,0.7203344409904598,1.508584,1.0343763
Fgf12,3.7580397,0.7054856,0.00017124971396909007,0.03027289351545691,0.8888888888888888,0.8543609532997463,2.6197228,2.1756217
Elapor2,3.74901,1.294986,0.00017753396035816467,0.0307763710633799,0.7222222222222222,0.4696466216457641,0.81039643,0.41140488
Gm56999,3.7244673,1.8607147,0.00019572816809873274,0.03328617643552499,0.5833333333333334,0.28548969164254834,0.5923076,0.2009124
Gprasp2,3.6893692,1.6297946,0.00022481085051208726,0.037991619831822546,0.6111111111111112,0.3102511880515954,0.53648573,0.2065441
Erbb4,3.687194,1.6885705,0.00022674034836219753,0.03807820725307654,0.8611111111111112,0.7192267838639368,2.5815434,1.566596
Tox2,3.651426,2.0074954,0.0002607881557638657,0.04272791308155532,0.5277777777777778,0.2152070604209097,0.4774046,0.14165469
Dock11,3.6367478,1.3707958,0.0002761020485065946,0.0441598931153107,0.6388888888888888,0.32197091506771003,0.621893,0.2878
Galnt14,3.621822,1.4830903,0.0002925353016861676,0.04600220978203572,0.6666666666666666,0.40040018580055026,0.83616936,0.38371357
Epb41l3,3.6193585,1.2056437,0.000295334238058027,0.04613738939894875,0.6944444444444444,0.6245399649837424,1.2521337,0.7338009
