names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CLA-EPd-CTX Car3 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Arhgap44,3.7763808,0.6126524,0.00015912368674408077,0.005220578098673321,0.813953488372093,0.5835158915424672,0.8031437,0.59115803
Ino80,3.7756307,0.5895207,0.00015960332303959943,0.005229928402529313,0.8837209302325582,0.6193571556832466,0.8365168,0.62564856
Sri,3.7750816,0.97205484,0.00015995534764807345,0.005235079404754852,0.4069767441860465,0.16803734961393427,0.18687771,0.09961841
Clstn1,3.7735546,0.5066686,0.00016093799180435462,0.005260831921877139,0.9534883720930233,0.6655773029269169,0.92972887,0.73216426
Nsd2,3.7645335,0.6512567,0.0001668602423335661,0.005447794303162723,0.8372093023255814,0.6284790806248878,0.8920746,0.6507642
Krit1,3.762779,0.57343876,0.00016803572069146506,0.0054795143385675555,0.8837209302325582,0.64848267193392,0.92316204,0.7029019
Pkia,3.7622967,0.6196354,0.00016836011481832167,0.0054834379214161256,0.8953488372093024,0.6321781289279943,0.9374142,0.69862527
Myh10,3.7596648,0.5894678,0.0001701411743718489,0.005528045169735889,0.7790697674418605,0.5525228945950799,0.6922685,0.5088765
Abcc8,3.7565641,1.1739321,0.00017226220806215047,0.005590199916219786,0.45348837209302323,0.22668342610881667,0.26338655,0.1253568
Dennd5b,3.753959,0.5739638,0.00017406344207782697,0.005641839190146213,0.8953488372093024,0.6676243490752379,0.9970186,0.7649327
1700023F02Rik,3.7517755,3.279872,0.0001755865865899731,0.005684351303219973,0.26744186046511625,0.03422517507631532,0.19083245,0.02141661
Gm15283,3.7508647,1.310886,0.00017622570656705794,0.005698176576963715,0.38372093023255816,0.14724367031783084,0.19270666,0.08219181
Evi5,3.7501683,0.6180958,0.00017671592077418065,0.005707159604810377,0.872093023255814,0.6112767103609266,0.8727315,0.64598644
Insyn2a,3.7498536,1.3145765,0.00017693788033240222,0.005707468000638233,0.37209302325581395,0.1366493086730113,0.17426327,0.07374896
0610040J01Rik,3.7480588,0.6745831,0.00017820853966220542,0.005741562902546115,0.43023255813953487,0.18667624349075237,0.24881299,0.16296153
Dip2b,3.7389104,0.5487393,0.00018481952142030496,0.005947425797082149,0.9534883720930233,0.7170766744478362,1.1247405,0.8843966
Far2,3.7382607,0.68058014,0.00018529763020949016,0.005955678616900718,0.6627906976744186,0.42316394325731727,0.48581523,0.32949004
Egr3,3.737879,1.2388192,0.00018557912282299646,0.005957599797197031,0.38372093023255816,0.14645358233075956,0.19321541,0.08646501
Nmnat2,3.729173,0.61100763,0.00019210930858369127,0.006159877233465136,0.872093023255814,0.6371700484826719,0.9767363,0.73433685
Etf1,3.7287176,0.5715258,0.00019245676185406497,0.006163662921357242,0.5813953488372093,0.33998922607290355,0.3157892,0.22304562
Gm42397,3.7255163,4.4927874,0.00019491587140553563,0.0062349874579365975,0.2441860465116279,0.012785060154426289,0.14661495,0.0069891107
Lrig2,3.724438,0.58746547,0.00019575077482609992,0.006247318524207149,0.7906976744186046,0.5558628119949721,0.6802407,0.49983093
Mpc1,3.724418,0.5191681,0.0001957663638772765,0.006247318524207149,0.7790697674418605,0.5149578021188723,0.5820004,0.43888247
Capn6,3.7212703,2.814944,0.00019822310810625523,0.006318214608321563,0.27906976744186046,0.0499191955467768,0.1524436,0.023132201
Cdh22,3.7205203,1.253473,0.0001988128039150186,0.006329502418479325,0.37209302325581395,0.13754713593104687,0.16298106,0.071619384
Bnip2,3.7192345,0.95650417,0.00019982754737522237,0.006354279524227485,0.46511627906976744,0.22847908062488778,0.24320911,0.13267735
Cir1,3.718933,0.62626165,0.00020006608074032777,0.006354344668430979,0.6046511627906976,0.3461303645178668,0.34705698,0.23806562
Osbpl3,3.7167833,0.68065333,0.0002017753949016686,0.006401068312878199,0.6046511627906976,0.35130184952415155,0.4426532,0.29817548
Sema6d,3.7159996,0.71780455,0.00020240182045666867,0.00641336900432864,0.9069767441860465,0.7053330939127312,1.5397459,1.1716845
B830012L14Rik,3.7153902,0.70694524,0.00020289030293411822,0.006421274958586286,0.8953488372093024,0.6132160172382833,1.0812973,0.7855819
Cabin1,3.7145731,0.58085895,0.00020354692934566234,0.0064344776370799375,0.7441860465116279,0.47706949182977193,0.5049694,0.36409077
Fstl5,3.713542,0.7642567,0.0002043786361298559,0.006453177382854556,0.7325581395348837,0.4703896570299874,0.85450256,0.5849725
Ankrd26,3.708854,0.9143919,0.00020819951473615637,0.006566104414272913,0.47674418604651164,0.2439576225534207,0.25945798,0.14597592
Appl2,3.7074676,0.61495996,0.00020934219313204383,0.006594401793034018,0.4883720930232558,0.24173101095349256,0.27078462,0.18486963
Msi2,3.7067978,0.43840644,0.0002098963192687288,0.00660411486973155,0.872093023255814,0.6524690249595978,0.99665236,0.8159404
Echdc2,3.705358,1.6085465,0.0002110923585175411,0.0066339785653407365,0.3372093023255814,0.1043634404740528,0.15323181,0.052880242
Itga7,3.7044473,1.6555468,0.00021185222456379776,0.006650080927604259,0.32558139534883723,0.0915783803196265,0.14667809,0.048929203
Ulk4,3.70065,0.6600021,0.00021504795979525497,0.006742518879461495,0.7093023255813954,0.4588615550368109,0.51643413,0.35617054
Snx6,3.6984265,0.54770875,0.00021694013911945746,0.006793917876619839,0.6627906976744186,0.4095528820254983,0.41663218,0.30275083
Rab3gap1,3.6977768,0.6384871,0.0002174959186027027,0.0068033938682824455,0.872093023255814,0.6048841802837134,0.80508786,0.5847625
Brwd3,3.6944351,0.57621366,0.00022037622176143386,0.006882011289428891,0.7325581395348837,0.4724007900879871,0.52041376,0.37700972
Mtpn,3.6942675,0.52299577,0.00022052146334939618,0.006882011289428891,0.686046511627907,0.4134674088705333,0.42301938,0.3122161
Slc2a3,3.6928613,0.62206393,0.0002217450454973466,0.0069121686456075455,0.6976744186046512,0.43968396480517147,0.47073865,0.32974076
Dpy19l1,3.6919906,0.5185744,0.0002225056920509077,0.006927842346938459,0.686046511627907,0.42424133596695995,0.5233261,0.39204803
Cntn3,3.6904035,0.7732126,0.00022389871625585488,0.006947065249185705,0.9186046511627907,0.662955647333453,1.4833466,1.0965741
Otud7a,3.6891444,0.6771989,0.0002250095495561792,0.006973479350143638,0.9418604651162791,0.7691147423235769,1.8514264,1.4719201
4933424G05Rik,3.6882403,1.5740553,0.00022581041131957346,0.00699023704165546,0.3488372093023256,0.12246363799604956,0.17076641,0.060664363
Zkscan1,3.6868002,0.6351251,0.00022709138363956346,0.007015575686957911,0.5348837209302325,0.29129107559705514,0.2625233,0.17672145
8030462N17Rik,3.6867335,0.58637416,0.00022715112942513517,0.007015575686957911,0.8488372093023255,0.5754354462201472,0.7103313,0.52419734
Bean1,3.6864185,1.8020161,0.00022743213229364334,0.0070161898906202025,0.32558139534883723,0.10098760998383911,0.16017498,0.048616003
Fancc,3.6844966,0.71597815,0.0002291551351173694,0.007061236789683159,0.5232558139534884,0.2813072364876998,0.2705479,0.17323104
Dpysl3,3.6789982,0.75336486,0.0002341518978318941,0.007206943292947302,0.5697674418604651,0.3420003591309032,0.3849618,0.2457269
Rbm33,3.6751742,0.55182415,0.00023768719934461,0.007307385636601454,0.8372093023255814,0.5850960675166098,0.7197254,0.54168695
Ablim2,3.6745112,0.58754367,0.00023830522145830237,0.00731801291495381,0.813953488372093,0.5834440653618244,0.7896542,0.58796704
Osbpl6,3.671069,0.69580114,0.00024153825027843544,0.007408827380115937,0.9186046511627907,0.6743041838750224,1.2370378,0.92016655
Car3,3.668564,5.613921,0.00024391650213367814,0.007468449380597458,0.23255813953488372,0.0038067875740707487,0.10956204,0.002361548
Gab3,3.668437,1.037674,0.000244037906816694,0.007468449380597458,0.45348837209302323,0.22359490034117435,0.2717209,0.1415746
Phtf2,3.6678274,0.57274175,0.0002446201576582513,0.007477751577107181,0.7441860465116279,0.4760280122104507,0.52463293,0.3810383
Stard7,3.6673386,0.57787263,0.00024508817973563373,0.007483544760791452,0.6627906976744186,0.4163763691865685,0.4212371,0.30080837
Add3,3.6663609,0.5462376,0.0002460267449202014,0.007497523213930266,0.8023255813953488,0.593104686658287,0.79412484,0.6044939
Srpk1,3.6662805,0.73178816,0.00024610403701847767,0.007497523213930266,0.627906976744186,0.3969473873226791,0.41841173,0.27219895
Sp3,3.65596,0.578878,0.00025622110720854136,0.00778807822476641,0.7790697674418605,0.5286406895313341,0.61980736,0.4541277
Slc38a2,3.6544333,0.45216787,0.00025775069529876274,0.007825718850483339,0.6976744186046512,0.45325911294666904,0.5029538,0.39051652
Lrrc58,3.6531205,0.5469091,0.00025907244419282624,0.007856971304132328,0.6744186046511628,0.4353384808762794,0.4547023,0.33222133
Oaz2,3.6496046,0.7834526,0.00026264422131081985,0.007956313671501385,0.5348837209302325,0.2974681271323397,0.30873632,0.19073647
