names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Sst Chodl Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Focad,3.6698709,1.2326351,0.00024267293185226512,0.03309960243081403,0.9,0.6954963992691053,1.615168,0.9985681
Gad1,3.6570542,2.482419,0.00025513045932322275,0.034450885848018566,0.65,0.26527175665508224,0.94357187,0.24747615
Mb21d2,3.6570404,2.1143088,0.0002551442606533567,0.034450885848018566,0.7,0.2870552828633872,0.63270503,0.1855366
Rims1,3.6516168,1.0535202,0.0002605945633832474,0.03499700776607549,0.95,0.8442549532442406,2.8440797,2.1745405
Brinp2,3.6504378,1.459315,0.00026179376855158817,0.03499700776607549,0.85,0.5456988284189029,1.1915053,0.606245
Tox2,3.6140542,2.2366726,0.00030144603259076724,0.040098291562940175,0.65,0.21572140016480956,0.54165965,0.141954
Kctd8,3.6000721,2.4425926,0.00031812879184898573,0.041555983227183034,0.65,0.27043101286231236,1.0643516,0.2996002
Pcdh10,3.59967,1.6821874,0.0003186213055146332,0.041555983227183034,0.8,0.5012718999677547,1.1403459,0.5086595
Pcp4,3.5987267,1.8091108,0.0003197789655133629,0.041555983227183034,0.75,0.39084948586578766,0.9415309,0.36899793
Gfod2,3.598616,2.0386388,0.00031991541935369125,0.041555983227183034,0.7,0.30977034144244203,0.62808883,0.19287543
Ctnna2,3.5984354,0.864393,0.0003201372730936691,0.041555983227183034,0.95,0.8865321916090431,3.0346408,2.4741888
Htr7,3.5903208,2.5556517,0.00033027105141023873,0.042461163403794806,0.6,0.1761671025760453,0.5412786,0.11525276
Gap43,3.566435,1.4012223,0.00036187034032258405,0.04630217164032301,0.9,0.5002687112607932,0.9623947,0.47783214
Phf24,3.5579462,1.5330422,0.00037376599787284937,0.047597594136698874,0.9,0.5736089713732937,1.1783812,0.5750254
Il1rapl1,3.5528831,0.90712917,0.00038103362734005406,0.048294214936921,0.95,0.9250116441546343,3.460236,2.858596
Mrap2,3.5433123,4.2090974,0.0003951346058260237,0.0496133965352582,0.5,0.05589194224499301,0.43202916,0.028798243
