Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Nuclear Lumen (GO:0031981),2/780,0.2547949245133278,0.2994957884630345,0,0,2.145635408516821,2.9337193015194227,RPS2;RPL19
GO_Cellular_Component_2023,Bounding Membrane Of Organelle (GO:0098588),2/819,0.2731049039887799,0.3154832511594526,0,0,2.039061252727369,2.6464961601589843,UBB;ATP6V0C
GO_Cellular_Component_2023,Intracellular Organelle Lumen (GO:0070013),2/856,0.2904913618137736,0.3298800210427599,0,0,1.9469504123816312,2.40678396188098,FTH1;PPIA
GO_Cellular_Component_2023,Secretory Granule Membrane (GO:0030667),1/279,0.296309787832745,0.3308792630798985,0,0,2.9521882494004794,3.59089356140743,ATP6V0C
GO_Cellular_Component_2023,Lytic Vacuole Membrane (GO:0098852),1/287,0.3034159048235311,0.3332600921832228,0,0,2.868444055944056,3.4210520736344243,ATP6V0C
GO_Cellular_Component_2023,Microtubule Cytoskeleton (GO:0015630),1/342,0.3504384402831258,0.3786996048220875,0,0,2.399071358748778,2.5155947870753272,GAPDH
GO_Cellular_Component_2023,Lysosomal Membrane (GO:0005765),1/356,0.3619121582045839,0.384890707931859,0,0,2.3028169014084505,2.340476601359881,ATP6V0C
GO_Cellular_Component_2023,Lysosome (GO:0005764),1/503,0.4712173082902394,0.4933056196163443,0,0,1.6162848605577689,1.2161507778812022,ATP6V0C
GO_Cellular_Component_2023,Neuron Projection (GO:0043005),1/557,0.5066605618819809,0.5222501176321956,0,0,1.4552607913669064,0.9894521897756688,UBB
GO_Cellular_Component_2023,Cytoskeleton (GO:0005856),1/599,0.5326391175389034,0.5407094071985837,0,0,1.3501254180602007,0.8504590708349795,GAPDH
GO_Cellular_Component_2023,Endoplasmic Reticulum Membrane (GO:0005789),1/801,0.6402967985747652,0.6402967985747652,0,0,0.9986979166666666,0.4452429630531752,UBB
