names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CNU-HYa GABA (for_DEGs),mean_expr_Rest (for_DEGs)
9130024F11Rik,-2.8089883,-2.853594,0.004969743917682257,0.042005982720390765,0.03125,0.23577381165277728,0.025455248,0.17088257
Ivns1abp,-2.809058,-0.820555,0.004968669426492301,0.042005982720390765,0.171875,0.40105153975464075,0.1991075,0.3286507
Sec22a,-2.8103652,-1.0754837,0.0049485318424173095,0.04185302190927073,0.171875,0.39382667477377586,0.13875005,0.27281925
Entpd6,-2.8112934,-0.65198684,0.004934277811181584,0.04174560604107341,0.09375,0.30745019492828785,0.1273344,0.19341142
Nsun6,-2.8114326,-1.7601839,0.004932142912343316,0.04174068663139052,0.046875,0.2542651740047927,0.045271873,0.14572586
Fubp3,-2.811564,-0.75273806,0.004930127386149002,0.041736774689925545,0.140625,0.3567724167531028,0.14005314,0.22578986
Ptn,-2.81209,-0.43086335,0.00492207272885618,0.04168171894874426,0.328125,0.6011659930612683,0.6357637,0.7874038
Shank3,-2.812531,-0.636476,0.0049153302030861545,0.041637743555146586,0.1875,0.418219535748775,0.19536945,0.28923446
Tfg,-2.8129485,-1.4448367,0.004908950254629773,0.04159681278521034,0.109375,0.3246181909224221,0.08046034,0.20546207
2700054A10Rik,-2.8143098,-1.0628989,0.004888208306230974,0.04143411898688527,0.109375,0.32300869129797205,0.11151346,0.22030099
Golim4,-2.8145652,-2.9715705,0.004884328028734595,0.04141429287854167,0.046875,0.24872134196502022,0.024173515,0.17556976
Kif1a,-2.8146656,-0.3921453,0.0048828001997697325,0.04141429287854167,0.359375,0.6446582495797417,0.55646545,0.6815969
Prelid3a,-2.8152459,-0.5273175,0.004873994240773874,0.04135277083978339,0.109375,0.33513358846882935,0.1467816,0.205275
Zfp961,-2.8160114,-1.2136059,0.004862392374268951,0.041267366739294604,0.140625,0.3629600486426553,0.109557666,0.2378534
Nrip3,-2.8164215,-0.72176725,0.004856191547552555,0.04122776204825818,0.109375,0.32951822311241463,0.16510001,0.259321
Lrrc4c,-2.8169396,-0.908024,0.0048483630055000835,0.04117430908906044,0.734375,0.9149468865123932,2.0550733,2.6227741
Ccdc28a,-2.818564,-2.987718,0.00482389970830781,0.040979508429412226,0.03125,0.23681104474408957,0.017750906,0.13283439
Znrf2,-2.8192677,-0.7737612,0.0048133336742446665,0.04090268052718349,0.15625,0.3784827783540184,0.16682142,0.27032366
Gria3,-2.8196778,-0.9671498,0.0048071894848249,0.04086339179286462,0.53125,0.8043563789835115,1.2828698,1.8077261
Pip4k2b,-2.8210158,-0.70827883,0.004787183283163836,0.04070620722107983,0.09375,0.31184949390178474,0.123855904,0.1950965
St8sia1,-2.8212326,-0.4568817,0.0047839523789209,0.04069161140285046,0.140625,0.38245287742766193,0.20808342,0.2757344
Nipsnap1,-2.8217275,-0.44942868,0.004776574863865475,0.040641724696664126,0.140625,0.3665724811330877,0.18168715,0.24063814
Plppr1,-2.8218977,-0.76815677,0.004774041222061734,0.04063303377789002,0.21875,0.4595657927679817,0.29397932,0.45871672
Uba5,-2.8241715,-1.0830803,0.004740299089593151,0.04035863008154879,0.109375,0.3264422904967989,0.10275298,0.20641626
Gm43376,-2.8246434,-2.586041,0.004733325269063847,0.04031202851972918,0.046875,0.2514038413391037,0.025265602,0.14292204
C2cd2,-2.8255715,-3.3607464,0.0047196333751956514,0.04020816385272897,0.03125,0.2346650452448228,0.0138960965,0.13430974
Prpf39,-2.8256335,-0.33036214,0.00471872185825083,0.04020816385272897,0.28125,0.5623591687828606,0.4124089,0.4957964
Gas6,-2.8257108,-2.36665,0.004717582686165921,0.04020816385272897,0.0625,0.26850030401659575,0.034429953,0.1660755
Ern1,-2.8272269,-2.2786586,0.0046953051120563975,0.04003898710281035,0.0625,0.26875067062484354,0.0363588,0.16523404
Kansl3,-2.82766,-0.9953672,0.004688957606797948,0.03999755266497171,0.125,0.3537680174541293,0.122116916,0.23026994
BC004004,-2.8277142,-2.5269375,0.004688164715109433,0.03999755266497171,0.0625,0.26639007117565006,0.031605344,0.16979808
Polr1a,-2.8280082,-1.600285,0.004683862563539102,0.039979474930843605,0.109375,0.3188239922744018,0.06848585,0.1946836
Pantr1,-2.8281164,-0.91702944,0.004682278461515946,0.0399786534035378,0.15625,0.36818198075753783,0.17915976,0.3151694
Cep112,-2.8282557,-0.59938526,0.0046802424716234315,0.03997397177766103,0.234375,0.4892521191745055,0.3808358,0.5319488
Rab11b,-2.8297794,-0.81784654,0.004658012024449488,0.03980940938198402,0.046875,0.25920097285310634,0.10045638,0.17082398
Acat1,-2.8298798,-0.67585367,0.004656548408732054,0.03980940938198402,0.25,0.4815622876354662,0.2554743,0.3818573
Phf8,-2.8300965,-0.4963603,0.004653397419829315,0.03979528601871855,0.203125,0.461890625558854,0.2630621,0.35380375
Coro7,-2.8304136,-1.3848561,0.004648786954914906,0.03976851495656273,0.078125,0.28516756679423444,0.06728025,0.1669918
Crym,-2.830924,-0.604024,0.004641373918290252,0.03971774432626085,0.109375,0.32447512428913766,0.16420293,0.23999302
Slc12a5,-2.83227,-0.45623365,0.0046218817374320785,0.03956354325734309,0.25,0.4979076504882149,0.31088564,0.40563935
Fam76a,-2.8324246,-0.7593819,0.004619646013423491,0.0395570071321508,0.125,0.3436460531492543,0.13740101,0.22260316
Kdm4a,-2.8328269,-1.4382917,0.004613837713614204,0.039519865911639675,0.03125,0.24228334346721986,0.053516038,0.13887386
Dlst,-2.8336313,-0.36671737,0.0046022409496557955,0.03943310405524592,0.140625,0.3626023820594442,0.18931839,0.23802988
Pstpip2,-2.833755,-2.3051953,0.004600459176958568,0.03943041087236897,0.03125,0.23698987803569513,0.042977594,0.19642219
Ipo7,-2.8351626,-0.27589414,0.004580235437223655,0.03926959993560932,0.1875,0.4212597017060696,0.26078808,0.30803198
Galnt2,-2.8362765,-0.53604746,0.0045642913320743375,0.039157888918530476,0.140625,0.3618155155763797,0.17342444,0.24262196
Ptges3,-2.8363075,-1.3873321,0.004563849158763389,0.039157888918530476,0.15625,0.3780178117958439,0.118015595,0.28343087
Tab3,-2.8363228,-1.0319905,0.004563628086658094,0.039157888918530476,0.09375,0.3105261275439036,0.09713183,0.1894506
Dclre1c,-2.8372047,-1.128043,0.004551042998638442,0.03908166359009745,0.09375,0.314782359884116,0.09373115,0.19455379
BC002059,-2.8389604,-1.8924265,0.004526076797386153,0.03887969422818604,0.078125,0.2898172323759791,0.04867448,0.16989358
Ivd,-2.8392158,-0.64882827,0.004522457697372109,0.03886102920639225,0.09375,0.31013269430237134,0.12867989,0.19500117
Gm12940,-2.8393471,-1.0808414,0.004520594335823316,0.03885744395507758,0.1875,0.4097428377266712,0.14108595,0.2780207
Lrch2,-2.8397262,-0.37581497,0.004515227361093779,0.03882373094162875,0.1875,0.4491934618548589,0.2688706,0.33667383
Tmem165,-2.8399427,-0.9533125,0.00451216311076872,0.03880980242841085,0.125,0.3389248542508673,0.12277453,0.22549275
Zc3h13,-2.8411417,-0.2791261,0.004495234351877435,0.03867657605986125,0.3125,0.6177974891805859,0.5335566,0.61814076
Bcl11a,-2.8411493,-0.81777257,0.004495125321152894,0.03867657605986125,0.375,0.6789942415680102,0.7402043,1.0758651
Lekr1,-2.8418531,-0.59234923,0.004485213548995568,0.03861508749167283,0.203125,0.4585643263349905,0.26447943,0.3760074
Syt14,-2.8421006,-0.5570781,0.0044817327994688206,0.03859748728260488,0.328125,0.6071747916592153,0.48970768,0.65732217
Abca1,-2.8425107,-1.4724925,0.004475973191513223,0.03856024355753777,0.046875,0.2596659394112808,0.09130779,0.23531568
Anapc1,-2.8445604,-0.52728814,0.004447275627859596,0.038325303438289715,0.25,0.5044529489609786,0.29747382,0.40500668
Tmem41b,-2.8446686,-2.0506706,0.004445764177404134,0.038324569601170706,0.046875,0.25948710611967524,0.039703038,0.15511993
Kctd4,-2.8452256,-1.4109055,0.004437998354092802,0.03826990236664749,0.0625,0.2751529024643228,0.077116914,0.19323745
Lztr1,-2.84545,-1.0806481,0.004434873927453123,0.0382552367353661,0.109375,0.3281948567545334,0.10395565,0.20839539
Ndufs3,-2.845535,-0.26936945,0.0044336893216647645,0.0382552367353661,0.109375,0.3425015200829786,0.20154051,0.23832591
Zfp949,-2.846378,-0.7262372,0.00442196644485837,0.03816840294678587,0.125,0.3517293179298258,0.14450735,0.22888485
Crocc,-2.8470123,-2.2064486,0.0044131659231484936,0.03810468134800772,0.078125,0.28037483457920526,0.0370714,0.16068047
Ugp2,-2.8479095,-1.096115,0.0044007435149625,0.03800963620927109,0.140625,0.360635215851783,0.1444971,0.28693414
Mmaa,-2.8486521,-0.5443448,0.004390486878408758,0.03793324193660557,0.140625,0.36971994706534567,0.16976514,0.23888682
Aldh7a1,-2.8488376,-1.0896752,0.004387926107106707,0.03792331119265269,0.09375,0.30855896133624233,0.092823125,0.18814667
Fam185a,-2.8496807,-1.632434,0.004376312965599836,0.03783511241495096,0.0625,0.27840766837154407,0.054923974,0.16130836
Fam76b,-2.8506088,-1.0203296,0.0043635600811005116,0.037737000122037574,0.125,0.3558067169784327,0.120961085,0.23175547
Inpp5f,-2.8508565,-0.40276298,0.0043601650062608166,0.03771977904643534,0.1875,0.43198969920240354,0.2702258,0.3437135
Alkbh3,-2.8520477,-2.6243782,0.00434385967649658,0.03759082431802355,0.046875,0.2539432740799027,0.024425305,0.14190336
Hs6st2,-2.8530762,-0.7295991,0.004329822308494321,0.0374814192748848,0.203125,0.4453664294144998,0.29244512,0.4467867
Dcun1d2,-2.8531613,-0.7987587,0.004328663166580576,0.0374814192748848,0.171875,0.4052720054365321,0.16746427,0.27545935
Ago2,-2.8536177,-0.39857665,0.004322450750934655,0.03744173168201618,0.234375,0.4788082549447405,0.29810593,0.3769419
Erbin,-2.8545303,-1.1885769,0.004310050164869581,0.03734635534667709,0.234375,0.44622482921420653,0.26641533,0.52816075
Nek9,-2.8546464,-0.9643171,0.004308476132183167,0.03734475924895538,0.203125,0.4171107693408205,0.16053832,0.29250357
Nprl3,-2.8547626,-1.0247916,0.004306902620727683,0.037343166640513986,0.0625,0.2832719339032154,0.084631726,0.16525473
Ankrd42,-2.85501,-1.4185499,0.00430354753766166,0.03732612083181691,0.125,0.3442540863407132,0.086147286,0.21551177
Zfr,-2.8551648,-0.56184804,0.00430145181436499,0.03731999039457129,0.5,0.8052505454415394,1.0159736,1.2812248
Sap30bp,-2.8553271,-2.386751,0.004299252300891956,0.03731295520832263,0.046875,0.2579491398118674,0.030016134,0.14786625
Usp6nl,-2.856062,-1.3532757,0.004289314857430461,0.037238736742861545,0.0625,0.2764047355055617,0.08854015,0.21230826
Cacng7,-2.8561933,-0.75646836,0.00428753877676182,0.03723534807097288,0.171875,0.40491433885332095,0.17893468,0.2859426
