names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DG-IMN Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Negr1,47.841885,1.070892,0.0,0.0,0.9582689335394127,0.892465100865747,3.1519713,2.4556808
Lgi1,47.734936,1.3440608,0.0,0.0,0.8665636269963937,0.6366347707220082,1.3716224,0.7695433
Camk2a,47.71884,1.1723766,0.0,0.0,0.9229778464708913,0.7643013959653702,2.068436,1.4028984
Slit1,47.626312,1.6673676,0.0,0.0,0.7751159196290572,0.47015450892672217,1.0252489,0.44650814
Cplx2,47.000813,1.6484625,0.0,0.0,0.8008758371973209,0.507932562859865,1.1293756,0.5115401
Epha4,46.922333,1.406441,0.0,0.0,0.9162802679031428,0.664761194648109,1.7661117,1.0398849
Lingo2,46.854145,1.4463229,0.0,0.0,0.961617722823287,0.8701379396048217,3.4453611,2.4963996
Gabrb3,46.60205,1.0672659,0.0,0.0,0.9446161772282329,0.8014581003272441,2.5343606,1.8779018
Elmod1,46.36998,1.2593734,0.0,0.0,0.8781555899021123,0.6554409510790771,1.4305898,0.8453785
Calb1,46.361282,2.0604467,0.0,0.0,0.6738794435857806,0.284495257031606,0.747295,0.23619416
Eml5,45.892323,1.1636089,0.0,0.0,0.8863987635239567,0.6903607969843835,1.5729567,0.9953331
Wipf3,45.787292,1.5845112,0.0,0.0,0.7934054611025245,0.48510832194192455,1.0866921,0.50381494
Dapk1,45.780846,1.3168213,0.0,0.0,0.8467284904688305,0.6139347997183215,1.296807,0.7260078
Mrtfb,45.441265,1.1634429,0.0,0.0,0.8668212261720762,0.6785551551302763,1.4488618,0.8979789
Pgbd5,45.405693,1.4849824,0.0,0.0,0.770994332818135,0.4937657926349364,0.9104574,0.4257148
Add2,45.286804,1.359823,0.0,0.0,0.8124678001030397,0.5689490907584607,1.0875083,0.5689167
Fat4,45.269363,2.0860245,0.0,0.0,0.6561051004636785,0.2953481628764343,0.68707883,0.2091896
Slc2a13,45.089367,1.361454,0.0,0.0,0.8714580113343637,0.6279773000289963,1.5066653,0.8614982
Xpr1,45.059887,1.3162297,0.0,0.0,0.8351365275631119,0.6010107286359305,1.145959,0.6214262
Kirrel3,44.94386,1.4831053,0.0,0.0,0.9165378670788253,0.7485605401598939,2.5328689,1.6381772
Kcnj3,44.891582,1.1233276,0.0,0.0,0.9157650695517774,0.7625616171658175,2.2248805,1.5661327
Cntnap5b,44.810097,1.6100975,0.0,0.0,0.844925296239052,0.5550308603620396,1.5500078,0.7956161
Nfia,44.686256,1.3781457,0.0,0.0,0.9178258629572386,0.7094569404747111,1.9679655,1.2144125
Ano3,44.648468,1.4008869,0.0,0.0,0.8853683668212262,0.6312497411043453,1.6867943,0.98097837
Kcnip4,44.601658,1.1995331,0.0,0.0,0.9811952601751674,0.9480137525371775,4.4004517,3.5847907
Cecr2,43.977673,2.2245324,0.0,0.0,0.6048428645028336,0.21337144277370448,0.58365667,0.15665042
Gria1,43.8032,1.2440218,0.0,0.0,0.9518289541473467,0.8321941924526739,2.9372087,2.1449575
Foxo1,43.791245,1.8259596,0.0,0.0,0.6710458526532715,0.2868563854024274,0.687113,0.24581292
Kcnc3,43.456295,1.684549,0.0,0.0,0.6867594023699124,0.3635723458017481,0.66242343,0.25640318
Plppr4,43.452705,1.0749424,0.0,0.0,0.9119010819165378,0.7466136448365851,1.7263907,1.1610345
Dgki,43.44588,1.0918055,0.0,0.0,0.9155074703760948,0.7554782320533532,2.0862153,1.460877
Gabra4,43.36608,1.3097632,0.0,0.0,0.8248325605358063,0.5773165983182138,1.1511432,0.62703407
Egfem1,43.06068,1.4561285,0.0,0.0,0.9363730036063884,0.7457437554368087,2.6370888,1.7453755
Ak5,42.948322,1.266587,0.0,0.0,0.8742916022668727,0.6363862308935007,1.5567387,0.93839884
Tnik,42.847595,0.9105665,0.0,0.0,0.9268418341061309,0.799304088480179,2.1404371,1.6077381
Scn3a,42.549862,1.2218283,0.0,0.0,0.8304997424008244,0.6054844455490659,1.1747246,0.6725316
Slc44a5,42.420868,1.3537766,0.0,0.0,0.8317877382792375,0.5721801085290584,1.3224689,0.7309381
St6galnac3,42.38212,1.2295566,0.0,0.0,0.8791859866048428,0.6732943954268672,1.6143364,0.99925953
