names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6 IT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Olfm1,3.9022605,0.7331491,9.529853058079105e-05,0.0038622496481234623,0.7987421383647799,0.7478395506265303,1.4060243,1.0482732
Etv6,3.8473003,0.79325986,0.00011942658793264444,0.004623908382925297,0.5408805031446541,0.4676292668875126,0.6721372,0.4402165
Atp2b1,3.7872405,0.3319592,0.00015232965022044445,0.005553029656628072,0.8805031446540881,0.8991070142589659,2.220229,2.0178325
Cntn4,3.78474,0.7267908,0.0001538693241100766,0.005587119917348321,0.6792452830188679,0.6513394786115512,1.6185728,1.2368401
Cst3,3.7787035,1.1681482,0.0001576469932039958,0.0056362922875206585,0.6540880503144654,0.5864899899179029,1.3270082,0.8031307
Tmsb4x,3.76015,1.1078947,0.0001698115164476956,0.006011640905071912,0.7610062893081762,0.7213740458015268,1.6456554,1.0789016
Calm2,3.6924312,0.7546134,0.00022212050783899093,0.007432600305895002,0.8867924528301887,0.8571582889240962,1.8207743,1.4032078
Lrrtm4,3.6913855,0.26724985,0.0002230357290639142,0.007444683279437732,0.8238993710691824,0.9210355753996832,3.215781,3.0386858
BC006965,3.6344576,2.4245374,0.00027856612081490073,0.008754469785141968,0.22012578616352202,0.05689183350136828,0.16793367,0.033493627
Sema3e,3.634147,0.7910978,0.00027890199315749203,0.008754785696427349,0.5471698113207547,0.4381031254500936,0.78556,0.5246146
Csgalnact1,3.5805082,0.75574785,0.00034292640264342497,0.01044720231182407,0.5408805031446541,0.4817442027941812,0.75174785,0.5090583
Lrrtm3,3.5578318,0.59347063,0.0003739285977414192,0.011089913268556217,0.610062893081761,0.6272864755869221,1.2593511,0.9829017
Gfra2,3.5532994,1.2767097,0.0003804311183607639,0.011208535252580839,0.3584905660377358,0.2168371021172404,0.31326056,0.14135739
Rasgef1b,3.522145,0.69851536,0.00042806970538646863,0.01234145169928585,0.5786163522012578,0.5450813769264007,1.0259392,0.74328727
Ipcef1,3.4882536,1.0856246,0.00048618660177247923,0.013579869012085775,0.39622641509433965,0.27131643381823417,0.39402664,0.20502484
Vxn,3.4798253,0.9178091,0.0005017410809903948,0.013941864370436307,0.49056603773584906,0.38265159153103845,0.52405703,0.3108791
Gm49678,3.4141383,0.6620813,0.0006398410590075698,0.016810859737423113,0.5911949685534591,0.5559556387728648,1.2109901,0.9120505
Hecw1,3.3706396,0.34913963,0.0007499391319310002,0.01901024950470375,0.6540880503144654,0.7149647126602333,1.3418812,1.1689899
Ak5,3.353906,0.5239985,0.0007967946333343683,0.01989765036960453,0.6792452830188679,0.6708195304623361,1.2721709,1.0247161
Rgs7bp,3.3420005,0.3991023,0.0008317692593770775,0.020560846365650483,0.7610062893081762,0.7560132507561573,1.4335772,1.2301794
C7,3.3303366,2.380695,0.0008674102956398773,0.021188467858039545,0.20125786163522014,0.05159873253636756,0.12347473,0.024921969
Ptchd1,3.2997692,1.0074228,0.0009676435511835663,0.023111628640268823,0.389937106918239,0.26587930289500217,0.33623695,0.18132862
Nrgn,3.2934616,0.84281814,0.0009896191149001508,0.023511110183348408,0.7610062893081762,0.7351649143021749,1.4454502,1.0326766
Slc26a4,3.2637768,1.0271764,0.0010993773350062312,0.025421918237192285,0.3836477987421384,0.2758173700129627,0.35253254,0.18846022
Rai14,3.2587514,1.0888801,0.00111903727200595,0.02578776286346473,0.32075471698113206,0.17708483364539823,0.27142823,0.13680334
Dok5,3.2452085,0.81968766,0.001173646587643807,0.026747993053425866,0.44654088050314467,0.349668731096068,0.4115632,0.25346395
Angpt1,3.2410016,1.0409249,0.0011911049478786166,0.0270312415114007,0.34591194968553457,0.20639493014547025,0.39359376,0.21058868
Slc17a7,3.2345903,0.53560567,0.0012181740179418006,0.027445052508963532,0.7295597484276729,0.7145686302750972,1.2214472,0.9746475
Adra1a,3.2291062,1.0541655,0.0012417781853104452,0.027759217836349135,0.33962264150943394,0.19933746219213597,0.31261832,0.16274652
B3galt2,3.2120864,0.986667,0.0013177475156523218,0.02907050553824129,0.44025157232704404,0.332493158576984,0.43120533,0.24063629
