names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Vascular (for_DEGs),mean_expr_Rest (for_DEGs)
Shank3,-9.705848,-0.6660141,2.8469989371272536e-22,5.294038854021405e-21,0.1546572934973638,0.4230979349528353,0.19297864,0.29097885
Kctd1,-9.707858,-0.77227664,2.7914168022864064e-22,5.194277664642364e-21,0.23022847100175747,0.514477182503551,0.3074148,0.47915274
Arhgap26,-9.710607,-0.8537134,2.7171597594196463e-22,5.059603793181282e-21,0.38137082601054484,0.6762574206941764,0.601858,0.91301394
Ttc17,-9.712153,-0.57141984,2.676227086847848e-22,4.986839238807329e-21,0.2741652021089631,0.5817824234257202,0.38557643,0.53009826
Eef2k,-9.721883,-1.1287017,2.432420820439228e-22,4.538829683694587e-21,0.10896309314586995,0.36158356703208655,0.1171022,0.24031785
Synj1,-9.724482,-0.83914,2.371096706632704e-22,4.427475226353075e-21,0.3989455184534271,0.7269184543103763,0.6242509,0.9363972
Pola1,-9.737255,-0.9235663,2.0912650306994076e-22,3.910389100549275e-21,0.18980667838312829,0.45656845248934697,0.2236201,0.38888165
Tmod2,-9.746527,-0.6663026,1.9088807181128405e-22,3.5743292610238345e-21,0.3391915641476274,0.6686819390319408,0.52057475,0.7342478
Coro2b,-9.747707,-0.6766951,1.8868181548721427e-22,3.535481438034482e-21,0.18629173989455183,0.469206395454711,0.2412543,0.36195517
Brdt,-9.749969,-0.78320706,1.845254513971199e-22,3.4600131744875165e-21,0.1634446397188049,0.4352988308992242,0.19410239,0.31383434
Cep170,-9.75368,-0.73378956,1.7789956362687673e-22,3.3404341541957915e-21,0.3374340949033392,0.6674072185599301,0.49785104,0.728968
Npas2,-9.764418,-0.8714084,1.600293811536427e-22,3.0090899031479213e-21,0.21441124780316345,0.4914593728375278,0.30257168,0.49859554
Lrrc8b,-9.778423,-0.6546907,1.3936421813677963e-22,2.624188185939221e-21,0.19859402460456943,0.48446662053392575,0.2629461,0.38762364
Hcfc2,-9.778785,-0.87807477,1.388677961235306e-22,2.616674391191632e-21,0.14411247803163443,0.40816549513785194,0.16469724,0.28446752
Ephx4,-9.787925,-1.3082707,1.2687256582957484e-22,2.392326907958369e-21,0.0773286467486819,0.3258185526459555,0.087507084,0.20414083
Pcdh11x,-9.78849,-1.2117718,1.2616523730059612e-22,2.380660060580771e-21,0.18804920913884007,0.4448774447317624,0.27941117,0.5576915
Adgra1,-9.791399,-1.3302274,1.22588294091791e-22,2.3147909081141418e-21,0.08611599297012303,0.3361984193466147,0.10477671,0.2451007
Gm29514,-9.796668,-1.7919652,1.1636116477868197e-22,2.1987514047842365e-21,0.08611599297012303,0.33109953745857157,0.07931626,0.251418
Cux2,-9.806321,-1.9143184,1.0575400213025507e-22,2.0011338290422207e-21,0.06854130052724078,0.3139454419637979,0.08521421,0.28914508
Taok3,-9.807271,-0.7254315,1.047632116901994e-22,1.98378259204768e-21,0.23550087873462214,0.5343264012820046,0.30470845,0.46309707
Dip2c,-9.811386,-0.78366905,1.0057751111704543e-22,1.905865813621305e-21,0.6590509666080844,0.8414611938667735,1.367049,1.7972877
Nploc4,-9.814588,-0.7408023,9.743595976559961e-23,1.8476388418501492e-21,0.1757469244288225,0.45044979422369524,0.20786144,0.32649097
Cdh11,-9.815244,-0.8926025,9.680332602325003e-23,1.8369388207942995e-21,0.43233743409490333,0.7328914302363696,0.81768656,1.2086525
Samd5,-9.816009,-1.0122511,9.607246901031061e-23,1.8243584751286543e-21,0.21616871704745166,0.48869140838401864,0.32657227,0.5760532
Ubac2,-9.817173,-0.7008722,9.496915550738968e-23,1.804682608545658e-21,0.23725834797891038,0.5413555741705212,0.3143008,0.47018847
Kpna3,-9.823312,-0.66378355,8.935900572954003e-23,1.699275643278656e-21,0.27240773286467485,0.587536875842226,0.37927276,0.5485162
Sh3gl3,-9.823359,-1.23597,8.931723736893454e-23,1.699275643278656e-21,0.10896309314586995,0.3647521579196562,0.12994656,0.28281003
Zkscan16,-9.827735,-1.3652295,8.552052926944524e-23,1.6285872583061614e-21,0.0913884007029877,0.34129730123465785,0.08921246,0.21542627
Sez6l2,-9.834258,-0.7415766,8.015641137222064e-23,1.5286038137484517e-21,0.22671353251318102,0.5163710529191099,0.298497,0.4584193
Pdgfc,-9.837029,-1.472775,7.797900789770708e-23,1.4881363225933164e-21,0.11775043936731107,0.36777506646756747,0.124076925,0.31236872
Camsap1,-9.837299,-0.7567989,7.777038095897696e-23,1.4852097628768378e-21,0.20035149384885764,0.48530429398696145,0.23992711,0.37719047
Vps50,-9.843446,-0.7292831,7.316155739066733e-23,1.3991822399197375e-21,0.21441124780316345,0.5059911862184506,0.2661965,0.40920493
Trit1,-9.844105,-1.3408418,7.268327640744395e-23,1.3910253825270789e-21,0.09666080843585237,0.3489456240667225,0.09286108,0.2203266
C230057M02Rik,-9.852965,-2.1074114,6.655098683929298e-23,1.2745723566441927e-21,0.0492091388400703,0.2938776996758568,0.04102879,0.16591871
