names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-CR Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Asah1,-3.7429373,-0.6795214,0.00018188164957619018,0.0025139711543787193,0.13333333333333333,0.3977374431675796,0.18935591,0.28809866
Hecw1,-3.7429829,-0.86,0.00018184857646983606,0.0025139711543787193,0.45555555555555555,0.7139226005083593,0.7987868,1.1692276
Caap1,-3.7429895,-0.66106594,0.00018184385220194278,0.0025139711543787193,0.16666666666666666,0.4425947803673075,0.21874875,0.3268879
Lcorl,-3.743629,-0.8496062,0.00018138143328879955,0.0025109320517620014,0.36666666666666664,0.6649482690724233,0.5556552,0.8497412
Dpp8,-3.7443728,-0.44310334,0.00018084490850353699,0.0025047952017989887,0.18888888888888888,0.4942183080943687,0.30633703,0.3969683
S100pbp,-3.7453582,-0.5461035,0.00018013654540256083,0.0024962707452123823,0.14444444444444443,0.4171052160526975,0.21636637,0.3021073
Rpl15,-3.7459455,-0.4808411,0.0001797155839294215,0.0024917222601566332,0.13333333333333333,0.4029642358500698,0.25720417,0.34311375
Eprs,-3.7461543,-0.6084258,0.00017956613177217922,0.0024909354469377677,0.17777777777777778,0.4597429563598611,0.25230244,0.362931
Pde1a,-3.7462652,-0.7797523,0.00017948678285240315,0.0024909354469377677,0.6555555555555556,0.7622883327963341,1.2205938,1.6296049
Med6,-3.746696,-2.342345,0.00017917903469421374,0.0024881347091646115,0.022222222222222223,0.2557190419933412,0.03016099,0.14434662
Gnptab,-3.7482033,-0.6120889,0.00017810581880748998,0.0024745105229354992,0.15555555555555556,0.42963519851072207,0.2186202,0.317359
Osbpl3,-3.7483144,-1.2216172,0.0001780270768068319,0.0024745105229354992,0.1,0.35194930727096985,0.13901182,0.29847443
Specc1l,-3.748347,-0.6367486,0.00017800392362534465,0.0024745105229354992,0.2111111111111111,0.5185622740128164,0.29386845,0.42601186
Fam171a2,-3.7501414,-2.2691555,0.00017673485017868728,0.0024592777961166897,0.022222222222222223,0.2559338416926216,0.032163817,0.14631711
Nop56,-3.7508724,-0.89243406,0.00017622043343181482,0.002453390179436717,0.08888888888888889,0.3409945226076683,0.12748449,0.22505978
Pik3r1,-3.7509115,-0.6301992,0.00017619291516602798,0.002453390179436717,0.2111111111111111,0.5062112913041922,0.35035035,0.50040746
Arfgap1,-3.7514923,-0.6752713,0.00017578520179962584,0.0024498694877364865,0.12222222222222222,0.3901836537428848,0.16984983,0.25899586
Fmr1,-3.751564,-0.67601717,0.00017573487190964272,0.0024498694877364865,0.16666666666666666,0.45512476282533204,0.22709519,0.34169972
Abcc4,-3.7516553,-27.184124,0.00017567083528489047,0.0024498694877364865,0.0,0.22869007983388823,0.0,0.14192338
Morc2a,-3.75236,-0.8105172,0.00017517757553516422,0.0024452059504570718,0.12222222222222222,0.37980166827766443,0.1556763,0.25884384
Hook1,-3.7534564,-0.65504885,0.00017441287073692019,0.002435797212422581,0.23333333333333334,0.5496008305588372,0.3476619,0.5036052
Adck1,-3.753835,-0.9849535,0.00017414959531370688,0.0024333851409668763,0.1,0.35087530877456774,0.119115755,0.2234441
Gm41361,-3.7546701,-1.3459681,0.0001735698956762857,0.0024265468765982292,0.05555555555555555,0.2991801811477464,0.07144238,0.17248306
Gcn1,-3.7551007,-1.0834253,0.00017327169766016866,0.0024236389985053267,0.12222222222222222,0.3835606630150718,0.12863766,0.25533956
Tubb3,-3.7556229,-0.8623675,0.00017291089149115967,0.00242111289961827,0.1,0.3531665055668922,0.15121529,0.25988886
Pja2,-3.7563212,-0.7156946,0.00017242941773119874,0.0024156300596649164,0.4,0.7496151505387892,0.71784395,1.0022521
Tbc1d22a,-3.7568953,-0.57007957,0.00017203438456367656,0.0024113531107073497,0.12222222222222222,0.3925464504349694,0.19474702,0.2770218
Usp48,-3.757698,-0.67881083,0.0001714836620953257,0.0024048883092387275,0.23333333333333334,0.5540042243940858,0.32442477,0.47839928
Naa25,-3.7579787,-1.0492413,0.00017129152459222763,0.002403448180570839,0.07777777777777778,0.3248845451616368,0.10463024,0.205598
St7l,-3.7592576,-0.5438002,0.00017041829719027497,0.002392444955853024,0.23333333333333334,0.5487774317115957,0.35108435,0.47819778
Phkb,-3.7598774,-0.7471284,0.0001699965574351515,0.002387771823461851,0.24444444444444444,0.5360684495041707,0.33827814,0.516188
C1qtnf4,-3.7610781,-0.28275278,0.00016918250475192839,0.00237758049303573,0.16666666666666666,0.44767837325027743,0.32385045,0.3820219
Rcor1,-3.761535,-0.55883455,0.00016887377475885442,0.0023744836880012655,0.18888888888888888,0.4911753123545627,0.29164824,0.40468645
Etv5,-3.7628596,-0.91031986,0.00016798145196015985,0.002363173619984029,0.1111111111111111,0.36777288511796086,0.17106502,0.30058408
Mtpap,-3.763225,-0.84659314,0.0001677360756114336,0.0023609577536297644,0.1,0.356137901406938,0.1341034,0.22957753
Eno1,-3.764204,-1.796446,0.00016708047765587672,0.002352962491935748,0.022222222222222223,0.25700784018902373,0.055829577,0.18186082
Btbd3,-3.764328,-0.66013086,0.00016699760746600849,0.002352962491935748,0.2,0.4924283106003652,0.30653253,0.44905967
Zwint,-3.7648435,-0.6972473,0.00016665345638887548,0.002349411528420296,0.2777777777777778,0.6004725593384169,0.4130183,0.6038485
Fhip2a,-3.7666707,-2.539533,0.00016543904606031417,0.0023335155735646415,0.011111111111111112,0.243368059284717,0.025154622,0.13811196
Zdhhc23,-3.76716,-1.577315,0.00016511517410270843,0.00233017055049358,0.06666666666666667,0.3087387677657251,0.07092119,0.19829655
Eno2,-3.7675123,-0.7227601,0.0001648823557505606,0.0023281076715804326,0.1111111111111111,0.37328607739949166,0.17628105,0.27622217
Sympk,-3.7677865,-0.5782582,0.00016470148837772694,0.00232677654716589,0.14444444444444443,0.41757061540113843,0.20195965,0.2882877
Tab3,-3.7682498,-1.429278,0.00016439616081379008,0.0023236848190776116,0.06666666666666667,0.3108151648587692,0.074664295,0.18960892
Pcsk7,-3.768648,-0.95046866,0.00016413426252540305,0.0023212040179250424,0.08888888888888889,0.3429993198009523,0.11562924,0.21259645
Trps1,-3.7693853,-1.0068575,0.00016365014350087757,0.0023155762800782416,0.4222222222222222,0.6819890452153367,0.7472669,1.1734208
Anp32a,-3.7698028,-0.8816928,0.00016337654846318322,0.002312923001689006,0.1,0.3572476998532202,0.15449947,0.2683763
Tmem19,-3.7702532,-1.2184497,0.00016308206095493315,0.002309970995181367,0.044444444444444446,0.2860415995417606,0.07746053,0.17177676
Mgrn1,-3.771878,-0.45849934,0.00016202349313875207,0.0022961873737543607,0.14444444444444443,0.4223320087351878,0.22861637,0.30229118
Drg1,-3.7720215,-0.60518116,0.00016193027657109422,0.002296077325311505,0.14444444444444443,0.42000501199298323,0.20832261,0.30182055
Ttyh1,-3.7726154,-0.60573286,0.0001615452347517062,0.0022918270632409426,0.13333333333333333,0.4060788314896359,0.2286909,0.33003604
Elmo2,-3.7728438,-1.3449211,0.0001613973712704358,0.002290938914969155,0.044444444444444446,0.2852540006443991,0.07222225,0.17415766
Znrf3,-3.7730396,-0.63012934,0.00016127073251406571,0.0022903512593303093,0.2111111111111111,0.5079654888483156,0.3316633,0.47541836
Gm44257,-3.7736332,-0.83334184,0.000160887166677231,0.0022873217823371414,0.08888888888888889,0.34006372391078654,0.14475709,0.24493103
Gm16083,-3.774312,-1.4828606,0.0001604498569130094,0.002282312152065941,0.044444444444444446,0.2863279991408012,0.07611724,0.19971593
Fbxo10,-3.774338,-1.2581189,0.00016043305966496215,0.002282312152065941,0.05555555555555555,0.29681738445566175,0.07923871,0.18001635
Agtpbp1,-3.7751994,-0.7158274,0.00015987967788914925,0.0022766120534612826,0.34444444444444444,0.6843160419575413,0.56270814,0.8067979
Slc25a36,-3.7757149,-0.6884008,0.00015954934699801725,0.0022731129129569053,0.26666666666666666,0.5937421687609638,0.3867563,0.5658516
Gk,-3.777157,-0.7717837,0.00015862866499934166,0.002261194816197512,0.1111111111111111,0.3735724769985322,0.16105673,0.26110733
Olfm3,-3.7773201,-1.079532,0.000158524830814774,0.0022609141210153806,0.14444444444444443,0.3997422403608635,0.24742979,0.46579447
Elmod1,-3.7774246,-0.825859,0.00015845841050806024,0.0022609141210153806,0.37777777777777777,0.687287437797587,0.62165856,0.9274323
Snx13,-3.7785797,-0.56844914,0.00015772538117706986,0.002251902758888346,0.28888888888888886,0.6273225217484696,0.4785548,0.64717245
Eif4g2,-3.7797282,-0.5949244,0.0001569996584862389,0.0022427330268608397,0.18888888888888888,0.4773565317008556,0.29014635,0.4110717
Hspa4,-3.7815945,-0.53381944,0.00015582705803557657,0.002227166515646778,0.2,0.5022732968173844,0.30805585,0.42023385
Ccni,-3.7825537,-0.55438775,0.00015522756983107506,0.002219779032123995,0.14444444444444443,0.42272580818386857,0.2225811,0.3119637
Mrpl41,-3.7826254,-1.0892284,0.00015518279757682259,0.002219779032123995,0.05555555555555555,0.29907278129810616,0.094582886,0.1914952
Zfp532,-3.782965,-0.58780134,0.00015497131141199589,0.002218475832520154,0.28888888888888886,0.624494325707944,0.4622169,0.63292736
Ino80,-3.783885,-0.76367354,0.0001543992228060492,0.0022114643479736362,0.28888888888888886,0.6197329323738947,0.41365707,0.6258594
Tmem38b,-3.7844658,-3.9599004,0.00015403914123791838,0.0022074835867001955,0.011111111111111112,0.24369025883363762,0.009345541,0.13637492
Itpk1,-3.7851574,-1.781809,0.00015361131139842157,0.0022025271810435366,0.044444444444444446,0.2843590018973973,0.056179777,0.18124363
Prpf38b,-3.7856207,-0.56757945,0.00015332537189781625,0.0021996010373167767,0.14444444444444443,0.42269000823398845,0.2170083,0.3068803
Cnot7,-3.7876828,-0.37541652,0.00015205880629664162,0.0021825962207215597,0.17777777777777778,0.47170013961980456,0.2861116,0.35745755
1110004F10Rik,-3.788081,-0.93771315,0.0001518154479415847,0.0021802678173118016,0.1,0.35638850105609854,0.14840524,0.2673101
Sms,-3.7895033,-0.77883226,0.00015094873420834506,0.002168979940202263,0.1111111111111111,0.37536247449253574,0.16596003,0.26982534
Fbxo38,-3.7901235,-0.6280866,0.00015057249698696628,0.002164731403980623,0.17777777777777778,0.46772634518311673,0.24059635,0.350933
Ptch1,-3.790391,-1.4070575,0.00015041039380159834,0.0021635585018463317,0.06666666666666667,0.3131063616510937,0.092191614,0.22802122
Fam20b,-3.7923746,-1.0430038,0.00014921357332279252,0.0021474926165953056,0.06666666666666667,0.3148605591952171,0.100550994,0.19717868
Srebf2,-3.7935035,-0.60728073,0.00014853649683613403,0.0021388937138193576,0.15555555555555556,0.4350051909927326,0.23321854,0.3365636
Slc9a1,-3.7935624,-1.1408904,0.00014850135248109566,0.0021388937138193576,0.08888888888888889,0.3396341245122257,0.10579997,0.22001559
Tmem132d,-3.793869,-0.32003206,0.0001483179480110152,0.002138038231253207,0.2,0.4771775319514553,0.5091274,0.6036096
Cry2,-3.7949326,-0.5281003,0.00014768353670139965,0.002130035765521529,0.14444444444444443,0.41792861489993915,0.21394882,0.29565728
Bhlhb9,-3.7954025,-0.9978553,0.00014740412026872942,0.0021271475357791405,0.07777777777777778,0.329610138545806,0.11274049,0.21376197
Atxn7,-3.7964334,-0.54956377,0.00014679270013839366,0.0021194625753458555,0.2222222222222222,0.5442308380768267,0.35129437,0.47998756
Ggnbp2,-3.7964923,-0.6986968,0.0001467579443958089,0.0021194625753458555,0.32222222222222224,0.6586832778434111,0.4909488,0.7074406
Gm49336,-3.7977386,-0.50922936,0.00014602217487010239,0.002110605615255326,0.16666666666666666,0.4562703612214943,0.24649529,0.33493996
Tmem132a,-3.797758,-0.7072135,0.0001460106460357272,0.002110605615255326,0.1111111111111111,0.3675580854186804,0.18197113,0.28204867
Slx4ip,-3.799357,-0.7599357,0.00014507201238681612,0.002099130303087641,0.1,0.3631546915834318,0.15595005,0.2513766
