names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Lamp5 (for_DEGs),mean_expr_Rest (for_DEGs)
Sulf1,-2.883842,-1.6665254,0.003928559417466423,0.040491135998205904,0.0627177700348432,0.16114495836187318,0.043792162,0.13287458
St3gal1,-2.888022,-1.0333952,0.0038767271775318607,0.03998758512870675,0.08710801393728224,0.18976891740870255,0.060376953,0.11990425
Sncaip,-2.8898957,-1.0663944,0.0038536958805971944,0.0397805640843821,0.1254355400696864,0.2258552939904106,0.089761704,0.17954533
Ccdc3,-2.8972366,-3.1260111,0.0037646563084096003,0.03893622594571438,0.013937282229965157,0.11337827607339847,0.0077276165,0.065530136
Gm28320,-2.9104664,-1.2215586,0.0036088971042828187,0.037440565711227544,0.08710801393728224,0.1898770683874689,0.051575348,0.11638543
Trank1,-2.9124207,-0.32248524,0.00358639079533293,0.03723582715247134,0.6376306620209059,0.6179386423447132,0.61777645,0.72702336
Boc,-2.9139316,-1.1146492,0.0035690813665568647,0.03707043537664591,0.07665505226480836,0.17884566855330042,0.05139013,0.10812797
Tbc1d4,-2.9167697,-1.9509277,0.0035367685190774508,0.03682021313739291,0.05574912891986063,0.15461984930963626,0.03008354,0.11161038
Dapk1,-2.9169238,-0.35032183,0.0035350227459482264,0.036816302784352266,0.6550522648083623,0.6460218464977108,0.67922425,0.80629617
Wasf2,-2.9183133,-0.7350363,0.0035193046445627647,0.036681037936152634,0.1986062717770035,0.3096362522080825,0.15556085,0.24697496
Lhx9,-2.920231,-2.0989568,0.0034977189131779394,0.03648650498900461,0.027874564459930314,0.12855546342694402,0.01928819,0.08013433
Elovl6,-2.9211442,-0.46040943,0.0034874843537725524,0.036405868137478044,0.45993031358885017,0.5471358015790043,0.3961845,0.5121652
Sema5b,-2.9234211,-1.5401459,0.0034620782411797684,0.036154699704819424,0.09407665505226481,0.19167958470024155,0.056646872,0.15657467
Srsf9,-2.9242463,-0.6929854,0.0034529147807025834,0.03607302494458726,0.13240418118466898,0.24049172645012437,0.08736786,0.1376684
Fancl,-2.928078,-0.481116,0.003410644279779005,0.03567302911547757,0.1986062717770035,0.3174591730055157,0.15226685,0.20666629
Egr3,-2.9320674,-1.6038741,0.0033671354741812635,0.035286634239957315,0.04529616724738676,0.14784238797361116,0.029575115,0.08731334
Fezf2,-2.9328375,-2.5987918,0.003358796051889982,0.035235870909315445,0.020905923344947737,0.12199430404845164,0.011837309,0.06965108
Chgb,-2.9342601,-0.7754325,0.003343437436913608,0.035106746357900995,0.445993031358885,0.5429900140596272,0.38658327,0.5921243
Mcur1,-2.935452,-1.8945886,0.003330621870161882,0.035013227563086766,0.03484320557491289,0.13681098813944267,0.02028084,0.07341511
Il16,-2.9400465,-2.0683136,0.003281630576112547,0.034538744058027475,0.03484320557491289,0.13605393128807816,0.01987958,0.08085017
Pknox1,-2.9401052,-0.9749931,0.00328100925605662,0.034538744058027475,0.08710801393728224,0.19229244024658423,0.059626814,0.114015356
Ankrd6,-2.9416378,-0.58777505,0.003264815191319615,0.03438870411241006,0.2229965156794425,0.3322037564439958,0.16890553,0.24416192
Gm12296,-2.9423456,-0.80061156,0.0032573626285857344,0.0343236603255289,0.11498257839721254,0.22124085222971268,0.074438445,0.12628679
Septin9,-2.9432917,-0.87990177,0.0032474243430328214,0.034233984545967634,0.08362369337979095,0.19030967230253434,0.058826156,0.10571253
Bhlhe40,-2.944762,-2.1398547,0.0032320324566941804,0.034096863805014775,0.0313588850174216,0.13302570388262014,0.017453866,0.07473397
Lrrc20,-2.9454145,-0.72172457,0.003225221474585089,0.0340383743213281,0.13937282229965156,0.24979271062403116,0.088822074,0.14252643
9530026P05Rik,-2.946621,-1.1816092,0.0032126670536137634,0.0339191998941461,0.13240418118466898,0.22956847759472224,0.10782354,0.22972077
Zfp277,-2.9534962,-0.50750333,0.003141964525788077,0.033264218600443506,0.3205574912891986,0.4331807202855186,0.23657362,0.3216656
Npy2r,-2.9575846,-2.8388553,0.003100595580573404,0.032878059688242846,0.013937282229965157,0.11590179891128015,0.009431283,0.065596245
Nf2,-2.9581678,-0.53774,0.003094736963343921,0.032828891514035195,0.28222996515679444,0.3960488842424024,0.20128153,0.2804177
Dclk3,-2.9619005,-2.5875845,0.003057465653647621,0.03247197711996505,0.020905923344947737,0.12278741122607159,0.010714341,0.062739395
Itpk1,-2.9634516,-0.7569457,0.003042099405270058,0.03233973342807992,0.17421602787456447,0.2846894264393093,0.111358844,0.18154138
Vmn2r87,-2.9636421,-1.3035309,0.003040215279841715,0.03233973342807992,0.06620209059233449,0.1689678791593064,0.034176897,0.08233331
Phldb1,-2.9647422,-0.99541044,0.003029366092926385,0.032250795254374784,0.156794425087108,0.2620137712246296,0.1360924,0.25514513
Rhou,-2.9654684,-0.9190829,0.0030222249869848758,0.032199518398209205,0.11846689895470383,0.2270089044305851,0.0780918,0.14287312
Pfkl,-2.968035,-0.7978554,0.0029971015824679973,0.03194641936224968,0.1254355400696864,0.23721114676087818,0.08518501,0.14374182
Glra3,-2.9689481,-1.6828526,0.0029882108697789115,0.03187504012344555,0.059233449477351915,0.1613612603194059,0.037204634,0.11484534
Gm47728,-2.974617,-3.3135283,0.0029335462766299208,0.03138551183966545,0.010452961672473868,0.11247701791701215,0.0054504815,0.052911416
Wipi1,-2.9799595,-1.0559032,0.002882865493946763,0.030873892316600048,0.11846689895470383,0.22444933126644795,0.07128782,0.1429043
Rasgef1a,-2.9808505,-0.36597934,0.002874491089523608,0.030796481489433553,0.6411149825783972,0.6244637513969501,0.5793507,0.6988894
Gm32509,-2.9872124,-3.1359074,0.00281534092331094,0.03019961094155977,0.010452961672473868,0.11330617542088756,0.0067825373,0.05810194
Myh9,-2.9878466,-0.7443766,0.002809504311286602,0.03017241440618345,0.24041811846689895,0.348786906521504,0.15489033,0.24737158
Spag6l,-2.995459,-0.5911565,0.0027403217233379676,0.029512001886208894,0.156794425087108,0.269295937128231,0.107338846,0.15760085
Apoe,-3.0003176,-0.9996251,0.0026969835499748534,0.02910359356940735,0.24738675958188153,0.34770539673384043,0.245653,0.44261134
Pamr1,-3.0025983,-3.930298,0.0026768559422464607,0.028897998862258897,0.010452961672473868,0.11308987346335485,0.0048383344,0.07133494
Camkk1,-3.00566,-0.8334552,0.0026500515921362164,0.02864315618692684,0.10801393728222997,0.218717329391831,0.07396322,0.12821305
Gm20033,-3.006078,-1.4934664,0.0026464111706534857,0.028615319177247148,0.07665505226480836,0.17920617181585494,0.035826113,0.09776407
Plppr2,-3.006188,-0.5438673,0.002645453925034309,0.028615319177247148,0.33797909407665505,0.45088143047694584,0.24616702,0.34139708
Igsf9b,-3.006485,-0.65325737,0.002642870942521089,0.02860005727971875,0.313588850174216,0.40513356645877646,0.21741356,0.3234936
Nrip1,-3.0066683,-0.6370468,0.002641277659784934,0.02859433147398114,0.4076655052264808,0.49302426186956994,0.30868796,0.44622165
Spint2,-3.0148747,-7.005401,0.002570855132932017,0.027910657544195267,0.003484320557491289,0.10642056310609611,0.0004605668,0.057502043
Coro2b,-3.017126,-0.51144683,0.0025518370017321664,0.027726591280446144,0.3519163763066202,0.4646166047802733,0.2657937,0.36047435
Acsl3,-3.0178044,-0.730882,0.0025461320587920042,0.027675796286303057,0.34146341463414637,0.45185478928584305,0.27080518,0.41619685
Ypel1,-3.0232387,-1.050421,0.002500850133775286,0.027249733614980513,0.07665505226480836,0.18483002271170554,0.04972293,0.10037534
Dusp14,-3.0241442,-1.8661641,0.0024933751730450778,0.027179306653030928,0.03484320557491289,0.13962291358736797,0.019776763,0.0702872
Itpkb,-3.025677,-2.4439807,0.002480771790540261,0.0270528969203802,0.0313588850174216,0.13504452215292548,0.019883215,0.103707194
Lzts3,-3.0320754,-0.7352474,0.0024287842943764622,0.02656143019531768,0.10104529616724739,0.2140668373048776,0.070085235,0.11409211
Efr3a,-3.0326366,-0.4118589,0.002424273958635589,0.02652289953930712,0.6202090592334495,0.6238869461768629,0.60690975,0.74695003
Slc9a4,-3.033964,-2.9353619,0.0024136329551894984,0.026428002243660074,0.010452961672473868,0.11492844010238293,0.008061635,0.060075425
Neurl1b,-3.0349467,-1.4706206,0.002405782645051251,0.02635278421220021,0.04529616724738676,0.15195212516673276,0.026631966,0.072134435
Kif13a,-3.0393505,-0.7040794,0.002370888955354558,0.026012979269243352,0.34843205574912894,0.45383755722989294,0.27483502,0.41561872
Gm12216,-3.0435305,-0.99227583,0.0023381968213066918,0.025675254837969272,0.1289198606271777,0.23767980100219907,0.08946108,0.17072986
Pip4k2c,-3.0593162,-0.9557335,0.0022184294087842543,0.02444061400458369,0.1254355400696864,0.2340026677241429,0.072012834,0.13525227
Mgat4c,-3.061256,-0.427818,0.002204106793722921,0.024312130356048806,0.759581881533101,0.7344532968023361,1.3015467,1.5256985
Gm6999,-3.0667303,-3.599383,0.0021641398958455378,0.02389089523474511,0.006968641114982578,0.1124409675907567,0.005380245,0.06333837
Nefm,-3.0710242,-1.432378,0.002133258894683181,0.023579048334075307,0.10801393728222997,0.2139947366523667,0.06641235,0.17001866
Egr1,-3.0712552,-1.4697039,0.0021316090016696835,0.02357050776743391,0.07317073170731707,0.17989112801470852,0.04349736,0.116120435
Prr7,-3.0715704,-1.1047134,0.002129358655554907,0.023555317857044195,0.09407665505226481,0.20314358844947547,0.058343634,0.1215131
Plpp4,-3.0772686,-1.677133,0.002089068944665707,0.023166852060737743,0.05226480836236934,0.15836908324020332,0.039791346,0.12205424
Gm31816,-3.0776646,-1.93815,0.00208629504062835,0.023145643163370668,0.03484320557491289,0.1412812285951188,0.01905533,0.07113198
Gtf2h2,-3.0794065,-0.57312983,0.0020741350593075332,0.02302024330590393,0.30313588850174217,0.42424023937416633,0.22618127,0.3203393
Hebp1,-3.080129,-1.6700155,0.0020691109673318065,0.022983469074909318,0.04878048780487805,0.15606186235985436,0.029536853,0.09111371
Nefl,-3.0810382,-1.1054404,0.002062802095514659,0.02292286695884156,0.14634146341463414,0.2583366379465734,0.109090015,0.22154625
Ptbp3,-3.082765,-0.7139079,0.0020508688857242205,0.022828022766946895,0.2857142857142857,0.3927322542269008,0.20748617,0.32078373
Zhx2,-3.0841842,-0.7398555,0.0020411113266167054,0.02272882774396638,0.21602787456445993,0.32596705000180254,0.15065247,0.24022174
Plat,-3.0863476,-1.5847554,0.00202631740695517,0.022592177894143323,0.0627177700348432,0.1691120804643282,0.032222923,0.093699016
Ahr,-3.0876017,-1.169248,0.002017787060020779,0.02251575510911891,0.06620209059233449,0.1754208875590324,0.040635742,0.08917299
Exd2,-3.0904582,-0.4961421,0.00199847970495205,0.022337416668910808,0.3240418118466899,0.4377951620462165,0.23857372,0.32210147
Ets2,-3.0921156,-1.2268453,0.001987354857472804,0.02223156745224573,0.08362369337979095,0.19326579905548144,0.051436406,0.11648364
Rab15,-3.0945833,-0.7845841,0.0019708959413597595,0.022065822476806975,0.156794425087108,0.27099030246223726,0.09656416,0.16095918
Ranbp9,-3.0947225,-0.36795744,0.0019699703543702616,0.022064653364705682,0.6480836236933798,0.6615234867875555,0.62025017,0.74625057
Gm15997,-3.0951478,-2.3933818,0.0019671473459363814,0.022042222345834264,0.020905923344947737,0.1277263059230686,0.012231661,0.06265382
Cpne6,-3.0954852,-0.6742281,0.0019649110493576557,0.022026349560383903,0.3240418118466899,0.4274487184109016,0.22734772,0.3417012
Ppil6,-3.0998414,-1.2478908,0.0019362425427438695,0.021723105270784037,0.04529616724738676,0.15570135909729982,0.03358366,0.07799156
Gm16835,-3.106581,-0.8358003,0.001892644390901216,0.021287297942032515,0.10104529616724739,0.2151483470925412,0.06440349,0.11219666
Grm2,-3.1131666,-2.4542992,0.0018509152157273735,0.02084412902204297,0.020905923344947737,0.12837521179566674,0.014224902,0.0755863
Gpr37,-3.1133718,-1.6676362,0.0018496277778008322,0.020838364104615665,0.08013937282229965,0.18677674032949998,0.0467217,0.1414596
Bmpr1b,-3.1152604,-2.1443481,0.0018378264636252136,0.02072278517734347,0.07665505226480836,0.17898986985832221,0.048010133,0.19673938
Cntnap5a,-3.1206799,-0.4140874,0.0018043409730023206,0.020408963487019437,0.7839721254355401,0.7036663181801796,1.2273123,1.4383969
Tango6,-3.1207201,-0.8629311,0.001804093873411595,0.020408963487019437,0.1254355400696864,0.23814845524351996,0.079008445,0.13934806
Pfn2,-3.126378,-0.70174384,0.0017697390920099801,0.020056047828894207,0.27177700348432055,0.38663974908972926,0.19312838,0.29750887
Sinhcaf,-3.130375,-1.6816142,0.0017458339292921539,0.01981020172300683,0.03832752613240418,0.14755398536356754,0.022725975,0.07114466
Tmem63c,-3.1332092,-0.577859,0.0017290613316547744,0.019636465757212083,0.2613240418118467,0.3753559969717726,0.1673919,0.2405778
Prmt8,-3.1340783,-0.46300048,0.001723948650575041,0.019586680862981546,0.32752613240418116,0.445798334474927,0.26632893,0.35110816
Rbm24,-3.1404145,-0.6643382,0.001687089553978829,0.019185329560298645,0.13588850174216027,0.25429900140596273,0.097235225,0.15000786
Mt3,-3.14249,-0.83995974,0.0016751750095681404,0.0190809463785909,0.40418118466898956,0.5015321388658568,0.36499614,0.581384
Wdr17,-3.1427464,-0.45417288,0.0016737068703895268,0.01907230856970593,0.6376306620209059,0.623021738346732,0.6041369,0.75923985
Klf10,-3.143183,-1.7562404,0.0016712137501918732,0.019051978560736375,0.041811846689895474,0.15130321929413462,0.025139099,0.08250179
Ncor2,-3.1496732,-0.60581946,0.0016345323093633361,0.01864963191192902,0.3797909407665505,0.48001009409135154,0.26460105,0.37910992
Nme5,-3.1498015,-1.5086678,0.00163381449861747,0.018649360908178175,0.05226480836236934,0.16121705901438407,0.03017774,0.08358607
Mettl7a1,-3.1519356,-0.9229253,0.0016219207717452068,0.018568815993520966,0.09407665505226481,0.20887559032409242,0.0634807,0.117123954
Ltk,-3.1524122,-2.6113305,0.0016192750085209451,0.0185508538507965,0.013937282229965157,0.1228595118785825,0.009565878,0.057074312
Dennd2a,-3.1531713,-0.63461035,0.001615070336571766,0.01851405287699802,0.2613240418118467,0.37654565773820253,0.18401831,0.2728223
Vash1,-3.1539192,-1.0561323,0.0016109364357156414,0.018490329785424725,0.08362369337979095,0.1971952846173258,0.049883373,0.101071455
Nfatc2,-3.1568856,-1.667276,0.0015946383950312547,0.01831108276687599,0.04878048780487805,0.15916219041782328,0.030869095,0.09492254
Napepld,-3.1611392,-1.1067519,0.0015715338956989755,0.018068941282597974,0.09059233449477352,0.20188182703053462,0.056780066,0.11851167
Sdk1,-3.1645896,-0.63590086,0.0015530182310390646,0.01787900594173936,0.37282229965156793,0.46422005119146326,0.41523314,0.58769387
B3galt2,-3.166874,-0.85715765,0.0015408704735325987,0.017754369478482388,0.2264808362369338,0.33332131655791486,0.14099355,0.2423868
Rgs9,-3.1685057,-1.3577751,0.0015322471483544056,0.01767016346621583,0.05574912891986063,0.16767006741411009,0.038758125,0.09647602
Arhgef4,-3.1700127,-0.7655889,0.001524322190604458,0.017593873394133073,0.24390243902439024,0.357943689390389,0.16523863,0.26655412
Mertk,-3.1707096,-1.7069154,0.0015206713609153659,0.017559277811687098,0.09059233449477352,0.19694293233353763,0.09839751,0.29085153
Wsb2,-3.1724293,-1.0054054,0.0015116940274154328,0.01747814910355107,0.13588850174216027,0.24975666029777568,0.08042148,0.15539263
Btg3,-3.1734376,-1.5339149,0.001506452864511761,0.0174325531737429,0.0627177700348432,0.1731497170049389,0.035098474,0.09843228
Phyhip,-3.1736062,-1.9094325,0.0015055777969478462,0.01742993339249833,0.0313588850174216,0.14146148022639604,0.022341836,0.08146409
Itga6,-3.1756413,-1.8549368,0.0014950567609958718,0.017315592744809948,0.07665505226480836,0.1843253181441292,0.04934303,0.16802652
Gm57038,-3.1888087,-2.8348932,0.0014286034966501185,0.016631965318452638,0.017421602787456445,0.127041349724215,0.009609446,0.06662346
Gm11613,-3.1929045,-0.6447865,0.0014084948443879558,0.016412079995101633,0.15331010452961671,0.27268466779624356,0.10216144,0.15544249
Zmiz1os1,-3.193099,-0.7789666,0.001407547235116834,0.01640815366923615,0.17073170731707318,0.282598507516493,0.11279953,0.18638946
Arpc5,-3.1986175,-0.78705204,0.0013808828107808617,0.016139330633180404,0.21951219512195122,0.3396661739788745,0.15016772,0.24653797
Actb,-3.2030983,-0.7324279,0.0013595758986191223,0.015911064632358807,0.6376306620209059,0.6831897328670824,0.59187883,0.8507542
Iqgap2,-3.2060206,-0.606011,0.001345843163399413,0.015764082737812653,0.5435540069686411,0.5505245322470168,0.57472616,0.7802851
Neurl1a,-3.210476,-0.58358645,0.0013251541309293844,0.015548860916188888,0.24738675958188153,0.36962399509715566,0.16885482,0.24346364
Adgra3,-3.22027,-1.9092832,0.0012806999308148726,0.015073327700830322,0.04878048780487805,0.159378492375356,0.026615998,0.09650763
Bcor,-3.2211719,-0.9342457,0.0012766756926759527,0.015039138913723302,0.11149825783972125,0.22974872922599948,0.079106085,0.14609234
Prag1,-3.224736,-1.2102115,0.0012608889593190302,0.01487273324710375,0.12195121951219512,0.23338981217780022,0.076107986,0.16802545
Actr3b,-3.2288427,-0.4813123,0.0012429220649995685,0.01469952283738486,0.49477351916376305,0.5526154511698331,0.40244204,0.52572656
R3hdm2,-3.2348454,-0.31981495,0.0012170865031258947,0.014406658299115768,0.7212543554006968,0.6904718987706838,0.7261433,0.84669125
Gm5087,-3.238974,-2.0082607,0.001199604597016696,0.014218515889650913,0.05226480836236934,0.16240671978081403,0.030438872,0.11719389
Olfml2b,-3.241365,-1.8914143,0.0011895882067302767,0.01411224508381569,0.03484320557491289,0.1474458343848012,0.024829915,0.089174934
Pitpnm3,-3.2457137,-0.68657047,0.0011715660721162723,0.013910729278729226,0.20209059233449478,0.3196582429070983,0.13824323,0.21398878
Ccni,-3.2597904,-0.6519263,0.0011149454441172343,0.013267752029862747,0.29965156794425085,0.4230505786077364,0.20996583,0.3126953
Fam131a,-3.2705817,-0.61179507,0.0010732648183061151,0.012817166963504585,0.2961672473867596,0.42506939687804174,0.22243415,0.32258072
Cdh13,-3.2733357,-0.6392288,0.0010628619985464664,0.012709880685778172,0.4912891986062718,0.5436389199322254,0.5928842,0.8155077
Neurod1,-3.2803795,-2.779496,0.001036675375627779,0.012418844111956498,0.024390243902439025,0.1367749378131872,0.011985066,0.07953743
Fam234b,-3.2832177,-0.760627,0.0010262941452171483,0.012316446485924419,0.20905923344947736,0.3331410649266376,0.13484502,0.21879575
Gm15738,-3.2862134,-0.6464549,0.00101544061952154,0.012197089605070979,0.12195121951219512,0.24611557734597497,0.09318478,0.14226003
Dbpht2,-3.2910829,-1.6991979,0.000998025113865013,0.012003999467123052,0.04878048780487805,0.16309167597966762,0.028373774,0.08934237
Dgat2,-3.3035903,-1.4661672,0.0009545522893796241,0.011537930731277778,0.07665505226480836,0.19232849057283968,0.044170212,0.117580205
Wnt4,-3.3044374,-25.99164,0.000951672579513208,0.011513481409959432,0.0,0.1131980244421212,0.0,0.06458969
Tgfa,-3.3054347,-2.0399723,0.0009482920693288834,0.011482923795794096,0.04878048780487805,0.1622625184757922,0.030985823,0.12170448
Znrf2,-3.3058968,-0.7355438,0.0009467298705394258,0.011469175663387905,0.26480836236933797,0.37910523090233966,0.17143847,0.27107877
Pcsk1,-3.3059664,-1.1055913,0.0009464945078336031,0.011469175663387905,0.11846689895470383,0.23396661739788746,0.077160224,0.15923442
F730043M19Rik,-3.3077264,-0.7630441,0.0009405664539161039,0.011404792697078388,0.20209059233449478,0.3189011860557338,0.14574988,0.23608465
Cdk9,-3.3098054,-0.77439624,0.0009336082586079841,0.011340892363832069,0.1602787456445993,0.28249035653772664,0.10548451,0.17419581
Elmo2,-3.3108284,-0.84974164,0.0009302019199882873,0.011304624871137623,0.16376306620209058,0.28569883557446196,0.10060066,0.17456913
Arhgef26,-3.3148878,-1.1579583,0.0009167996172962579,0.011167001684837013,0.13240418118466898,0.2471610368073831,0.10331626,0.21742412
Pced1b,-3.3169887,-0.5913871,0.0009099328762348676,0.011093419412173726,0.20557491289198607,0.3376473557085692,0.16010807,0.23239642
Per3,-3.320509,-0.94686943,0.0008985351165788537,0.010964413525192462,0.1289198606271777,0.24813439561628034,0.0791881,0.14743352
Grhl1,-3.3280294,-0.9226297,0.0008746262612345127,0.010711580510196607,0.08710801393728224,0.20786618118893976,0.06284685,0.115962386
Btbd8,-3.3319051,-0.66206276,0.0008625362425639211,0.010587642228274354,0.34146341463414637,0.45837989833807996,0.24050741,0.35783625
Ptpn14,-3.3325946,-1.7246765,0.0008604021904755714,0.010566273701132818,0.041811846689895474,0.15779227802011608,0.028618574,0.09162385
Slc6a15,-3.3328476,-0.6022857,0.0008596201769782851,0.010561497098951312,0.3344947735191638,0.44630303904250335,0.25142717,0.36044616
Otulinl,-3.3357663,-1.2806162,0.0008506462228816609,0.010465597073640214,0.09407665505226481,0.21284112621219223,0.0586541,0.13693874
Sorl1,-3.3405552,-0.4761292,0.0008361106281047465,0.010291476214921914,0.6202090592334495,0.6299434009877789,0.5796501,0.73836833
Agap2,-3.344882,-0.6750238,0.0008231758587476776,0.010141556774209123,0.27526132404181186,0.39150654313421535,0.18030457,0.27418953
Nab1,-3.3468363,-0.6360296,0.000817394369604138,0.010074948032689537,0.18815331010452963,0.31742312267926026,0.13588567,0.20391382
Pde1c,-3.3517683,-1.0737036,0.000802972124969208,0.009919936090998907,0.22996515679442509,0.3357727387432856,0.1816354,0.350117
Tbl1xr1,-3.3585958,-0.44750124,0.0007833956547417699,0.009691455452537457,0.6062717770034843,0.6512491438047514,0.5667553,0.7128795
Dpy19l3,-3.3597581,-0.77498794,0.0007801072831110981,0.009659669445712076,0.18815331010452963,0.3106456613432352,0.1270595,0.2085072
Hrk,-3.366934,-1.3742301,0.0007600885864825376,0.00942047062674621,0.05226480836236934,0.17210425754353076,0.039862573,0.10022788
Klhl2,-3.3673484,-0.44226164,0.0007589473721025493,0.009410667230454776,0.6898954703832753,0.6849922491798551,0.72197413,0.8912665
Mir124-2hg,-3.3675244,-0.6470507,0.0007584630900903255,0.009409004261646836,0.2682926829268293,0.3881899131187137,0.19987603,0.29748788
Prnp,-3.368859,-0.6513891,0.0007547999459559401,0.009372215595118352,0.5609756097560976,0.6293665957676917,0.4814249,0.6786821
Bhlhb9,-3.3689618,-0.60810876,0.0007545188472024536,0.009372215595118352,0.1986062717770035,0.3301128375211796,0.14552385,0.21411711
Abcg2,-3.374088,-1.7290329,0.0007406069504416811,0.009224254612589978,0.06620209059233449,0.18252280183135658,0.039120175,0.124211624
Plpp3,-3.3786933,-1.4722749,0.0007283116819008636,0.009089519225581147,0.15331010452961671,0.2648617469988103,0.122912854,0.30959854
Atp10a,-3.3831084,-2.406111,0.0007167037009743185,0.008965469480996247,0.04878048780487805,0.1623346191283031,0.024527902,0.12364685
Olfm3,-3.3888798,-0.82991594,0.0007017876593233706,0.008791158231244274,0.29965156794425085,0.3999062691517358,0.28872082,0.46686798
Hs3st2,-3.3889494,-1.3109564,0.0007016093806031299,0.008791158231244274,0.11149825783972125,0.22520638811781246,0.07719246,0.18157525
Lrfn2,-3.3938189,-0.4920967,0.0006892523972057121,0.008646224048981084,0.4808362369337979,0.5557878798803129,0.41867512,0.5488725
Arhgap20,-3.393907,-0.56293947,0.0006890309506441733,0.008646224048981084,0.4529616724738676,0.5309131547640507,0.3611659,0.49629077
Ramp1,-3.3968844,-0.7790576,0.0006815775274924605,0.008565943949355666,0.21951219512195122,0.3467320379249432,0.16009514,0.2607773
Zswim5,-3.3976727,-0.5693156,0.0006796166098839515,0.008545296353571258,0.3693379790940767,0.4817044594253578,0.30449858,0.42406303
Tle1,-3.400478,-0.575505,0.0006726818396043881,0.008473962039460811,0.3902439024390244,0.49771080428277875,0.3306103,0.45988205
