names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Neuroblast (for_DEGs),mean_expr_Rest (for_DEGs)
Dpm1,-4.225917,-0.49616933,2.3796985188144817e-05,0.00040444338520268896,0.2112676056338028,0.4929350164969158,0.28785822,0.38559285
Tmem175,-4.22652,-0.5709898,2.3733320471227038e-05,0.00040361665889991806,0.19718309859154928,0.47041314015205854,0.2594434,0.36466444
Adarb1,-4.2277,-0.59741884,2.3609203779806066e-05,0.00040176016818454016,0.2323943661971831,0.5255702194807058,0.3270628,0.46081555
Ints6l,-4.2280016,-0.49103415,2.357759034829514e-05,0.0004014764592260395,0.22535211267605634,0.5104002295223067,0.35047135,0.4636824
Fmnl1,-4.2280746,-1.8269281,2.3569965556917485e-05,0.0004014764592260395,0.028169014084507043,0.23956390761727156,0.041592818,0.1403489
Tmed9,-4.2292547,-1.1351254,2.3446661974719132e-05,0.0003997536848100908,0.08450704225352113,0.30809783388323053,0.10139239,0.2105668
Map4k2,-4.229738,-1.2084019,2.3396322983261183e-05,0.00039914869749855744,0.04225352112676056,0.2577822407115192,0.06719202,0.14894012
Tpst1,-4.231241,-0.62249035,2.3240548731383585e-05,0.00039674303965201834,0.1267605633802817,0.36806053650839193,0.17206267,0.2539053
Dcaf8,-4.232005,-0.46553123,2.3161693249561534e-05,0.0003956482502324974,0.23943661971830985,0.5404174436953091,0.35302654,0.46033207
Mpp2,-4.232598,-0.9873427,2.3100715376004344e-05,0.00039485764768017607,0.08450704225352113,0.311289628460766,0.103775635,0.19621861
Tlcd4,-4.233586,-0.96507174,2.2999424937733023e-05,0.0003933765423786673,0.07746478873239436,0.30182183330942475,0.1049293,0.19554363
Cep162,-4.2356553,-0.840277,2.2788616393301617e-05,0.0003900191862980984,0.1056338028169014,0.3396571510543681,0.12863144,0.21975297
Mgrn1,-4.236461,-0.460858,2.270701616444134e-05,0.00038887031506599037,0.1619718309859155,0.4227155357911347,0.22836554,0.3023973
Calb1,-4.2368145,-1.1835862,2.267130517930965e-05,0.00038850635852554226,0.11267605633802817,0.3395854253335246,0.1473245,0.3078816
Uba2,-4.236934,-0.6744798,2.265923856506276e-05,0.00038850635852554226,0.11267605633802817,0.3500573805766748,0.15067153,0.23074402
Epb41l1,-4.2370696,-0.672275,2.2645605404652036e-05,0.00038850635852554226,0.29577464788732394,0.6090230956821117,0.4338377,0.6235732
Anapc4,-4.237673,-0.44637436,2.2584875586937514e-05,0.0003877671610357898,0.1619718309859155,0.41984650695739495,0.22758135,0.29879168
Mphosph8,-4.2379847,-0.4428845,2.2553524463524495e-05,0.00038747647208114017,0.176056338028169,0.4434442691149046,0.26234102,0.34199557
Hipk1,-4.244572,-0.5558603,2.1901085340506975e-05,0.0003765081017910572,0.13380281690140844,0.3801821833309425,0.18452439,0.2607473
Rhbdl3,-4.245201,-1.6743945,2.1839725215921213e-05,0.00037569360854788924,0.028169014084507043,0.24074738201118923,0.05234349,0.15830423
Fhl2,-4.2456017,-1.0568589,2.1800763100993773e-05,0.00037526361596649756,0.07746478873239436,0.3028618562616554,0.097411275,0.19297606
Mgat3,-4.2464957,-0.7076503,2.171396967148678e-05,0.0003740092083800319,0.14788732394366197,0.3971094534500072,0.18116969,0.28093877
