names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IT AON-TT-DP Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Kctd20,-3.0889325,-0.33092016,0.002008769961699009,0.010488855202264356,0.09900990099009901,0.22478271845360454,0.10078797,0.12520564
Patz1,-3.0895061,-0.9409163,0.0020048948696397826,0.01047065600529076,0.08415841584158416,0.21053770420859028,0.06604893,0.12317147
Gm13629,-3.0895631,-1.9745212,0.00200451069294412,0.01047065600529076,0.054455445544554455,0.17750369649103825,0.035151143,0.13155423
Mindy4,-3.090382,-0.6861624,0.001998991929442001,0.010443887447813839,0.08415841584158416,0.2079411446500054,0.06865298,0.10826453
Gm11149,-3.0905747,-0.8659912,0.001997695425073547,0.01043914353786974,0.12871287128712872,0.2530924303076202,0.09008485,0.15855013
Stradb,-3.091306,-0.86902505,0.0019927816219044337,0.010417335089808055,0.10891089108910891,0.23401493021746186,0.074037045,0.13133945
Celsr3,-3.0923963,-0.87165284,0.001985475651729366,0.010381344767847453,0.12871287128712872,0.2496303508961737,0.07223384,0.12844686
Fem1c,-3.0938764,-0.80852044,0.0019755976455113093,0.010331706643614028,0.1188118811881188,0.2379818962097443,0.08486273,0.14420299
4921539H07Rik,-3.0946383,-1.5110245,0.0019705301258604413,0.010307211306573888,0.06435643564356436,0.19106350751920373,0.06131311,0.16569938
Calu,-3.0950718,-0.46779254,0.0019676522104895428,0.010294161778787775,0.10396039603960396,0.23181506725810525,0.10667164,0.14469054
Pbdc1,-3.0965607,-0.55887663,0.001957797815534289,0.010244601227537748,0.14356435643564355,0.2690324209311551,0.113777384,0.16340633
Ppard,-3.097016,-0.8701328,0.0019547925914667613,0.010230868120902197,0.10891089108910891,0.23159868729488983,0.07932098,0.14053617
Zfp101,-3.0973096,-1.5008888,0.0019528587772958874,0.010222738232211278,0.09405940594059406,0.21284575714955462,0.04413961,0.12019854
Gnl2,-3.0978217,-0.9522257,0.001949486029168775,0.01020707124001656,0.1188118811881188,0.2416603555844062,0.07243304,0.13570854
Zfp938,-3.098426,-1.0215143,0.0019455147903021097,0.01019024998351222,0.10396039603960396,0.22676620144974574,0.06495252,0.1277185
