names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Emx1_Mutant (for_DEGs)
Mthfs,1.2182248,0.950637,0.22313858979831203,0.9472932940411838,0.15,0.12024463,0.22070025
Grk3,1.2178086,0.37609604,0.223296694369725,0.9472932940411838,0.4125,0.58201295,0.70547634
Fat1,1.2173926,0.620447,0.22345487907015937,0.9472932940411838,0.25833333333333336,0.2836563,0.40827122
Bptf,1.2169765,0.39664462,0.22361314391282916,0.9472932940411838,0.37083333333333335,0.48358747,0.59810674
Cmip,1.2148962,0.4738045,0.2244056707207085,0.9482218768434595,0.275,0.31830847,0.4190458
Yipf5,1.2148962,0.69432145,0.2244056707207085,0.9482218768434595,0.22916666666666666,0.23152536,0.35175171
Fgf12,1.2144802,0.34406108,0.2245644166930949,0.9482218768434595,0.4875,0.8132897,0.9529705
Dnajc10,1.2123998,0.7505757,0.22535935032769794,0.9497047852847295,0.20833333333333334,0.20179,0.31931442
Tox2,1.2099035,0.6933313,0.22631592070187945,0.9497047852847295,0.20833333333333334,0.21719205,0.33092785
mt-Co3,1.2094874,0.3056837,0.22647563034021578,0.9497047852847295,0.725,1.4031972,1.5670091
Ppp6r2,1.2086554,0.48049197,0.22679529079749383,0.9497047852847295,0.2625,0.30255744,0.40075558
Galnt7,1.2082393,0.7748366,0.22695524164199266,0.9497047852847295,0.175,0.17005941,0.27549037
Dnmt3a,1.2078232,0.3634537,0.22711527291406675,0.9497047852847295,0.4,0.5414781,0.6546192
Abi2,1.205743,0.35188568,0.22791663613268265,0.95075369710421,0.4375,0.59686273,0.71389365
Sf3b1,1.205743,0.42104918,0.22791663613268265,0.95075369710421,0.35,0.44545907,0.56041557
Nfat5,1.2044947,0.28224492,0.22839842000583443,0.9519969541836107,0.6166666666666667,1.0706935,1.2034904
Sgms1,1.2028304,0.5167569,0.2290419261401393,0.952286098115453,0.30416666666666664,0.3646979,0.48835692
Tom1,1.2015823,0.81319237,0.2295254019058951,0.9528614641622136,0.17083333333333334,0.15215917,0.25368887
Plcd4,1.199918,0.6035625,0.2301711651179743,0.9529271375494511,0.23333333333333334,0.2578235,0.3694165
Marcks,1.1986699,0.33936328,0.2306563346024726,0.9529271375494511,0.3875,0.56272984,0.6708013
Nkain2,1.1982539,0.39996994,0.23081821917720446,0.9529271375494511,0.45416666666666666,0.7585425,0.9154199
Tmeff2,1.1965896,0.48755154,0.23146656486819717,0.9529271375494511,0.225,0.2968125,0.3950788
Kansl1l,1.1961735,0.38620389,0.23162885319982263,0.9529271375494511,0.4625,0.67315346,0.8132419
Unc13b,1.1957575,0.8105159,0.2317912223192663,0.9529271375494511,0.17083333333333334,0.15241179,0.25367388
Afg3l2,1.1949253,0.97864133,0.2321162029699686,0.9529271375494511,0.15833333333333333,0.13909994,0.25780898
Vps36,1.1911808,0.79156524,0.23358261807273017,0.9554051949600583,0.14583333333333334,0.116730414,0.19418438
Cdk11b,1.1891005,0.8298994,0.2344001251761888,0.9554051949600583,0.17083333333333334,0.15085709,0.25420895
Hunk,1.1874362,1.0028707,0.2350555886158625,0.9566559345002229,0.13333333333333333,0.096030846,0.18397646
Dop1a,1.1832757,0.59637225,0.23669992143825214,0.9610833017018686,0.25,0.2750327,0.39111653
Tnpo3,1.1832757,0.5282728,0.23669992143825214,0.9610833017018686,0.2708333333333333,0.3039596,0.41362542
Wsb1,1.1824435,0.36865875,0.23702976146534238,0.9613380513755923,0.3958333333333333,0.537174,0.65139794
Selenop,1.1811954,0.33734325,0.23752513034891065,0.9613380513755923,0.42916666666666664,0.6315212,0.74782884
Stambpl1,1.1807793,0.5879038,0.23769041571359462,0.9613380513755923,0.22083333333333333,0.2516501,0.3577408
Socs7,1.179115,0.8307371,0.23835236949082583,0.9631816636076118,0.17916666666666667,0.15355726,0.25866616
Fip1l1,1.178699,0.56989795,0.23851806107094498,0.9631816636076118,0.2875,0.3409129,0.47188714
Wfs1,1.1778668,1.0577048,0.2388496880725034,0.9636886734923115,0.14583333333333334,0.10560062,0.20851403
Myo16,1.1745384,1.3168118,0.24017944892539056,0.9660145185343534,0.12916666666666668,0.08171825,0.1923721
Pde7b,1.1728741,0.36572063,0.2408462822942823,0.9660145185343534,0.4375,0.6704185,0.80227625
Etv4,1.171626,0.5152372,0.24134726230683456,0.9660145185343534,0.25833333333333336,0.31940246,0.43036982
Tsc22d2,1.171626,0.4620382,0.24134726230683456,0.9660145185343534,0.2916666666666667,0.35272342,0.4590632
Ppp2r5e,1.1707939,0.45308062,0.24168165628042115,0.9660145185343534,0.35,0.4596097,0.58707964
Zfp438,1.1707939,0.5660996,0.24168165628042115,0.9660145185343534,0.2375,0.2585721,0.362467
Gigyf1,1.1682975,1.0778333,0.2426867941795029,0.9670503327527108,0.14583333333333334,0.107378,0.21452811
Rnf180,1.1678814,0.39544204,0.24285460252158564,0.9670503327527108,0.35,0.49691668,0.61335486
Eea1,1.1678814,0.41006175,0.24285460252158564,0.9670503327527108,0.3625,0.47561228,0.59288657
Kpna1,1.1674653,0.3753311,0.24302249242309004,0.9670503327527108,0.32083333333333336,0.40205702,0.4958838
Chst10,1.164969,0.606259,0.244031545169899,0.9686866507734653,0.225,0.24338463,0.35029447
Cpq,1.1645529,0.43997115,0.24420000628183114,0.9686866507734653,0.3458333333333333,0.5076049,0.6403338
Aldh7a1,1.1641369,0.4472685,0.24436854903704286,0.9686866507734653,0.2375,0.26719978,0.34898537
Fgfr1,1.1641369,0.3331833,0.24436854903704286,0.9686866507734653,0.475,0.70820355,0.8320445
Prkar2a,1.1624726,0.72912616,0.24504353669788914,0.9688542213725883,0.16666666666666666,0.15377648,0.24337658
Lap3,1.1620566,0.91994596,0.24521248782469895,0.9688542213725883,0.1625,0.14246719,0.2544103
Iars2,1.1616405,0.8090177,0.24538152065670593,0.9688542213725883,0.15833333333333333,0.138375,0.23111981
Atp11b,1.1612245,0.38675955,0.24555063520414822,0.9688542213725883,0.32083333333333336,0.39914554,0.49553224
Fryl,1.1608084,0.42037013,0.24571983147724008,0.9688542213725883,0.3416666666666667,0.43109837,0.54305476
Mapkap1,1.1608084,0.4479258,0.24571983147724008,0.9688542213725883,0.2875,0.36247241,0.46745968
Mettl16,1.1591442,0.8378799,0.2463974340295827,0.9707171956616362,0.17916666666666667,0.15794569,0.2668408
Gak,1.1558157,0.6159672,0.24775656504124466,0.973044222457306,0.19583333333333333,0.18901923,0.27677983
A830082K12Rik,1.1553996,0.4368295,0.2479268246666697,0.973044222457306,0.32083333333333336,0.41397634,0.5271919
Vmp1,1.1553996,0.5325657,0.2479268246666697,0.973044222457306,0.24583333333333332,0.27509612,0.37709618
Smg7,1.1549835,0.48505118,0.24809716615829014,0.973044222457306,0.25,0.29204446,0.3884572
Cog4,1.1537354,1.181286,0.24860868192882724,0.9732432285180689,0.12916666666666668,0.08655734,0.18651244
Stxbp5,1.1529032,0.4879696,0.24895010195367617,0.9732432285180689,0.31666666666666665,0.416587,0.5450893
Stau2,1.1529032,0.40707406,0.24895010195367617,0.9732432285180689,0.2833333333333333,0.3446407,0.43542737
Cplane1,1.1520711,0.42678973,0.24929184967856288,0.9732432285180689,0.37916666666666665,0.5256636,0.65733856
Foxo1,1.1520711,0.4683506,0.24929184967856288,0.9732432285180689,0.325,0.4341461,0.56084156
Ppp4r1l-ps,1.1516551,1.1863726,0.24946284645280747,0.9732432285180689,0.13333333333333333,0.0871865,0.18840764
