names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Syt17,-4.197471,-3.011203,2.699118679538673e-05,0.0033421805953550297,0.06976744186046512,0.43813438170121516,0.058508817,0.39594895
Dock9,-4.1993957,-1.3724738,2.6762843399591444e-05,0.003329248158088065,0.3488372093023256,0.7132952108649036,0.5393598,1.0476701
Ide,-4.199933,-2.4305565,2.669937065355892e-05,0.003329248158088065,0.11627906976744186,0.485096497498213,0.084443085,0.38866237
Arnt2,-4.2015557,-1.4884881,2.6508705449763886e-05,0.003328452875865213,0.18604651162790697,0.5759471050750536,0.2547412,0.5955804
Fry,-4.2018385,-1.1623679,2.647558278986944e-05,0.003328452875865213,0.6046511627906976,0.8032523230879199,0.9018677,1.4533083
Gpr45,-4.2023387,-2.187882,2.6417162256853124e-05,0.003328452875865213,0.13953488372093023,0.5082916368834882,0.11604593,0.4451018
Grin2a,-4.205178,-1.6264291,2.6087695972625315e-05,0.003322162989499726,0.6046511627906976,0.8348463187991423,1.3109848,2.2371378
Sptb,-4.2052345,-4.489453,2.6081168434517527e-05,0.003322162989499726,0.023255813953488372,0.393602573266619,0.014265628,0.2797049
Cdh20,-4.2103,-2.6237888,2.5503203276942987e-05,0.00327880895718401,0.11627906976744186,0.4791279485346676,0.14719877,0.68181264
Runx2,-4.218025,-2.343492,2.46451273228657e-05,0.00318372389983366,0.18604651162790697,0.5152609006433166,0.13905507,0.563704
Prr16,-4.2197704,-2.2144067,2.4455139767470776e-05,0.0031744425388982593,0.16279069767441862,0.5230521801286633,0.20940107,0.7328725
Pakap,-4.230467,-1.4153713,2.332066756260198e-05,0.003041875424306384,0.2558139534883721,0.6643316654753395,0.4111946,0.85723555
Sdccag8,-4.237249,-1.3163649,2.2627503663612338e-05,0.0029658586509329924,0.2558139534883721,0.6238384560400286,0.3134434,0.65064526
Ranbp9,-4.241513,-1.4321846,2.220183151676779e-05,0.00292432947478211,0.32558139534883723,0.6619370979270908,0.34390214,0.74555176
Stk3,-4.241607,-1.8611633,2.2192500726751678e-05,0.00292432947478211,0.20930232558139536,0.5821300929235168,0.19912682,0.5880557
Enox2,-4.248342,-2.4099023,2.1535844622131217e-05,0.0028646937871122068,0.06976744186046512,0.4444245889921372,0.08887535,0.40141803
Prkag2,-4.251917,-1.4409599,2.1194840511461426e-05,0.002833360022601833,0.37209302325581395,0.6629735525375268,0.431655,0.9024241
Nav3,-4.2699146,-1.2608613,1.9554777160644926e-05,0.002627184311532646,0.6976744186046512,0.8977483917083631,1.9130561,2.6970716
Slc9a9,-4.271735,-1.5018857,1.9395782682567974e-05,0.0026189179933698565,0.3953488372093023,0.6858470335954253,0.43746936,0.93775165
Tln2,-4.27764,-1.65627,1.888851036387032e-05,0.002563304411500987,0.23255813953488372,0.5977483917083631,0.23683561,0.6110245
Chrna7,-4.279055,-2.4151583,1.8768849976770622e-05,0.002559994918151404,0.11627906976744186,0.47430307362401714,0.10502021,0.46412802
Nlk,-4.284762,-1.2644887,1.8293509212167867e-05,0.0025078907782191354,0.3953488372093023,0.7553967119370979,0.6494076,1.1621475
Stxbp5,-4.285545,-1.2405664,1.8229198799315515e-05,0.0025078907782191354,0.4418604651162791,0.7338813438170122,0.58634835,1.0592536
Sema3e,-4.2894874,-3.4371905,1.79085825176655e-05,0.0024804309909776906,0.06976744186046512,0.4381701215153681,0.061919168,0.52584696
Clasp1,-4.2930155,-1.5453997,1.7626275622676318e-05,0.0024539794092295992,0.3488372093023256,0.668048606147248,0.32611474,0.75397813
Lrrc4c,-4.302354,-1.521532,1.689931558252062e-05,0.0023650240088662973,0.6976744186046512,0.914867762687634,1.6956092,2.6228998
Svop,-4.302599,-1.9978322,1.6880614256593944e-05,0.0023650240088662973,0.20930232558139536,0.558506075768406,0.15889265,0.5234349
Tmcc1,-4.3060045,-1.320214,1.6622982934001348e-05,0.002350839744403243,0.4883720930232558,0.8106504646175839,0.7574899,1.3425877
Abca5,-4.3130035,-2.1986306,1.6105165310147145e-05,0.0022896602745166865,0.18604651162790697,0.5346676197283774,0.12447909,0.47530282
Grik2,-4.3181252,-1.3481487,1.573600524328104e-05,0.0022490769196114972,0.7906976744186046,0.9163688348820586,1.8371415,2.6698887
Galnt14,-4.328152,-4.908703,1.5036544707652364e-05,0.0021605986967626685,0.023255813953488372,0.40132237312365976,0.0155065395,0.38486147
Mark2,-4.328577,-1.4817551,1.500759841050746e-05,0.0021605986967626685,0.27906976744186046,0.6540028591851322,0.31577495,0.7115058
Tmtc2,-4.329256,-1.8858075,1.496139481962569e-05,0.0021605986967626685,0.11627906976744186,0.5185847033595425,0.20999785,0.6224946
D430041D05Rik,-4.329671,-1.5043687,1.4933226094397718e-05,0.0021605986967626685,0.3023255813953488,0.678627591136526,0.47049212,0.99489045
Nfix,-4.3350196,-1.6950456,1.4574728236820024e-05,0.002140016107777891,0.18604651162790697,0.5922444603288063,0.22882381,0.60569286
Rimbp2,-4.335312,-1.6057057,1.4555366348715477e-05,0.002140016107777891,0.37209302325581395,0.6357398141529664,0.33961743,0.80235803
