names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MY GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Ndufb8,0.9999435,2.2021737,0.3173378641991793,0.9988100266275479,0.2916666666666667,0.22797242758669953,0.7044006,0.20067568
Tubb2a,0.9789914,1.9278047,0.3275842232105042,0.9988100266275479,0.375,0.3737990642522947,0.9799189,0.36284268
Uqcc2,0.9738922,2.1545165,0.3301100497374182,0.9988100266275479,0.25,0.16493446194506947,0.50998044,0.1392598
Plp1,0.9713679,0.8513885,0.3313651124845529,0.9988100266275479,0.5833333333333334,0.7184542305082324,1.6592001,1.2114607
Ndufa13,0.96885616,1.8938977,0.3326169581208328,0.9988100266275479,0.3333333333333333,0.28622450801814353,0.8024915,0.28612685
Usp9x,0.96385795,0.35694814,0.33511714127123227,0.9988100266275479,0.5416666666666666,0.7780277867066681,1.2802294,1.1079533
Smim26,0.95392466,3.1628048,0.3401217762344406,0.9988100266275479,0.16666666666666666,0.0627522411514697,0.3755288,0.049638063
Ibtk,0.9400029,2.0583649,0.3472160703480289,0.9988100266275479,0.3333333333333333,0.3092967605985928,0.6447671,0.19672602
Hspe1,0.9225092,2.3585997,0.35626303593132524,0.9988100266275479,0.25,0.1800778599235687,0.5846857,0.14401188
Cdh23,0.8971269,2.2992864,0.3696512016041219,0.9988100266275479,0.25,0.1849708918175649,0.60909957,0.15735297
Map1b,0.88025165,0.1229151,0.378722991571653,0.9988100266275479,0.6666666666666666,0.8568163148683882,1.7402668,1.6705571
Sst,0.8627201,2.1529498,0.38829138468408153,0.9988100266275479,0.2916666666666667,0.2540805028751027,0.88019466,0.2756223
Nrgn,0.85327905,0.8296748,0.39350458123146914,0.9988100266275479,0.5416666666666666,0.7348119575699132,1.4423256,1.0359128
