names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CTX-CGE GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Vstm2a,26.136208,2.0444717,1.4141273207250152e-150,1.0554889196633655e-147,0.779976717112922,0.44628920630245916,1.1094012,0.4005945
Maf,25.805752,2.5275578,7.642527776317697e-147,5.404071614464645e-144,0.6903376018626309,0.21370195847445148,0.9394391,0.23925447
Tcf4,25.727747,0.8035305,5.7206205137397695e-146,3.9413608513894255e-143,0.9685681024447031,0.9319319687822117,3.2922387,2.7626014
Usp29,25.331398,1.7276616,1.4408535483920635e-141,9.442862157388963e-139,0.8323632130384168,0.5497717567368576,1.331896,0.61078656
Robo1,24.539438,1.4613076,5.6073101785565056e-133,3.3481872110625178e-130,0.9185098952270081,0.7880650861434251,2.6283944,1.7346972
A330076H08Rik,24.372154,1.3885907,3.376265660143488e-131,1.972179528001207e-128,0.8556461001164144,0.6499779119422765,1.453959,0.81215847
Rab3c,24.243433,1.5284264,7.755685120436907e-130,4.433941684811483e-127,0.8719441210710128,0.6376822264762185,1.5798074,0.84844637
Vwc2,24.017038,3.0827427,1.8458871631542635e-127,1.0333122515407305e-124,0.5913853317811408,0.14725371815638344,0.7623797,0.12659283
Thrb,23.836733,1.4903878,1.3902297653750535e-125,7.471094759125538e-123,0.8952270081490105,0.6857605654542778,1.8812205,1.0917337
Fgf13,23.606089,2.0375729,3.337348209796491e-123,1.7245105076390713e-120,0.810244470314319,0.6324179060521278,1.8546585,0.83843476
Zmat4,23.594404,1.7721907,4.399181623796379e-123,2.2303020798379e-120,0.8090803259604191,0.5930275364452953,1.7025621,0.83894426
Spock3,23.58038,1.7343001,6.127765858092687e-123,3.049130900128713e-120,0.8370197904540163,0.5626932705050802,1.6414272,0.81140906
Zbtb16,22.975475,1.542391,8.200004211087828e-117,3.934537734855891e-114,0.8207217694994179,0.5704977175673686,1.309775,0.65689045
Slc35f1,22.901247,1.5032626,4.515170940152607e-116,2.128467423892992e-113,0.8824214202561118,0.6467383301428361,1.7935656,1.0179828
Elavl2,22.650217,1.6923777,1.3882789029647952e-113,6.115254774207221e-111,0.8009313154831199,0.5335002208805772,1.4332392,0.68699604
Necab1,22.603456,1.9275568,4.0074585928273605e-113,1.736780844988245e-110,0.7275902211874272,0.3976954793108526,1.1024206,0.4244543
Rian,22.552128,1.1396642,1.2798317039547034e-112,5.458583791311569e-110,0.9150174621653085,0.755742895008099,2.218666,1.5516939
