names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IT-ET Glut (for_DEGs),mean_expr_Rest (for_DEGs)
5031415H12Rik,3.5221624,0.7331093,0.00042804165058862945,0.0010745029102500441,0.044422948136022024,0.01988480526604498,0.016295172,0.00983506
Ier5l,3.5144491,0.34464592,0.0004406671896921596,0.0011054735680168359,0.06711808914353747,0.042169500822819526,0.03455956,0.027314968
Gm12915,3.5108492,0.360384,0.00044667780797604597,0.0011200883426875348,0.05513803110350472,0.03051289083927592,0.020638911,0.016113354
Cldn1,3.509635,1.3921018,0.0004487224017496004,0.0011249459726639076,0.03415432695885111,0.009873834339001646,0.015043503,0.005758431
Gm33045,3.5056071,0.95548457,0.0004555672404390545,0.001141679887203637,0.040553612619986606,0.01625068568294021,0.014732865,0.0076243747
Gm5432,3.5049455,0.75705975,0.00045670057206100375,0.0011443066366355063,0.0385445345635836,0.014193636862314866,0.013915523,0.008257197
Ppef1,3.500334,1.3646433,0.0004646756510496625,0.0011633126566388179,0.03474960934593348,0.010559517279210093,0.013937898,0.0054356074
Ttn,3.5000486,0.6247034,0.00046517322386674246,0.00116444983466549,0.059677059305007815,0.03524410312671421,0.039075453,0.025515834
Zfp459,3.4983504,0.64002156,0.0004681457616198988,0.0011716725609842288,0.04583674380534266,0.02146187602852441,0.018090345,0.011646203
BC030343,3.4914114,1.0445653,0.00048047581022809096,0.001201972350882488,0.03921422724905127,0.015016456390565003,0.015116027,0.0073566516
Spink13,3.4899533,0.87294596,0.0004831050606111247,0.0012080998584105091,0.040553612619986606,0.016319253976961053,0.015965138,0.008749027
Gm49595,3.488059,0.5148677,0.0004865405941409716,0.0012164646659130834,0.04665525708758092,0.022284695556774547,0.017433047,0.012232495
Fbxo27,3.4819226,0.5452975,0.0004978273241234973,0.0012441053012647296,0.045315871716645584,0.020981897970378496,0.0187718,0.012901282
Epha8,3.477801,0.98372453,0.0005055450023003778,0.0012625703329130172,0.038916586055510086,0.014810751508502468,0.015539701,0.007888182
Gm29530,3.475161,1.2799428,0.0005105465256258924,0.0012742323187411972,0.03467519904754818,0.010628085573230937,0.012680604,0.0052415123
Tsen54,3.4726365,0.31252518,0.0005153727315692461,0.0012861581960867134,0.05439392811965176,0.029964344487109162,0.019839603,0.016006209
Serpinb8,3.4695022,1.0041991,0.0005214236875125733,0.001301017223833489,0.03809807277327182,0.014056500274273177,0.016370974,0.008195197
Opn3,3.4643807,0.33668545,0.000531453926588393,0.0013249366308619522,0.05231043976486346,0.027975863960504662,0.020407336,0.016193911
Gm35037,3.4595377,2.381401,0.0005411036304187076,0.0013484932804072227,0.030359401741200984,0.006513987931980252,0.012024926,0.002319097
Inhbb,3.4559193,0.35128534,0.0005484195707942484,0.0013663452820808024,0.04390207604732495,0.019747668678003292,0.019586118,0.01538564
Cstad,3.4534345,0.3622284,0.0005534965509987647,0.0013788663383401455,0.04888756603913982,0.024684585847504114,0.017704165,0.013800145
Gm26861,3.4522986,1.0264411,0.0005558321379097902,0.0013845563683726764,0.04181858769253665,0.017964893033461327,0.017339418,0.008549839
Zfp599,3.4506226,0.32123446,0.0005592953056889768,0.0013930538435171305,0.05603095468412828,0.03167855183763028,0.021497982,0.01724341
Kcnn1,3.4453495,0.40257475,0.0005703217396039453,0.001419728102942191,0.05238485006324876,0.028181568842567197,0.02233641,0.016943421
Cenpb,3.444132,0.26204947,0.0005728956100017853,0.001425607060636041,0.0665972170548404,0.04203236423477784,0.03402572,0.028453708
Lrrc43,3.4435809,1.501832,0.0005740649866121301,0.001428384682865815,0.03341022397499814,0.009599561162918267,0.012829241,0.004548883
4930422M22Rik,3.4428086,0.33689737,0.0005757067920004074,0.0014322045644894867,0.05521244140189002,0.03099286889742183,0.020550774,0.016305586
