names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Pericytes (for_DEGs),mean_expr_Rest (for_DEGs)
Rhoj,3.4225712,3.8455427,0.0006203184094641348,0.003993281184068352,0.23008849557522124,0.053523447855837784,0.4544282,0.0392375
Arhgap6,3.3997064,2.2469354,0.0006745826326075984,0.004289170690526779,0.36283185840707965,0.2542542901157167,0.81055653,0.23361754
Calm2,3.382562,0.5141915,0.0007181306242165311,0.004530680881121904,0.6991150442477876,0.8573424569197148,1.6860182,1.4059453
Tmsb4x,3.3739345,0.88860005,0.000741019938409234,0.004652150875013111,0.6371681415929203,0.7216350804284742,1.529249,1.0826341
Adgrl4,3.3580952,4.663042,0.0007848160620654944,0.00489167422586403,0.19469026548672566,0.01275391394690646,0.36750436,0.017378474
Adap2,3.3091147,3.0523477,0.0009359149386474058,0.005708974892498477,0.23893805309734514,0.06928671228459857,0.5256189,0.08006553
Sparcl1,3.2595751,1.224222,0.0011157927112793392,0.006661042024455864,0.5663716814159292,0.5903342528570916,1.2289168,0.71038103
Notch1,3.2451804,2.987399,0.0011737627557979744,0.0069714865712404,0.23893805309734514,0.0741948196180991,0.43095243,0.06572317
Trpc3,3.2415626,3.2305179,0.0011887627923195536,0.0070481147902970885,0.2831858407079646,0.1440189159173145,0.65110916,0.093280315
Ahnak,3.23805,4.1043043,0.0012034973453951105,0.0071260409146687125,0.20353982300884957,0.03166983126141941,0.42430237,0.030266138
Cyyr1,3.2047284,4.9103894,0.001351900048227281,0.007903732440354012,0.18584070796460178,0.012574785942034178,0.34722373,0.013709858
Wwtr1,3.1924891,2.9783309,0.0014105228189820918,0.008223204197450382,0.24778761061946902,0.09053129366245119,0.4594858,0.0714001
Malat1,3.1874616,0.37818208,0.0014352746284500165,0.008349389319431034,1.0,0.9936588686275212,5.243311,4.9827614
Carmn,3.180547,6.9032407,0.001469973482041598,0.008529083883061485,0.17699115044247787,0.004549851323755956,0.34660295,0.0034548931
Gpc6,3.1705794,1.0409453,0.00152135177403881,0.00878734354437292,0.5663716814159292,0.551105219790062,1.4346657,0.9378063
Hsp90ab1,3.1628141,0.82004195,0.0015625201833671864,0.009003842446295582,0.6460176991150443,0.8096585820227135,1.5908674,1.1673919
Lef1,3.089501,3.5214372,0.0020049312906746937,0.011186151117198718,0.20353982300884957,0.040053021889442195,0.37004465,0.038255285
Gab1,3.084159,1.6783979,0.0020412852810827095,0.01136773792801915,0.36283185840707965,0.24483215705943467,0.7218862,0.285666
Plxdc2,3.0782695,1.0218022,0.0020820661437323585,0.011570861899087586,0.6017699115044248,0.687779887507613,1.6673049,1.136776
Nid1,3.073405,5.170215,0.002116309699652899,0.011744163905343533,0.17699115044247787,0.010855157095260273,0.32545593,0.010626245
Inpp4b,3.0654008,1.0978743,0.0021737836716021496,0.012015957057385262,0.5486725663716814,0.5907283344678107,1.4157571,0.89914185
Hmcn1,3.0547986,3.331697,0.0022521168571567217,0.01238272558866403,0.20353982300884957,0.04223838354888403,0.3900963,0.046301655
Map3k20,3.0354872,3.0359097,0.0024014738621662797,0.01309141868054533,0.26548672566371684,0.1277899186758858,0.5127117,0.0785046
Cp,3.0181506,3.3445425,0.0025432241282899765,0.013785844730109274,0.21238938053097345,0.05707018235230896,0.41486737,0.049377896
Emcn,2.9895418,5.0006185,0.0027939614693729626,0.014963871772384195,0.17699115044247787,0.016336474044352095,0.33731973,0.0124538485
Plcl1,2.9356506,1.0170836,0.0033284900597868204,0.017427226793934502,0.6017699115044248,0.6850929674345287,1.7474203,1.2065681
Zic1,2.9223511,4.3658695,0.003473997072622616,0.018093875041940242,0.17699115044247787,0.020707197363235768,0.36409292,0.02107792
Eng,2.917079,4.2648115,0.003533262218248288,0.018363395706833947,0.17699115044247787,0.02031311575251675,0.3185381,0.019325292
Bnc2,2.91218,4.1500688,0.0035891593183908694,0.01859994424014709,0.17699115044247787,0.020169813348618924,0.45270735,0.031740803
Mylk,2.9113176,3.8808515,0.003599078970389287,0.018644158846030486,0.20353982300884957,0.054848995091892665,0.39510763,0.032361954
Sparc,2.8820796,1.8808059,0.00395059780838131,0.020277471463458607,0.2831858407079646,0.14545193995629277,0.52485067,0.17177714
Tcf12,2.846026,0.30724993,0.0044268584415641955,0.022464529995246445,0.6371681415929203,0.8115573388743597,1.5197483,1.3573991
Ddx5,2.8275476,0.367267,0.004690603751562401,0.02362446538040894,0.6460176991150443,0.8064342779350123,1.3541216,1.1717272
Abcb1a,2.817196,4.0899,0.00484449830113067,0.024325590434376584,0.168141592920354,0.01569161322681188,0.29284716,0.019783236
Ednra,2.8102052,4.322655,0.004950991523096132,0.024787244685223225,0.18584070796460178,0.03973059148067209,0.40389448,0.024565564
Tbx15,2.801531,4.314948,0.005086073136657136,0.025383132463220142,0.17699115044247787,0.02833805037079497,0.39795777,0.024260899
Apbb2,2.766497,0.7549103,0.005666213051775351,0.027925741874762232,0.5575221238938053,0.6807580697166195,1.1618019,0.83340067
Pald1,2.7560577,3.4687998,0.005850268557101975,0.02871697408281514,0.21238938053097345,0.0768100884892344,0.44385412,0.049230486
Pard3b,2.6848357,1.7195954,0.007256548289110456,0.03471988085608745,0.3805309734513274,0.32701608569483753,0.85417,0.34339878
Mill2,2.6611085,3.8039732,0.007788384229231059,0.03694155061596444,0.17699115044247787,0.036757066599792214,0.29737937,0.024493186
Rcsd1,2.637935,3.4385457,0.008341259371644632,0.039279642361740495,0.17699115044247787,0.03754522982123025,0.34528536,0.03733139
Dld,-2.5654953,0.4058366,0.01030285976104084,0.0471775463154682,0.12389380530973451,0.2916920431340236,0.23572034,0.18285498
Rsu1,-2.5862455,0.26137885,0.00970277562727378,0.044811547113242776,0.23893805309734514,0.4552359115824168,0.4252765,0.3661594
Snrk,-2.663695,0.38203865,0.007728758910293587,0.03669760592323532,0.17699115044247787,0.3678214452047433,0.3104472,0.24634683
Acsl1,-2.6996963,0.31666124,0.006940278430968107,0.03336051546334759,0.19469026548672566,0.3952280299502024,0.3371922,0.27912995
Thoc7,-2.8551078,0.31288758,0.00430222160157861,0.02188992509646227,0.1504424778761062,0.34818901587074125,0.28706464,0.23718926
Atp6v0d1,-2.8578808,0.26733828,0.0042648060662746606,0.021717197340722513,0.19469026548672566,0.4130333536345072,0.36165267,0.30895555
