names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6b CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Syn2,-4.2592163,-0.67993474,2.0514471922605527e-05,0.0012359279384762567,0.92,0.803019977762634,1.153428,1.4984891
Tle1,-4.284996,-2.3375194,1.827424963309368e-05,0.0011084178050592038,0.2,0.49861913130805924,0.109465465,0.46039125
Synpr,-4.297416,-2.510559,1.7280061278067565e-05,0.0010552619239583532,0.3,0.5469316021663498,0.22120947,0.87997663
Igsf11,-4.312031,-3.1732736,1.6176200281388698e-05,0.0009992057507147458,0.1,0.42986263046519135,0.05071819,0.38480374
Lrrc4c,-4.320299,-0.6558698,1.5581789507466933e-05,0.0009714215407555371,1.0,0.9151752089236398,2.2103007,2.6240258
Itm2b,-4.3712525,-1.537833,1.2353589310401711e-05,0.0007903355827868904,0.58,0.724328395681647,0.40295276,0.8923532
Frmd5,-4.3918796,-1.4723376,1.12374981986762e-05,0.0007258451360539171,0.62,0.7403608191958682,0.72050095,1.3682826
Ust,-4.4119973,-1.9304024,1.0242129406904696e-05,0.000666358395069078,0.34,0.5919084681324199,0.24925144,0.7318561
Ubash3b,-4.433081,-3.3599603,9.289592811269683e-06,0.0006102967208773016,0.1,0.4419497148595818,0.058432817,0.48107445
Cadm1,-4.460449,-0.60528797,8.178802151158778e-06,0.000542579010672481,0.96,0.8590796599835013,1.6785083,2.0319674
Erbb4,-4.4933734,-2.3961692,7.0103628081977225e-06,0.00047092112164068197,0.6,0.7202754564040027,0.54408944,1.5698901
Nell1,-4.5112357,-2.6309612,6.445101591691971e-06,0.00043622135961905105,0.18,0.5050034073383307,0.17475162,0.7806177
Rtn4rl1,-4.51896,-3.2830877,6.214412681347083e-06,0.00042488872454909954,0.06,0.42272515333022487,0.04191489,0.34832054
Cdh9,-4.5450644,-2.579428,5.491849127752185e-06,0.00037934700787326794,0.24,0.5365661202969765,0.1862928,0.7992843
Rasgrf2,-4.559819,-2.8982503,5.119766973430421e-06,0.0003591857404075076,0.18,0.4933467235751946,0.09830552,0.5710482
A330008L17Rik,-4.575724,-4.3856463,4.745757345339943e-06,0.0003382453577434596,0.08,0.4239446217854453,0.024188066,0.4132817
Ppp3ca,-4.577664,-0.50659466,4.701973864648387e-06,0.00033691210064827246,0.98,0.9403536458520139,2.2632127,2.583066
Slc9a9,-4.580815,-1.5864179,4.631674108808442e-06,0.00033276225482268136,0.44,0.6874932749901367,0.41822806,0.9397664
Ntng1,-4.5924892,-2.6264877,4.379904562893797e-06,0.00031636568711009764,0.32,0.5708547039202324,0.22337423,0.93436086
Rapgef5,-4.622271,-1.3019047,3.795615291241742e-06,0.00027564373750179895,0.74,0.7167963846346974,0.6097264,1.1219614
Gria1,-4.674418,-0.81670016,2.947881293545501e-06,0.0002176087097735374,0.94,0.849503245938094,1.7682632,2.2577374
Rasgrf1,-4.688936,-1.168464,2.7462905414888326e-06,0.00020384758798288656,0.7,0.7500807001183601,0.7557014,1.263537
Lsamp,-4.721404,-0.55083895,2.342220697233961e-06,0.0001777838139397642,1.0,0.9728847602309817,3.699416,4.0733542
Plxdc2,-4.7968025,-2.0316021,1.6121821721092492e-06,0.0001266647221186419,0.52,0.6888203436031706,0.419319,1.1409844
Ptprz1,-4.799796,-2.704014,1.5882743141499408e-06,0.00012515228979826658,0.24,0.5678060327821814,0.18272942,0.83569574
Tanc1,-4.8348618,-2.2908866,1.3323806515960829e-06,0.00010655079794162723,0.2,0.5461784010616549,0.17874716,0.6718005
Srgap3,-4.835231,-0.9931787,1.3299136879351233e-06,0.00010655079794162723,0.8,0.7506904343459704,0.7395464,1.1567708
Sntg1,-4.8408923,-0.7214791,1.2925755203619942e-06,0.00010398653961714607,0.98,0.814246260894516,1.5015494,1.909882
St6galnac5,-4.8420506,-1.5165397,1.2850595125049609e-06,0.00010397218037755885,0.62,0.7212079911050536,0.69176626,1.3488889
Gpc6,-4.9183006,-3.0040476,8.729869713543454e-07,7.284832273382379e-05,0.22,0.5526702772497399,0.1782615,0.9421481
Sorl1,-4.9550433,-1.9505991,7.231415709997834e-07,6.091164267324194e-05,0.36,0.6316487930848965,0.24891497,0.73834884
Lrrtm4,-4.984088,-1.1479597,6.225471386562055e-07,5.344358343671643e-05,0.94,0.9204476166565044,2.30178,3.0410175
Nlgn1,-5.0094376,-0.42950338,5.458935395294181e-07,4.7316643248888595e-05,0.98,0.9544851332448621,3.1163852,3.4026089
Cntn3,-5.076989,-2.0024838,3.83462930763527e-07,3.4231391859189274e-05,0.46,0.6641081740253219,0.4050858,1.0990074
Zfp608,-5.12322,-1.9186453,3.0036136475874246e-07,2.708291903042755e-05,0.4,0.6604139019403895,0.29637772,0.8347572
Pam,-5.126889,-1.599971,2.945689002595408e-07,2.6650055050417042e-05,0.58,0.7308202718697321,0.58223885,1.2222798
Il1rap,-5.1821346,-2.222162,2.1936076873120522e-07,2.053736535124559e-05,0.36,0.6415121408844733,0.2794986,0.9181298
Dock10,-5.201884,-2.7600799,1.9727835494514397e-07,1.860217787895979e-05,0.22,0.5931638033069115,0.24072714,1.0451406
Limch1,-5.216323,-1.5922296,1.8250983697483177e-07,1.745209722246879e-05,0.56,0.7321114737634948,0.50415087,1.0908049
Npas3,-5.291915,-3.0811858,1.2104232915503205e-07,1.169930713811407e-05,0.22,0.5854883253828772,0.19450894,1.0357252
Kcnd2,-5.316641,-0.71893376,1.05700364018172e-07,1.0303871910089102e-05,0.98,0.9127004052939278,2.401817,2.863954
Ptprk,-5.406496,-2.231698,6.426962252210872e-08,6.419794636316213e-06,0.42,0.6796384634697464,0.37696758,1.1475598
Iqgap2,-5.4129915,-3.2695096,6.198044954435913e-08,6.284583695309169e-06,0.18,0.5526702772497399,0.115841344,0.7813231
Slc24a3,-5.419768,-1.8065455,5.967653513964408e-08,6.073895830311502e-06,0.48,0.7307485384311897,0.5082717,1.1991105
Enox1,-5.4390254,-1.1851512,5.357278937959473e-08,5.4733872647517506e-06,0.82,0.7867006204942434,0.9970569,1.5869793
Lpp,-5.455255,-3.4444933,4.890259425162785e-08,5.034531446518162e-06,0.14,0.53154477959901,0.06767713,0.5666109
Thsd7a,-5.4864764,-3.1778193,4.1002967226009314e-08,4.2374989590879625e-06,0.22,0.579713783580216,0.1385306,0.8521156
Cntnap5a,-5.486582,-2.3925412,4.0978537154914094e-08,4.2374989590879625e-06,0.56,0.7057853018184427,0.4779688,1.4392807
Tafa2,-5.4937882,-2.2391193,3.934021188392299e-08,4.097176330701592e-06,0.58,0.7292062695025286,0.5874533,1.5631895
Dab1,-5.520779,-0.9357418,3.3749994048387286e-08,3.54243101593815e-06,0.96,0.8776227538467056,2.018798,2.6019266
Syne1,-5.529346,-0.90601856,3.214270353089732e-08,3.3869586034322e-06,0.94,0.8183350668914314,1.1295261,1.594169
Dpp6,-5.55567,-0.8995272,2.765495694581802e-08,2.9487646552941676e-06,0.94,0.8214554714680248,1.3411084,1.835246
Dgkb,-5.623274,-1.6700422,1.8737203527098567e-08,2.030115559569107e-06,0.7,0.7797066102363617,0.83127356,1.6341153
Nkain3,-5.683119,-2.4378898,1.3226035287929347e-08,1.4807648674444234e-06,0.34,0.6710304508446613,0.35941848,1.2070101
Arl15,-5.7392335,-1.6180842,9.510614413919704e-09,1.0967820141717702e-06,0.7,0.7625264517054625,0.6642028,1.3595672
Itga8,-5.7936273,-3.793594,6.88821927635949e-09,8.08237781466286e-07,0.12,0.5447078655715362,0.07175269,0.7088088
Trpc4,-5.8609858,-4.12079,4.601271590160792e-09,5.594396725231697e-07,0.12,0.5434883971163158,0.05700215,0.7033408
Plxna4,-5.969344,-1.8877046,2.3820939998209026e-09,3.077253162268637e-07,0.58,0.7469602955417668,0.5903335,1.38062
Tafa5,-5.973891,-3.1199133,2.31660985778292e-09,3.007116274329809e-07,0.2,0.5951364728668269,0.09482481,0.6230979
Camk1d,-5.9958344,-0.90319294,2.024431567664196e-09,2.6664939325067134e-07,0.98,0.9539471324557943,1.780977,2.325383
Lingo2,-6.0722866,-1.7235639,1.2610175392042467e-09,1.7026905165034226e-07,0.86,0.8831103618951974,1.5891093,2.6302812
Epha4,-6.1068697,-2.482351,1.0160409401156268e-09,1.3858385817719234e-07,0.44,0.7013736953480865,0.32379052,1.143153
Qki,-6.176607,-2.1943812,6.549386463316303e-10,9.165729909859847e-08,0.6,0.8301352175316524,0.6220803,1.5991824
Dlgap1,-6.253322,-0.6165759,4.0181198510775944e-10,5.8046709891642454e-08,0.98,0.9189770811663857,2.5386515,2.9381876
Slit3,-6.3158617,-2.594544,2.6866002090609816e-10,3.923312370514596e-08,0.56,0.7270542663462574,0.5290892,1.6510007
Prkca,-6.321541,-2.0683417,2.5896788140031354e-10,3.823333501772761e-08,0.56,0.7610200494960726,0.4805705,1.2775133
Hs6st3,-6.413573,-2.500652,1.4214812935456044e-10,2.1457978852567635e-08,0.64,0.7947347656109895,0.74609685,1.984422
Zeb2,-6.452887,-1.4298881,1.0973900829382002e-10,1.684964087345682e-08,0.86,0.8604784620350776,1.2742891,2.072015
Edil3,-6.507562,-2.4485037,7.638010756766929e-11,1.2747412983498595e-08,0.48,0.7593343136903268,0.4746323,1.4622399
Nr3c2,-6.773257,-2.6171107,1.2591505204102184e-11,2.333336171270522e-09,0.56,0.7754026039238191,0.5101229,1.625895
Mir99ahg,-6.8157225,-1.539683,9.379123440393212e-12,1.8130722794486734e-09,0.94,0.8750403500591801,1.2555833,2.1158965
Cdh8,-6.8165298,-3.198708,9.326578602411255e-12,1.8130722794486734e-09,0.32,0.6912951472328827,0.23898533,1.2466346
Tafa1,-6.9971094,-2.9052348,2.612974478770895e-12,5.442684049966973e-10,0.66,0.7916502277536673,0.5840199,1.9376452
Zbtb20,-7.00127,-2.6550424,2.536528842462096e-12,5.324728906012229e-10,0.76,0.8687278074674509,0.8949765,2.314108
Grik2,-7.186317,-0.870359,6.656244546715102e-13,1.528660606583203e-10,1.0,0.9167533445715721,2.1242502,2.6718676
Gabra2,-7.212614,-2.675908,5.48877321322092e-13,1.2988958196764903e-10,0.48,0.770237796348768,0.40479085,1.4324007
Schip1,-7.2155986,-2.067081,5.369722579482292e-13,1.2882539795597249e-10,0.82,0.8335066891431441,0.9103202,1.9772904
Dock4,-7.2539916,-1.6789474,4.0466590306711073e-13,9.975571390287398e-11,0.9,0.8602991284387217,1.1035706,2.008435
Nebl,-7.324448,-2.8636878,2.398835167405819e-13,6.138733423637558e-11,0.4,0.7482156307162584,0.3414733,1.3768926
Kctd16,-7.3958707,-2.848332,1.4048460206432997e-13,3.774821257468546e-11,0.62,0.8048491804454646,0.622106,1.9760039
Auts2,-7.4385734,-1.2363976,1.0177853463793902e-13,2.9406335760445396e-11,0.98,0.905311861124063,1.9193316,2.6881154
Epha6,-9.220159,-3.3936596,2.966618483081866e-20,2.7487254703589563e-17,0.72,0.8861948997525196,0.7590997,2.5605416
Tcf4,-10.066581,-2.85017,7.763017086968835e-24,1.4899447794775185e-20,0.84,0.9341128366988272,1.1337129,2.7846692
