names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Astro-Epen (for_DEGs),mean_expr_Rest (for_DEGs)
Zbtb20,34.23755,1.9879175,6.682870502188663e-257,1.4964060866150782e-254,0.976036866359447,0.8632415175588388,3.55555,2.258976
Nwd1,34.196453,5.5095468,2.730036111509628e-256,6.0624851501044395e-254,0.6442396313364055,0.07910758036973792,1.1306157,0.045015782
Dock1,34.171165,3.3790514,6.484816903687855e-256,1.4282543459187923e-253,0.7465437788018433,0.26664934293563,1.4705391,0.27925736
Cst3,33.6379,2.8754156,4.685718945215566e-248,9.913800634483642e-246,0.8506912442396314,0.5755067191328235,2.2185109,0.749803
Ntsr2,33.52598,5.0760183,2.0161934129851606e-246,4.232431016164943e-244,0.6451612903225806,0.10457346499368922,1.1737798,0.06413379
Ptprt,33.41767,2.2986681,7.59271050615789e-245,1.5693548561574039e-242,0.8820276497695853,0.6090281386888411,2.3744633,1.0921652
Ndrg2,33.13149,4.306169,1.0465159207823205e-240,2.0984987157776832e-238,0.6617511520737327,0.14473977281164155,1.1806556,0.10801506
Zeb1,32.92469,2.0207913,9.745066282122785e-238,1.8974632681205743e-235,0.8414746543778802,0.6876902516890637,1.9906268,0.93899965
Htra1,32.84859,4.8111634,1.1929960166162317e-236,2.2734612032963224e-234,0.6377880184331797,0.10620684534857822,1.1441373,0.073452674
Cpeb4,32.096775,1.8504612,4.89007093665517e-226,8.587987324700942e-224,0.8193548387096774,0.7244041873932734,1.8795725,0.9318608
Cspg5,31.945475,3.0638928,6.243891220848706e-224,1.068620108943979e-221,0.728110599078341,0.3967258148340634,1.4437329,0.32716835
Fmn2,31.705345,1.4650815,1.3112769557543652e-220,2.135394654613321e-218,0.8552995391705069,0.7493874823669167,1.9537964,1.1610726
Paqr8,31.602306,3.7440672,3.4323816552515965e-219,5.425182063330024e-217,0.6728110599078341,0.27036157101492314,1.2953099,0.18059747
Aqp4,31.45898,5.423414,3.163721707229549e-217,4.942395481003371e-215,0.5963133640552996,0.06730269507758557,1.0971882,0.045455236
Pard3b,31.305153,3.1009614,3.970568910721716e-215,5.927177035060695e-213,0.7078341013824885,0.3119385255030069,1.3959271,0.30318648
Phlpp1,30.938084,1.7337346,3.675049741014118e-210,5.280673077061463e-208,0.8571428571428571,0.7422971267354667,2.026572,1.0922046
Prdm16,30.91504,5.7996984,7.500625041497687e-210,1.072030823750228e-207,0.5769585253456221,0.047776375380503375,1.0045838,0.030598158
Adk,30.914188,2.069231,7.700481522085764e-210,1.094772161367431e-207,0.7824884792626728,0.6351251020862722,1.6808032,0.7135768
Ddhd1,30.749352,2.288448,1.2474632591536049e-207,1.7367532525107443e-205,0.7539170506912443,0.5909495879426832,1.5327994,0.5557663
S1pr1,30.72057,5.419286,3.024216555260603e-207,4.188695816487237e-205,0.5778801843317972,0.04996658994728636,0.9796585,0.038138136
Appl2,30.063364,3.7048147,1.4604088124304295e-198,1.9049118830099824e-196,0.6368663594470046,0.22592620090578366,1.1200743,0.14701506
Phka1,29.986988,3.77309,1.4504559587237653e-197,1.8737380582167103e-195,0.6377880184331797,0.23628331724701165,1.2400053,0.16519073
