names,scores,logfoldchanges,pvals,pvals_adj,rank_metric
Agbl4,18.82611,0.7429664,1.8785373583202212e-76,5.0807562844909595e-74,73.29407163698092
Dnah6,18.755903,3.1999424,1.0505811853915691e-75,2.7092778522807233e-73,72.56714645324502
Unc80,18.603024,0.35637498,6.468231946341234e-75,1.6488787138615617e-72,71.78281128846577
Srrm3,18.534664,0.60877496,1.6007559144018826e-74,3.9889398505174107e-72,71.39914251239543
Vps13a,18.260775,0.4943955,2.2806737122021404e-72,5.5583276471669304e-70,69.25505585641389
A230057D06Rik,18.218739,0.5063939,5.968064971922889e-72,1.408082393056445e-69,68.85137193198166
Grin1,18.021055,0.41485396,1.538639907804784e-70,3.5179335953911854e-68,67.45371236255546
Cacna1a,18.005737,0.45200008,2.204771690151762e-70,4.989533320835283e-68,67.30194007274616
Etl4,17.67103,0.9020244,5.37881329468658e-68,1.1012762724769085e-65,64.95810371775751
Rbfox3,17.530888,0.42354473,5.378859691986843e-67,1.0651102700793233e-64,63.97260542771079
Otud7a,17.43372,0.36476234,3.0280671061597666e-66,5.7893510586561466e-64,63.237370114586845
Elavl3,17.363508,0.46802133,9.032359237795958e-66,1.7121338732977672e-63,62.76646228045244
4933406I18Rik,17.140493,0.6316525,2.8144679512564673e-64,5.074737416501296e-62,61.294586424649204
A230006K03Rik,17.135628,0.6112632,5.8072502929388055e-64,1.0221682301333082e-61,60.990477621416595
Bcl11a,17.132975,0.50500566,3.541440474241778e-64,6.334037648204366e-62,61.19831935960023
Ide,17.056828,0.70923096,9.951257296459353e-64,1.7377872781171302e-61,60.76000338645699
Asap1,16.829006,0.6599893,4.431219033938529e-62,7.019683981049192e-60,59.153682438920875
Anks1b,16.803532,0.235546,8.759410769153602e-62,1.3397669795744041e-59,58.87297073020617
Cox16,16.801811,0.49089062,7.912189731441828e-62,1.2185871101660893e-59,58.91414342001866
Ttc14,16.70299,0.3606642,4.1502157818252964e-61,6.177415141565196e-59,58.2091932117378
Ksr2,16.66899,0.4692215,6.748280298686158e-61,9.846273714754052e-59,58.00672809552294
Scn8a,16.614,0.34084943,1.7744776258469375e-60,2.522715691412396e-58,57.598131691459514
Cit,16.597277,0.8696586,1.5547773212316918e-60,2.2246355761468684e-58,57.65274112186547
Rasgef1b,16.413725,0.71504295,3.688002350772939e-59,4.987348544844039e-57,56.30213027970363
Uggt2,16.407162,0.5405014,3.902863010502085e-59,5.214319026922605e-57,56.28280240097868
Fus,16.325836,0.44198626,1.388861492682442e-58,1.811892363806541e-56,55.74186760533102
Sv2b,16.172457,0.5946325,1.961562386716732e-57,2.5292750356164932e-55,54.597003942519585
Myt1l,16.082994,0.3027288,7.11264129210557e-57,9.118159455278459e-55,54.04009281727312
Cplane1,16.026165,0.4369759,1.5354006813651245e-56,1.9570181788112487e-54,53.708405140146425
Ubr5,15.994918,0.4209373,2.477526165220077e-56,3.139804302414335e-54,53.50309741977078
Dync2h1,15.824349,0.5110014,3.125700144278674e-55,3.8944818988658674e-53,52.40955031037394
Igsf21,15.77417,0.9673556,5.6451943477775014e-55,6.955506680278302e-53,52.1576712279388
Celf5,15.696898,0.5249784,2.1585085044424644e-54,2.5737312694368267e-52,51.58943680097997
Sgsm1,15.6785145,0.73114,2.5156197297097166e-54,2.96762842369692e-52,51.52759047793492
Btaf1,15.677518,0.48491296,3.1323973793319584e-54,3.65633205678022e-52,51.43695436986415
Srrm4,15.650496,0.588809,4.18125104511316e-54,4.855067313011501e-52,51.31380474444459
Gm40418,15.614761,3.4744606,1.5442148821405798e-53,1.7384567338128822e-51,50.75983611343637
Csmd1,15.604595,0.18735996,9.711245103265004e-54,1.0988571117357717e-51,50.95905877674772
Tenm3,15.593064,0.8452927,9.398156098688173e-54,1.0688836202908015e-51,50.971069578062476
Srcap,15.502482,0.54946053,3.850532190090791e-53,4.29131170411224e-51,50.36740993886761
Vwc2l,15.425014,1.1899805,1.0665354048502403e-52,1.1538352296960308e-50,49.937856204995654
Chd8,15.396539,0.5328163,1.9262238722877973e-52,2.0737763611455714e-50,49.68323808032754
Mical3,15.374344,0.47539747,2.903019880667278e-52,3.0658654720685186e-50,49.51344690558735
Trio,15.297344,0.36699697,9.789440682578258e-52,1.0005079053374223e-49,48.99977947551267
3110039M20Rik,15.216043,0.57189524,2.709992270209557e-51,2.756982044436127e-49,48.559566062340984
Npas2,15.189063,0.68023294,3.916840418635513e-51,3.9306645612895205e-49,48.40553401682526
Vwa5b2,15.080758,1.0473077,1.7169628481075855e-50,1.707569598445293e-48,47.767621585974545
Gm19951,15.039757,1.4420953,3.1982654919065916e-50,3.166568396406446e-48,47.49941112697628
9330159F19Rik,14.870297,0.44326034,4.629257469431426e-49,4.425330696424576e-47,46.354054269764795
Tmem44,14.847235,1.0247318,5.077874869811039e-49,4.833352311702541e-47,46.31575154720507
Gria4,14.815269,0.6412727,1.0262900560225048e-48,9.563470950616433e-47,46.01938445697942
Pcdh15,14.804615,0.835994,1.1541241032080023e-48,1.0709692201233084e-46,45.970223010701936
Slf1,14.736304,0.572147,2.877762812924267e-48,2.648258243362423e-46,45.57703966719351
Kcnma1,14.715397,0.2519273,4.646842731725872e-48,4.2410567121076706e-46,45.37252592004424
Prkcb,14.704812,0.46313402,5.098170036508115e-48,4.633902256953975e-46,45.3340531310366
2210408F21Rik,14.69231,0.5238442,5.741890862741403e-48,5.1977002266889326e-46,45.28418877170862
Flnb,14.631765,0.51445585,1.2813336000646024e-47,1.1458635718642238e-45,44.94086708700527
Tanc2,14.58966,0.25121877,2.8574013496894024e-47,2.51473996561157e-45,44.59950691611048
Plxdc1,14.496236,1.637577,8.369839789700548e-47,7.279463013959952e-45,44.13790065621931
Nrbp2,14.448606,0.7410143,1.4960627263182838e-46,1.2960812165737068e-44,43.88736778333838
Ylpm1,14.421629,0.34574482,2.713442147231553e-46,2.341584433513672e-44,43.63049017768632
Dpp10,14.414813,1.0171663,3.0709491136994387e-46,2.629633569251975e-44,43.58010476479507
Sfpq,14.386469,0.34692806,4.2954638619636596e-46,3.6640306742550015e-44,43.436040899195255
Nktr,14.310732,0.35859185,1.2602857487255473e-45,1.0507750877907964e-43,42.97849023219663
Man2a1,14.281515,0.67956096,1.597861675832504e-45,1.322290158455719e-43,42.878673234419864
Shank2,14.249826,0.40261504,2.8124271550233786e-45,2.310148497929944e-43,42.63636010246339
Eml6,14.230068,0.33940235,3.8355344713536435e-45,3.1159151467282457e-43,42.506414377639224
Mir99ahg,14.2248535,0.4072421,3.7467063108395407e-45,3.0549431088896817e-43,42.51499687305656
Frmd4a,14.223081,0.25998798,4.1931890388173826e-45,3.3940345439011647e-43,42.46928374182114
Ablim2,14.213714,0.49096254,4.359705965747786e-45,3.503244887983855e-43,42.45552950305263
Unc13b,14.198938,0.55069226,5.3839173886698893e-45,4.310632485412303e-43,42.365459002514065
Csmd2,14.189011,0.38897777,6.599503535581926e-45,5.264884511227912e-43,42.278611150914685
Necab1,14.142587,0.802612,1.054506368176706e-44,8.352443654793924e-43,42.07818644541083
Thoc2l,14.141847,0.45401564,1.2342420675244784e-44,9.741288460340884e-43,42.01138359607745
Myrip,14.115209,0.5610955,1.6414105677819062e-44,1.2818029426854617e-42,41.892178735723874
Satb1,14.068797,0.7332106,2.9549863233128095e-44,2.2914575761689332e-42,41.63988817883215
Epb41l3,14.064028,0.52679163,3.360692276679297e-44,2.596983739100817e-42,41.58553076967794
Gm1043,14.053085,0.58721316,3.8865618540861857e-44,2.992922527775119e-42,41.52390452478868
Shank1,14.004004,0.47887006,7.873282908842667e-44,6.021160977665955e-42,41.22031976163566
Vps13d,13.949135,0.4529376,1.651437523605862e-43,1.2500198429532697e-41,40.90308309289858
Sorcs3,13.9489155,0.68385154,1.6007966753722857e-43,1.2158379680276217e-41,40.91512429864905
2210408I21Rik,13.932891,0.44379383,2.162896497328313e-43,1.6315890652295008e-41,40.787389213949695
Tshz3,13.910025,0.8267961,2.4984292653311095e-43,1.8719650083281536e-41,40.72770227356374
Cspp1,13.893011,0.3978419,3.6806793455344845e-43,2.7301038971660134e-41,40.563820825081116
Bltp1,13.882732,0.37062582,4.172609781505122e-43,3.074423246984073e-41,40.51223634465133
Khdrbs3,13.87599,0.5405628,5.108396504824308e-43,3.7267768974997864e-41,40.42866660539075
Grip1,13.847305,0.46778443,7.42482341160755e-43,5.381298484399747e-41,40.2691129182801
Hspa12a,13.728154,0.52858466,3.13397158046028e-42,2.213542092721277e-40,39.65491221506179
Rxfp1,13.684204,1.2427204,5.3101880593943486e-42,3.715121475749144e-40,39.430026981261406
Huwe1,13.671679,0.34629056,7.092916618536167e-42,4.931244663507684e-40,39.30704344943087
Olfm2,13.632971,0.91483283,1.0250125527413289e-41,7.103977623342873e-40,39.14849841520159
Lin28b,13.609518,0.826366,1.439960558170325e-41,9.917840142578095e-40,39.003582896020276
Samd5,13.605167,0.6610611,1.5959551072716724e-41,1.0958232931600976e-39,38.96025947230487
Plch1,13.571058,1.5007821,2.5567497773487697e-41,1.7447260480628003e-39,38.75827275503991
Tenm2,13.55789,0.36467752,3.4175812617052215e-41,2.303802955078979e-39,38.63755466899077
Eml1,13.554297,0.60727364,3.0624861119771203e-41,2.0834299690622262e-39,38.68122109302815
Elavl4,13.553695,0.598047,3.1404830785192454e-41,2.129958217596325e-39,38.67162891583137
Pclo,13.464501,0.2734564,1.1581781264939343e-40,7.736769424512794e-39,38.11144034603421
Ctnnd2,13.444505,0.25029498,1.7403274734289888e-40,1.1590685497209643e-38,37.93589087819932
Fnbp1l,13.391378,0.6005505,2.728613025087213e-40,1.806423273742812e-38,37.74318047998456
Cacna1b,13.384706,0.37653905,3.2314047739471966e-40,2.1202986709053528e-38,37.673602958887315
Camk4,13.366733,0.48484644,4.029280556714073e-40,2.636029032059136e-38,37.57904981092414
Smg1,13.346049,0.33368552,5.215336501120529e-40,3.3820389743231314e-38,37.470821391937584
Caln1,13.313996,0.37955096,8.311918593807596e-40,5.358771237600723e-38,37.27093478230482
Gpatch8,13.280461,0.2895504,1.3106973878931222e-39,8.35305938755565e-38,37.078154430889604
Akap8l,13.263021,0.40994903,1.489765382793934e-39,9.467053484127183e-38,37.023785169328626
Stau2,13.226206,0.3364429,2.5478001337524423e-39,1.6098322326598766e-37,36.793219381251674
Kndc1,13.1639805,0.728087,4.8573197016750965e-39,3.051717743449017e-37,36.515455637208404
Rb1cc1,13.132715,0.34894857,8.039833509931723e-39,4.994605814657304e-37,36.30149878156702
Grik5,13.116701,0.46924523,9.384152487262786e-39,5.8134562531428515e-37,36.23556559129675
Abcc5,13.114609,0.38547462,1.0219522702842455e-38,6.313330766118105e-37,36.199741456651296
Pde10a,13.0833025,0.40745318,1.527616678534555e-38,9.333190825492938e-37,36.029969854539004
Teddm2,13.072353,1.1255692,1.542444812329348e-38,9.397895892263812e-37,36.026969370301124
Vrk2,13.069,0.9949562,1.6214792779363907e-38,9.852374637280349e-37,36.00645908243889
Scn1a,12.92084,0.37750757,1.2082814127874564e-37,7.242504100756813e-36,35.14011125022354
Kif1b,12.913298,0.25274873,1.4017414187154892e-37,8.356941178567774e-36,35.07795265466103
Gm49906,12.904042,1.4215506,1.3506746878996535e-37,8.074194940226015e-36,35.09290076936187
Slc8a1,12.903711,0.44304177,1.9505497162708072e-37,1.1566655510014429e-35,34.936792198828634
Gm47283,12.8464365,0.6402958,2.8321659461510763e-37,1.6660948634943916e-35,34.77830027452632
Zmynd8,12.813374,0.40299106,4.434790004099814e-37,2.581490097399624e-35,34.588129536567926
Adamts2,12.748538,1.0508177,9.262240887356499e-37,5.307958098185851e-35,34.275072514179584
Adcy8,12.7427225,0.5760574,1.0320404446420662e-36,5.868869995197883e-35,34.23144551069319
Gpr158,12.725741,0.3351471,1.4465438422811275e-36,8.204974254248297e-35,34.08592277734769
Wnk2,12.719039,0.4325918,1.4644434016092566e-36,8.285312694104615e-35,34.08169109632593
Atp8a2,12.690575,0.4389592,2.0969719902908404e-36,1.1803716954484837e-34,33.92798121314863
Tmem178b,12.63577,0.407519,4.8348286593168505e-36,2.6806707501582276e-34,33.571756524387304
Sobp,12.621743,0.32214603,4.888361375325522e-36,2.7035929820940008e-34,33.56805868955574
Pou2f2,12.621019,0.7000749,4.6152567298487835e-36,2.5653424499896323e-34,33.5908546523012
9130024F11Rik,12.620961,0.8677817,4.5303727682922576e-36,2.5244876194770277e-34,33.597826754818364
Sorbs1,12.604179,0.34235483,6.181665946605892e-36,3.410372819995658e-34,33.46719814158921
Ankrd12,12.587624,0.34386146,7.88768976927488e-36,4.330029299578671e-34,33.36350916493941
Grm4,12.585993,1.4509507,7.223699806779559e-36,3.975365119472879e-34,33.40062297717351
Ankrd42,12.549452,0.6492255,1.1208605682550526e-35,6.092756294794254e-34,33.21518619294771
Spock1,12.475861,0.5799446,3.003975575687241e-35,1.5862421504188482e-33,32.79963051401511
Gm48099,12.470445,1.1922803,2.881433602260688e-35,1.5251654995450488e-33,32.81668302737337
Pacs1,12.46414,0.43137985,3.4084602495497737e-35,1.7955541903685246e-33,32.7458014832013
Lztr1,12.456631,0.6757454,3.469107076498171e-35,1.82317196072456e-33,32.739172366961206
Lrpprc,12.443657,0.4510792,4.283481579022971e-35,2.2405437372540436e-33,32.64964657388319
Dnaaf9,12.414324,0.28897026,6.543549717768308e-35,3.390720692538915e-33,32.469707983352265
Nav2,12.383605,0.27579206,9.286167832460683e-35,4.800667370356947e-33,32.31869838447513
Kalrn,12.361695,0.18001868,1.2733875584785422e-34,6.537312331466924e-33,32.184600765364166
Dst,12.312643,0.2744532,2.1960902645367473e-34,1.1170846304333942e-32,31.95191392344847
Sez6,12.239999,0.57955533,4.9512798252331564e-34,2.490010974240838e-32,31.603798738831276
2700054A10Rik,12.202447,0.80816406,7.454741128658003e-34,3.7320823645909076e-32,31.428048780227623
Bmper,12.19326,1.1375818,8.31182321310499e-34,4.151793135591047e-32,31.381764293480753
Tbc1d30,12.185049,0.6847665,9.231476200065151e-34,4.600801778989774e-32,31.337166477481865
Celf4,12.177082,0.30994782,1.1064615294289882e-33,5.465279242689554e-32,31.262387643328008
Birc6,12.172671,0.27339223,1.1934456072327253e-33,5.881830372712752e-32,31.230487504354127
Gm29650,12.162363,24.383366,2.2154283852831697e-33,1.0704525213248396e-31,30.97043259056843
Ulk4,12.091117,0.48977768,2.9242810948570534e-33,1.406826597000862e-31,30.85175942964887
Grm7,12.0740595,0.2066961,3.9265611477235434e-33,1.8849193319093668e-31,30.724707231376637
Gm14507,12.058148,1.7291995,4.385778150188498e-33,2.100816151509298e-31,30.677611952295916
Prickle2,12.047593,0.30609587,5.395944053835043e-33,2.573575209160292e-31,30.589463135575446
Frmd3,12.024029,0.68348855,6.321436158438602e-33,3.008515260125565e-31,30.521647781289985
Bin1,12.00164,0.43754992,8.599191608658836e-33,4.075061356769993e-31,30.38986584785504
Fhod3,12.001116,0.71919686,8.339001450162701e-33,3.960222144790329e-31,30.402280452066734
Prkcg,11.99728,0.45772126,9.105293157259926e-33,4.305697049929864e-31,30.365956530520958
Sox5,11.993527,0.58888525,9.459665178475074e-33,4.46375434740894e-31,30.350299713824132
L1cam,11.985974,0.6486564,9.954179349738281e-33,4.687129291263176e-31,30.329093066597625
Cacna1i,11.961129,0.7553505,1.3126834854331935e-32,6.103290218016219e-31,30.21443597838254
Srrm2,11.956194,0.2961616,1.4945505848364934e-32,6.905446431354948e-31,30.160808239401543
Cdh20,11.955571,0.8011655,1.4066236843347583e-32,6.526380768028508e-31,30.185327591806246
Dzip1,11.951414,0.6042472,1.4831394730840549e-32,6.8670286501165285e-31,30.163231140670224
Nin,11.9402275,0.39468446,1.7855086893863818e-32,8.215562596101903e-31,30.085362691021793
Srsf5,11.937597,0.40655264,1.8490771154483105e-32,8.49044146302539e-31,30.0710697278984
Dlgap4,11.934875,0.39966512,1.928169429933944e-32,8.835318515924589e-31,30.0537777894266
Sel1l3,11.904618,0.5514504,2.6296943047902505e-32,1.1853935018625646e-30,29.92613745782331
Cers4,11.886856,0.50831085,3.233527232593766e-32,1.454628133153439e-30,29.837248017235403
Ccdc57,11.882176,0.5754265,3.4099934208290626e-32,1.5309075726143106e-30,29.815051028710812
Mtus2,11.87798,0.394317,3.766848969241799e-32,1.6877005341382753e-30,29.77270461215894
Xylt1,11.85006,0.4626091,5.236147138461468e-32,2.313292255713116e-30,29.635769496055374
D430041D05Rik,11.760651,0.36762065,1.4548878640735646e-31,6.339195098118569e-30,29.197965881966397
Miat,11.749906,0.34197888,1.6662862039191106e-31,7.231877775052453e-30,29.140748922420528
Pi4ka,11.730225,0.31327185,2.1432790762195074e-31,9.247790535485649e-30,29.033962015678842
Usp7,11.729787,0.4460567,2.048981573168836e-31,8.87545182221454e-30,29.051809529101046
Cpne7,11.717189,0.59600985,2.3145361079368484e-31,9.967336272198724e-30,29.00142088951705
Efcab6,11.707165,0.78855884,2.532976047384267e-31,1.0865830324736609e-29,28.96393708097043
Sez6l,11.671971,0.355684,4.108178328484213e-31,1.7454248844659555e-29,28.75809883660282
Qrfpr,11.671034,1.4722167,3.9378801689924743e-31,1.676282272320827e-29,28.775652847884007
Rgsl1,11.664041,1.2967931,4.23174378623101e-31,1.7944859214346333e-29,28.74605994455684
Igsf9b,11.625399,0.60848457,6.568342674968779e-31,2.7644532958341505e-29,28.558390742868617
Lars2,11.619501,0.41473633,7.2487280753797525e-31,3.044740364692655e-29,28.51644973521133
Zfc3h1,11.603243,0.4181458,8.806541002373478e-31,3.671268164485695e-29,28.435183891687014
Kmt2a,11.575597,0.30219555,1.2600595682083296e-30,5.223476841817633e-29,28.282040326390188
Wdfy3,11.545552,0.3090853,1.7615474975072264e-30,7.234740814762086e-29,28.14057702290498
Ube4b,11.5450325,0.39596504,1.7110591656461848e-30,7.040421182875898e-29,28.15240135905002
Stx1a,11.517705,0.620929,2.2411629770479726e-30,9.170574262909582e-29,28.037603467884622
Dlc1,11.514416,0.6298747,2.3363147874791564e-30,9.524777455278076e-29,28.021145162746706
Efr3a,11.501874,0.42054486,2.763664602735796e-30,1.1246340102655868e-28,27.948988787048087
Crtac1,11.493395,0.51956576,2.997357922630223e-30,1.2174982419064668e-28,27.91453165724341
Elapor1,11.440167,0.45205176,5.5288627128829715e-30,2.2014204173486273e-28,27.65729700992331
Cacna2d3,11.434472,0.41436818,6.004104125289264e-30,2.3863623887216005e-28,27.622263604474767
Vti1a,11.421951,0.31325573,6.990642493669678e-30,2.768544093296538e-28,27.557748555293504
Tia1,11.389327,0.2717038,1.0199635966432589e-29,4.0178956743080277e-28,27.39600134400901
Pfkp,11.37015,0.43954927,1.2240297983781556e-29,4.804696082908094e-28,27.318334078066265
Aifm3,11.355183,0.6125163,1.4087520494893003e-29,5.520018189677333e-28,27.258059491172347
Hecw1,11.344744,0.3224794,1.6395227235949974e-29,6.390392788029851e-28,27.19447244693843
Shkbp1,11.343769,0.8792335,1.5680292847059602e-29,6.122491809191687e-28,27.21307178721186
Cfap69,11.332784,0.5907018,1.814886199375363e-29,7.0122902665064115e-28,27.154140115035045
Mei4,11.307459,0.7753152,2.3584867420053958e-29,9.080992875728415e-28,27.04186666503878
Pcnx2,11.305986,0.43472034,2.5312910106075455e-29,9.729457891378534e-28,27.011911357197402
Svop,11.304053,0.3913592,2.5866926642686323e-29,9.925202406254278e-28,27.003260627837086
Elapor2,11.301395,0.53487664,2.5932723841873833e-29,9.933263374180964e-28,27.002908049332753
4732471J01Rik,11.294124,0.41127476,2.8675551542096627e-29,1.0964937622424466e-27,26.95999383460332
Gm43016,11.282741,1.704846,3.2594274229096267e-29,1.2399242090101149e-27,26.906604860494745
Slc6a7,11.267519,0.5617149,3.74634785478544e-29,1.4227140877299913e-27,26.84688236807953
Grik4,11.2633295,0.54390794,3.9018850444252605e-29,1.4792479746198876e-27,26.829959016684725
Cacnb4,11.262734,0.34301424,4.01129922780558e-29,1.5181330080933814e-27,26.818690176958018
Upp2,11.245156,0.316072,5.067104535806414e-29,1.914450500768563e-27,26.71795585810761
Eif4g3,11.240822,0.2652007,5.395706284439702e-29,2.0316803731121175e-27,26.692144614848832
Epha10,11.23647,0.60152406,5.223229184488267e-29,1.970081239006476e-27,26.70551586473954
Gm41414,11.223911,0.88646084,5.941938537076699e-29,2.233564625004865e-27,26.65100147731931
Ankrd33b,11.192188,0.50827825,8.761527386640115e-29,3.271265225267752e-27,26.485284243034712
Klf5,11.190642,1.0961713,8.582706615707112e-29,3.2099033275405117e-27,26.493508047018157
Chd2,11.168607,0.36000487,1.1674301822471713e-28,4.336895574853897e-27,26.362821034805517
Sptan1,11.161725,0.27415168,1.2739785552596368e-28,4.716910917954628e-27,26.326342325621177
Kifc2,11.153091,0.5636608,1.3291485888712152e-28,4.912976233997635e-27,26.30865533671367
Slc20a1,11.138069,0.5732044,1.569022741870327e-28,5.780363184252511e-27,26.238044873696847
Iqgap1,11.12451,0.5268173,1.82057074654393e-28,6.684870532591272e-27,26.1749069994006
Mapt,11.120604,0.26397276,2.003541602383296e-28,7.344553001265576e-27,26.134034630777894
A330023F24Rik,11.103955,0.2767933,2.4232168281098373e-28,8.853723692556832e-27,26.052874035629173
Socs2,11.080512,0.6094197,2.9410602471382004e-28,1.0728097723853784e-26,25.969477279084764
Sdk2,11.076057,0.6033463,3.0991291396423317e-28,1.1249179387723017e-26,25.948879157586607
Pkd1,11.029267,0.36221597,5.341327873096925e-28,1.9199346769780163e-26,25.716713547291555
Dmxl2,11.002763,0.2678062,7.237303111602371e-28,2.588853361437377e-26,25.586892548299065
Ppp2r2b,10.992152,0.37118766,9.191922850116166e-28,3.256524999518791e-26,25.487245583508205
C2cd5,10.99213,0.2923678,8.145651738202601e-28,2.8997474197408876e-26,25.537639829338993
Atp2b4,10.953426,0.539497,1.1687171841368141e-27,4.120796456245829e-26,25.38501883660679
Dock9,10.946354,0.3351895,1.321423861309597e-27,4.644459333775633e-26,25.333064835389262
Fryl,10.9411,0.36826035,1.3770247293196484e-27,4.832223804881513e-26,25.315852959532997
Ap1b1,10.93463,0.53638303,1.4509998370779291e-27,5.083771625073351e-26,25.293813967205
Gm5468-1,10.927874,0.8140992,1.520693000402339e-27,5.319547218126668e-26,25.274125331809756
Pacsin1,10.927168,0.2908804,1.6372440668307404e-27,5.718236049475931e-26,25.242737920879236
St8sia5,10.900678,0.5511565,2.0900485051218402e-27,7.265375508870246e-26,25.138741934398887
Myo9a,10.896662,0.23198918,2.3558346452407153e-27,8.163703244085717e-26,25.08811279055548
Acyp2,10.887445,0.41809505,2.4464499524503296e-27,8.464487838602716e-26,25.072399314648703
Unc13a,10.884841,0.3899868,2.5288759643057826e-27,8.736045348344804e-26,25.058685120234028
Mast2,10.87967,0.364715,2.7219342128944263e-27,9.388344785936639e-26,25.027410969363164
Ppip5k1,10.853549,0.46626723,3.508600144817433e-27,1.2026852242930608e-25,24.91984802456437
Baz2a,10.832625,0.46654072,4.3594661790463556e-27,1.4806162468436458e-25,24.829557489402127
Mapk10,10.82951,0.2039967,4.781983737333857e-27,1.614228848197721e-25,24.79203489559655
Atp2b3,10.828538,0.43636915,4.6207730345956264e-27,1.564572585668119e-25,24.80560428370099
Shank3,10.8160715,0.49065474,5.20892178692764e-27,1.7556757962079212e-25,24.755555678018297
Ecpas,10.814835,0.2578579,5.548134924086611e-27,1.8671705060150663e-25,24.728816021397286
4930447C04Rik,10.807293,0.7938275,5.568473404967983e-27,1.8711758056875745e-25,24.7278854065924
Trip11,10.799477,0.4113308,6.253270027321296e-27,2.0917801307078687e-25,24.679483966572718
Kif5a,10.780622,0.42075732,7.664122280108953e-27,2.5521757346585037e-25,24.59308942479225
N4bp2l1,10.778389,0.51403844,7.784515164579932e-27,2.5883804695660234e-25,24.586971885774457
Usp34,10.7287035,0.2055383,1.3766263105242017e-26,4.516393241835169e-25,24.345208251130632
Setx,10.703954,0.39864004,1.7305585967850636e-26,5.652478432915926e-25,24.247761086034078
Gm14412,10.670637,1.3317354,2.3816557144899615e-26,7.756293749773622e-25,24.110345751489934
Dnmt3a,10.667186,0.3434478,2.569753497889051e-26,8.356597225246828e-25,24.07797052963469
Pgap1,10.641266,0.52610403,3.301070773879649e-26,1.0703384155424393e-24,23.970478887019745
Plekha6,10.613962,0.45270354,4.463093973505144e-26,1.4428935589562256e-24,23.840765705263383
Gabbr2,10.600799,0.26566127,5.220189988051441e-26,1.6827525226018147e-24,23.773979749723093
Cul9,10.588705,0.4913908,5.762327483517878e-26,1.852128969992167e-24,23.732328775210366
Ptpn5,10.587738,0.46957135,5.876247544605e-26,1.886011838556435e-24,23.724455585509826
Camta1,10.587378,0.2749684,6.052159991519109e-26,1.9396648019062254e-24,23.71227331504931
Dock7,10.570835,0.32587978,7.111114614444437e-26,2.2757619035952195e-24,23.642873176971065
