names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_rest (for_DEGs),mean_expr_Rest (for_DEGs)
Rack1,-6.430242,1.2792631,1.27401005529661e-10,3.339119214379624e-10,0.15174432788484996,0.24904919129017428,0.35016865,0.1593573
Ppp1r11,-6.433166,1.1448692,1.2497300680999865e-10,3.275802061247355e-10,0.08758233715540376,0.16349730430058093,0.19162586,0.09122809
Snrpg,-6.4449406,1.1936203,1.1564556109331291e-10,3.0339740544594e-10,0.08953403269090023,0.16613031303548292,0.20503406,0.094849385
Nt5c,-6.44583,0.71421087,1.1496961289178087e-10,3.0165350047867905e-10,0.039521834593803366,0.10632340034270907,0.083770186,0.0518909
Rbm42,-6.4532084,0.80290264,1.0950653617950292e-10,2.874319260665472e-10,0.04342522566479629,0.11096251097086973,0.0937982,0.054835554
Qars,-6.457677,0.27080178,1.0632261001652329e-10,2.7918386896745633e-10,0.028543547206635766,0.09395243866761399,0.05547646,0.046197765
Polr2h,-6.4709935,0.51916057,9.736070730429495e-11,2.558265407066698e-10,0.030495242742132226,0.09633468466585865,0.06341606,0.04467076
Rab1b,-6.4762993,0.48963806,9.399945864956498e-11,2.470427869634009e-10,0.03488655769699927,0.10126635182011953,0.07126406,0.051269714
Dnajb9,-6.514654,0.7660371,7.285726465049072e-11,1.9189126653192368e-10,0.05391558916808978,0.12341706022485059,0.112890944,0.067916155
Tma7,-6.5216265,1.3567933,6.954899618828337e-11,1.8323183915866007e-10,0.18419126616247866,0.2984494504116688,0.42366144,0.18729194
Caly,-6.5306163,1.3986194,6.5499662944418e-11,1.726312842880345e-10,0.2371310075628202,0.3865089647678355,0.5611649,0.25114644
Nsg1,-6.557439,1.3238019,5.473980349918122e-11,1.4451351149764193e-10,0.223713100756282,0.36155807247043087,0.5083709,0.23482578
Cdc42se1,-6.563173,0.36134335,5.2674667574278506e-11,1.3910253736814381e-10,0.03269090021956575,0.09963639403184686,0.06458468,0.05063057
Mrpl27,-6.5642886,0.761592,5.228180398406416e-11,1.380786389868099e-10,0.0451329592583557,0.11397166381075773,0.09865521,0.059361227
Tsfm,-6.5658054,0.2798142,5.175228041314578e-11,1.3672045764440342e-10,0.026591851671139304,0.092824006352656,0.052200336,0.04319295
Bad,-6.582673,0.305242,4.620637802370279e-11,1.2212919314350717e-10,0.030007318858258112,0.09679441634973043,0.059995048,0.048828673
Abcf2,-6.5918365,0.8290409,4.3441946249059403e-11,1.1487895834191774e-10,0.047572578677726275,0.11706440422953149,0.1027432,0.05912695
Ranbp1,-6.609103,1.0651232,3.866556290000895e-11,1.0232873782362264e-10,0.07684801171017322,0.1520040122037865,0.16541217,0.08247357
Ldhb,-6.611086,1.2401845,3.8151118402320356e-11,1.0097720168147636e-10,0.19394974383996097,0.31291010155890836,0.42826185,0.2040025
Mrps36,-6.6114526,0.66220057,3.805671801213269e-11,1.007372685435923e-10,0.0451329592583557,0.11422242654741506,0.09436395,0.06065659
Slc39a7,-6.6148605,0.7149059,3.7190274973000366e-11,9.847287037096175e-11,0.05928275189070505,0.13060559200902747,0.11430847,0.07118353
Atp6v1d,-6.6245217,1.2544667,3.483744625287754e-11,9.228849263677605e-11,0.2764088802146865,0.45597024282191667,0.63533753,0.31631446
Efna3,-6.634832,0.664749,3.248729178116317e-11,8.608811934515329e-11,0.03854598682605514,0.10707568855268107,0.075590335,0.04834323
Nifk,-6.6370206,0.39114878,3.2008742621061e-11,8.485348403984897e-11,0.02903147109050988,0.09637647845530155,0.06024304,0.046261746
Fam131b,-6.6438746,0.2836468,3.055425343000552e-11,8.102169048300092e-11,0.030495242742132226,0.0980064362435742,0.057509862,0.047484454
Aip,-6.6476583,0.7171989,2.977922502854836e-11,7.898211198470975e-11,0.04440107343254452,0.11397166381075773,0.09519458,0.058976542
Surf4,-6.6549067,0.55885935,2.8348004906479234e-11,7.520099633103929e-11,0.03781410100024396,0.10644878171103773,0.07977262,0.054839693
Phlda1,-6.6783423,0.28554317,2.4166022260628917e-11,6.417047318342711e-11,0.03195901439375457,0.09997074434738998,0.06545322,0.054011125
Gng10,-6.688164,0.61441785,2.2598714551472954e-11,6.004424601978428e-11,0.04366918760673335,0.11342834454800017,0.09145202,0.06067411
Ndufb2,-6.7058144,1.3729651,2.0028597138769085e-11,5.3252365438227324e-11,0.168821663820444,0.27713461779579557,0.3873531,0.1677602
Mrps12,-6.7099915,1.1601868,1.9463611801329496e-11,5.176553984972024e-11,0.08685045132959258,0.16562878756216826,0.19164693,0.09031736
Bag1,-6.7120085,0.9690809,1.9196347011620104e-11,5.1059774718098613e-11,0.06904122956818737,0.14360346052576586,0.14932117,0.07905825
Hspd1,-6.7194386,1.3334432,1.824262883606329e-11,4.856146590301373e-11,0.1712612832398146,0.2810214402139842,0.38017067,0.1685124
Vegfb,-6.757574,0.6046371,1.4032145934986633e-11,3.742369838938867e-11,0.03976579653574042,0.10970869728758306,0.085146636,0.05680424
Pop5,-6.7603903,1.1735256,1.376203895554975e-11,3.6714256030145133e-11,0.08343498414247377,0.16220169682785138,0.1910747,0.08924133
Mcee,-6.761879,0.2762611,1.362133495051535e-11,3.634249529543714e-11,0.03269090021956575,0.10155890834621975,0.066462144,0.055192906
Smim7,-6.77099,0.87387854,1.2790422012689923e-11,3.4142523294355084e-11,0.05928275189070505,0.13265348769172902,0.12974001,0.07287309
Rpl5,-6.7773113,1.2812427,1.2243287777406827e-11,3.2701505226532946e-11,0.2144425469626738,0.3477661219542776,0.49507064,0.2339451
