names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PV (for_DEGs),mean_expr_Rest (for_DEGs)
Zfp2,5.4981103,1.2029488,3.838826936226855e-08,5.423200829464542e-07,0.3180873180873181,0.19862043928117626,0.23237911,0.10762913
Cfap46,5.4979343,2.4415157,3.842664268484043e-08,5.425769253503218e-07,0.19750519750519752,0.057396986748956255,0.14001232,0.027290743
Ube2q2,5.496422,0.47054312,3.875744312889232e-08,5.46690841095429e-07,0.5654885654885655,0.45837720094391,0.46708184,0.3574282
Timm9,5.496416,0.571133,3.875869193475222e-08,5.46690841095429e-07,0.5405405405405406,0.45394808495189687,0.4672293,0.3370926
Thap2,5.4932384,0.728216,3.9462916314852894e-08,5.561296852444027e-07,0.4365904365904366,0.3395171537484117,0.3450576,0.22214048
Asxl1,5.4913597,0.38089693,3.988509787532603e-08,5.616942242714939e-07,0.6985446985446986,0.5797059357415139,0.66092646,0.54189444
Fam169a,5.4888387,0.6623008,4.045851337026787e-08,5.694710603766881e-07,0.48440748440748443,0.3949537121074605,0.4008053,0.2711933
Pgap4,5.4857802,0.8539592,4.116484665088523e-08,5.791096489577415e-07,0.35343035343035345,0.23605009983663097,0.25212318,0.14725658
Pdss2,5.4795213,0.39589915,4.264780061416243e-08,5.9965798142467e-07,0.7546777546777547,0.6178616808858232,0.7753081,0.6366716
Hnrnph3,5.478427,0.43702734,4.291234737244573e-08,6.030621202393393e-07,0.5821205821205822,0.48005082592121984,0.47561476,0.37145594
Pex14,5.478134,0.637544,4.2983391552913214e-08,6.037447626904224e-07,0.4781704781704782,0.38573243782900707,0.38230017,0.26184464
Nr1d2,5.4755564,0.5599005,4.361393733682134e-08,6.119616168357126e-07,0.5135135135135135,0.41633690324922856,0.41864336,0.30208233
Caap1,5.4735384,0.5673802,4.411377759691963e-08,6.186519854014773e-07,0.5301455301455301,0.4401161735342167,0.44963852,0.32435542
Gprasp1,5.470895,0.3495606,4.477690602462456e-08,6.276241340019102e-07,0.893970893970894,0.7489925576329642,1.1701444,1.0095035
Map3k9,5.4659204,1.281918,4.6051026778189115e-08,6.448103645283697e-07,0.30353430353430355,0.18417135596296969,0.21349086,0.09337553
Rap1gap,5.4643774,0.5750364,4.645346349449061e-08,6.501065438005015e-07,0.5093555093555093,0.4113632238155745,0.4107473,0.29339203
Akap8l,5.4629364,0.3875683,4.6832295691450925e-08,6.5506704072321e-07,0.8024948024948025,0.6478852786349609,0.85103446,0.7060153
Golm2,5.461555,0.36304238,4.719824698591115e-08,6.598422978727537e-07,0.7796257796257796,0.6475948447994191,0.85662425,0.71964043
Slc4a10,5.450043,0.51220685,5.035756573372294e-08,7.032784777885318e-07,0.9584199584199584,0.769867489562534,1.6671112,1.3894682
Plekhm2,5.4492273,0.58278614,5.05890639929967e-08,7.061444932425047e-07,0.5093555093555093,0.41789798511526594,0.4223687,0.30077776
Rbm33,5.4464107,0.358417,5.1396375573827985e-08,7.170408160273925e-07,0.6923076923076923,0.5825013614086041,0.65036863,0.5392328
Fbxl17,5.4427557,0.45400533,5.246264098477476e-08,7.31536670088686e-07,0.9584199584199584,0.8140134325648938,1.7469743,1.4947546
Tmco3,5.441411,0.8707478,5.286018862257716e-08,7.36697753261747e-07,0.3596673596673597,0.24149573425304047,0.2510365,0.14501043
Aifm1,5.4357405,0.78856933,5.4569313273621984e-08,7.601230936558956e-07,0.4074844074844075,0.30372118351787986,0.30513528,0.18777554
Psd2,5.433708,1.3568007,5.5194796881928667e-08,7.684374052940016e-07,0.24740124740124741,0.11069159557088401,0.16814892,0.06905568
Adamtsl5,5.4317784,4.286039,5.5795216102216846e-08,7.759924723947032e-07,0.15384615384615385,0.010201488473407152,0.10658586,0.00574877
Rere,5.4291577,0.39145944,5.6620654385302056e-08,7.870651750300394e-07,0.9625779625779626,0.8500998366309676,1.8828912,1.6578909
Pptc7,5.428379,0.81340784,5.68682306870336e-08,7.900979103208856e-07,0.3908523908523909,0.28731167180976586,0.28784734,0.17378871
Dennd4c,5.427907,0.5695368,5.701873211358678e-08,7.917794996858277e-07,0.498960498960499,0.39615175167907063,0.4208317,0.3020053
A430010J10Rik,5.427239,1.9091423,5.723245149400187e-08,7.943367622127223e-07,0.22453222453222454,0.08959883826465784,0.16747695,0.047400896
Rabgap1,5.425295,0.3777659,5.785893854047382e-08,8.026172837287205e-07,0.8752598752598753,0.7326919586131785,1.1343576,0.9644279
Pou6f1,5.425124,0.64456564,5.7914209478403456e-08,8.029694575256455e-07,0.4677754677754678,0.37342530404792157,0.37822968,0.25778577
Ranbp17,5.4250135,0.49440426,5.7950163020161464e-08,8.030535741886222e-07,0.5945945945945946,0.4936649119622436,0.573748,0.43830168
Clasp2,5.4226375,0.37782267,5.872608090964677e-08,8.133864917743344e-07,0.9625779625779626,0.8273370847703757,1.6266165,1.4219204
Hadha,5.4140162,0.73919564,6.162651215530372e-08,8.522410610463258e-07,0.39501039501039503,0.2829188600471955,0.27646014,0.17460667
Gm45341,5.4003787,1.3928498,6.650032868887741e-08,9.186960575167793e-07,0.2681912681912682,0.13316391359593394,0.25772014,0.10611516
Pip4p2,5.398955,0.60577136,6.703026672942728e-08,9.255412471838185e-07,0.4885654885654886,0.39328371755309494,0.40239245,0.2818167
Focad,5.397926,0.45067722,6.741571958065227e-08,9.303854058203012e-07,0.8773388773388774,0.6908694862951534,1.2014563,0.99368775
Bcl2,5.3970675,0.6768539,6.773892728551716e-08,9.343660041898594e-07,0.41164241164241167,0.2913777455073516,0.35674205,0.23755383
Paip2,5.396172,0.3098659,6.807764713507199e-08,9.38556376869874e-07,0.7318087318087318,0.6272281720820475,0.7362622,0.6301025
Fam81a,5.3951178,0.5333222,6.847868826495776e-08,9.436012070150846e-07,0.5197505197505198,0.4192049373752042,0.4352849,0.31980053
Lgr4,5.3914566,0.5054734,6.988882355933791e-08,9.625385387183031e-07,0.5135135135135135,0.4112180068978036,0.41740346,0.31108445
Ttc4,5.3874235,0.8534213,7.1474945514451e-08,9.833752104317965e-07,0.37422037422037424,0.26244327464149575,0.26203457,0.1534113
Uggt2,5.3803773,0.41996658,7.432995328580467e-08,1.0205650714305425e-06,0.7546777546777547,0.6055545471047377,0.796921,0.6475779
Tmem164,5.3734875,0.5470555,7.722825983350502e-08,1.0598178456211848e-06,0.45322245322245325,0.330731530223271,0.39270663,0.28457195
Wls,5.370651,0.5474423,7.845308404114168e-08,1.0760767576240312e-06,0.46361746361746364,0.33998910873116717,0.4166924,0.30284432
