names,scores,logfoldchanges,pvals,pvals_adj
Enox2,4.294659,0.50409734,1.921785624306011e-05,0.00021396635815159256
Cdh20,4.263276,0.87278694,2.2403643196876648e-05,0.00024509802117703795
Cdh23,4.248676,0.80729246,2.3874088807957057e-05,0.0002596794501176732
Thsd7b,4.21161,0.43256888,2.7521443795871972e-05,0.0002923314334902986
Gm56976,4.192401,1.9160553,3.1277126102526166e-05,0.0003273113667827207
Cntn4,4.1893916,0.45163834,3.023631789596702e-05,0.00031729919141430454
BC002189,4.1796193,1.2542062,3.269968018427342e-05,0.00033980568138178
Gabra2,4.1730247,0.19859353,3.271113598040627e-05,0.00033980568138178
Col5a2,4.1713886,1.4049729,3.3841022094589975e-05,0.0003496185156724838
Ext1,4.16767,0.34422243,3.3439402405264495e-05,0.00034673475589268305
Dlx6os1,4.161158,0.8184461,3.48304880770106e-05,0.00035853237863271915
Klhl14,4.105868,1.2032285,4.459734278152057e-05,0.0004456978925994328
Kcnma1,4.088541,0.13585702,4.7097420538171425e-05,0.00046697381151813923
Hecw1,4.0863585,0.21318474,4.7155324642061096e-05,0.0004671388809466822
Thsd7a,4.085889,0.20873038,4.723249299510527e-05,0.0004674943340765533
Mtus2,4.0494037,0.33222818,5.520712371754323e-05,0.0005388881567704672
B3galt1,4.029633,0.1750968,5.980885655681797e-05,0.0005751586414648881
1700022A22Rik,4.0094223,1.2051828,6.69032728849729e-05,0.0006380569610043376
Unc79,3.9399784,0.18134221,8.742506305233009e-05,0.0008035016144005955
Galnt10,3.9196954,0.8356851,9.602562577596149e-05,0.000874033891206762
Robo1,3.8825994,0.27784455,0.00010947964592880929,0.0009699828097432766
Trpc6,3.877789,0.28932938,0.0001114688235188423,0.0009852939021887989
Fmn1,3.877021,0.5399805,0.00011280353138306339,0.0009939878489108379
Map2k6,3.8745704,0.32097155,0.00011376477353023032,0.0010003872711945947
Cobll1,3.8667893,0.7783109,0.00011828190704996411,0.0010334151493261912
Kitl,3.8496504,0.5154353,0.0001267267236534104,0.0010936941249447911
Fgf12,3.8389125,0.18950456,0.00013139166344932306,0.0011279361677306178
Npr3,3.83367,1.1418976,0.00013633128914890133,0.0011650408958739696
5830416I19Rik,3.8255706,0.71462893,0.00013974512800397462,0.0011906200785470312
Frem1,3.8112185,1.0912938,0.00014878009269926734,0.0012562542801146936
Car12,3.7904608,0.39543545,0.000159477294662194,0.0013376010425629797
Rai14,3.7892196,0.9683957,0.00016171854242804775,0.0013503975338589858
Tox3,3.7671194,0.64182836,0.00017613642555429257,0.0014515231052046977
Aopep,3.7653108,0.29092827,0.00017607129501236068,0.0014515231052046977
Caln1,3.7632942,0.21888858,0.00017680917918524834,0.001456007517028776
Macrod2,3.7575552,0.13891566,0.00018066418977399668,0.0014834377235757538
Cdh9,3.7265182,0.20743304,0.00020424787951515869,0.0016472213246083631
Ptprn2,3.7142167,0.20264061,0.00021475688536496258,0.0017136661120419109
Cfap54,3.7099986,0.7154721,0.0002205173516797419,0.0017529511913488955
Plce1,3.688288,0.7597534,0.00024016590854086245,0.0018832400155181339
Cdk14,3.6722922,0.15591301,0.00025320435957178395,0.001973181667881149
C130073E24Rik,3.6666272,0.55018914,0.0002599779255495518,0.0020162534595873803
Ccdc148,3.630736,0.37349534,0.0002975613887797057,0.002252197597027144
Pde6a,3.6061072,0.90205806,0.00032920602152746657,0.002452368277470726
Rbms3,3.599081,0.4924149,0.0003363800364665772,0.002499233039967883
Gm4258,3.5856118,0.4069184,0.0003527731682519213,0.0025971720312851134
Gm50306,3.5847096,0.9699972,0.0003580720465494999,0.0026259389786787483
Dcx,3.5820353,0.56681436,0.00035880611773817075,0.0026279182866425018
Gm45341,3.5707595,1.1104659,0.0003767989992896496,0.002740202356426912
2700054A10Rik,3.542237,0.7086372,0.00041728992615269934,0.002988598250364968
Acvr2a,3.535538,0.2710309,0.00042419387973286355,0.003026557845126159
4930532I03Rik,3.5352776,0.78861266,0.0004296690105744697,0.0030636915659538544
Hmgcll1,3.533217,0.5012271,0.00043033941907644066,0.003066540743991528
Ccdc93,3.5235112,0.53166676,0.00044720654547813793,0.003161434097688642
Ppargc1a,3.522871,0.4713847,0.0004472858274748039,0.003161434097688642
Lrrc7,3.5002773,0.082456976,0.0004842830749930228,0.00336619843962308
Grin2b,3.4950979,0.08233679,0.0004938269591784381,0.0034241290010884598
Oxr1,3.4697826,0.17857511,0.0005413804278630797,0.0036899360392493442
Ankrd55,3.4431682,1.0813384,0.0006046305071285205,0.004048628759441891
Col23a1,3.4414148,0.60722417,0.0006039974568241271,0.004046782960721652
Xlr5a,3.424667,0.78335935,0.0006459363605400019,0.004269665738700783
Zmat4,3.4194806,0.22617652,0.0006516904726555352,0.004300169709719478
Ptprr,3.416965,0.35622278,0.0006601328503274515,0.004345746665266124
Cpne8,3.387399,0.83807033,0.0007384769054686333,0.00477815657178362
Bach2,3.386643,0.48156178,0.0007372012389571632,0.004772629862042286
Kcnc2,3.3837657,0.4455199,0.0007449332131755782,0.004811682129370834
Ksr2,3.3760118,0.21482453,0.0007646378947707901,0.004905379536821335
Cacng3,3.3687832,0.32533062,0.0007851440048211283,0.005018176571220214
Zmiz1os1,3.3577695,0.61979574,0.0008196620537905156,0.005187833110715488
Gm2762,3.3502917,0.56828254,0.0008405682510124816,0.005296468729112037
Gm49678,3.3362758,0.46933022,0.0008824589333526073,0.005514394316971066
Cdh2,3.3275,0.20743388,0.0009083096649518234,0.005632415299150874
Rasgef1b,3.321046,0.5547176,0.0009318925929124323,0.005753445926688915
