names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA2-FC-IG Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Trhde,7.182257,1.2211608,6.856970050394243e-13,6.080751988583938e-11,0.6737967914438503,0.5207612456747405,1.2090603,0.69721156
C78859,7.165923,1.2179757,7.726413803412879e-13,6.829234832161318e-11,0.6149732620320856,0.3987168396770473,0.54578525,0.27161387
Ctxnd1,7.155854,1.3560408,8.315353795253588e-13,7.277966009070486e-11,0.5454545454545454,0.2492430795847751,0.51111543,0.23160677
Tgfbr3,7.1536565,1.2101569,8.449634899013174e-13,7.371483433002726e-11,0.6096256684491979,0.37568483275663206,0.5792828,0.29206437
Frmpd1,7.1444154,2.0187178,9.037956658137581e-13,7.833867593682477e-11,0.4117647058823529,0.11332179930795848,0.2941457,0.08102018
Luzp2,7.1401615,1.1505421,9.322137851949103e-13,8.0542072052049e-11,0.7486631016042781,0.5578863898500577,1.4912946,0.93642634
Cdkl2,7.1268163,1.2207566,1.0271688869289147e-12,8.699638876776613e-11,0.6042780748663101,0.3923370818915802,0.5352692,0.2652324
Lncppara,7.1264935,1.1625584,1.0295813780479953e-12,8.699638876776613e-11,0.6363636363636364,0.4667315455594002,0.6841132,0.3637291
Slc8a1,7.1195364,0.44048467,1.0829052044406356e-12,9.093019638537462e-11,0.8074866310160428,0.8774870242214533,2.5320592,2.2547266
Htr7,7.111433,1.7454175,1.1484404878462902e-12,9.613269753404928e-11,0.45989304812834225,0.17456026528258362,0.3400659,0.11404458
Mpp3,7.1018147,1.5934905,1.231292953390963e-12,1.0274795545843223e-10,0.46524064171123,0.1885092272202999,0.283997,0.103306375
Kcnn2,7.0953903,0.9668711,1.2898706845981266e-12,1.0664253936969742e-10,0.7219251336898396,0.6430219146482122,1.3663474,0.9140604
Arpc2,7.088893,1.0821456,1.3518912826247866e-12,1.112400765948823e-10,0.7647058823529411,0.5962730680507498,1.0066015,0.59888697
Ccdc3,7.057817,2.5838828,1.6913875004272453e-12,1.381385475272951e-10,0.39037433155080214,0.11087081891580161,0.3308985,0.06336791
Camk2b,7.040304,0.91905487,1.9182056966115977e-12,1.557165772445729e-10,0.7967914438502673,0.6776960784313726,1.291943,0.8738441
Fry,6.9973392,0.4423351,2.608690648207318e-12,2.1113107746183928e-10,0.7593582887700535,0.8047866205305652,1.69597,1.4531034
Lynx1,6.986392,1.764759,2.820450375859658e-12,2.2690269939924855e-10,0.4919786096256685,0.23651960784313725,0.4385878,0.1501458
Smpd3,6.9654307,1.0456815,3.274006954621124e-12,2.618231156865167e-10,0.7058823529411765,0.5273572664359861,0.81517404,0.47633106
Map4k3,6.950953,0.8025193,3.6282731753635213e-12,2.892928789970855e-10,0.7165775401069518,0.6723255478662054,1.1323801,0.7910747
Pde4a,6.9414573,1.0313362,3.880761309366703e-12,3.066942834784803e-10,0.6951871657754011,0.5374855824682814,0.8390357,0.49649364
Cadps,6.937262,0.35338774,3.997718678058569e-12,3.150108530188673e-10,0.786096256684492,0.8296929065743944,2.2171183,2.001937
Acss1,6.917752,1.1358826,4.588667519918905e-12,3.584229542448285e-10,0.5133689839572193,0.2243367935409458,0.36558282,0.18302229
Golm1,6.9061904,1.2965347,4.978409608403885e-12,3.8550393711185126e-10,0.5080213903743316,0.22707612456747406,0.36278704,0.16385062
Atrnl1,6.8678575,0.5570456,6.517327665446628e-12,5.003445553444312e-10,0.6951871657754011,0.7507569204152249,1.6933435,1.390338
Dchs2,6.862848,1.7846363,6.75010292486116e-12,5.167386484074626e-10,0.44385026737967914,0.1669910611303345,0.34818006,0.1141186
Cdkl5,6.846109,0.7372942,7.588574802756983e-12,5.760028388420342e-10,0.7433155080213903,0.685878027681661,1.2332369,0.8997822
Mmp17,6.843411,1.2479024,7.732951420001489e-12,5.85308182128e-10,0.5935828877005348,0.36090686274509803,0.5213024,0.2531662
Zbtb16,6.839416,0.96096367,7.951671822232222e-12,6.001725333241006e-10,0.6951871657754011,0.5790441176470589,1.0580112,0.6760554
Akap13,6.835999,1.209242,8.143555989661829e-12,6.129337519389729e-10,0.6470588235294118,0.5051542675893888,0.96967655,0.5353431
Dpyd,6.819028,0.99289393,9.165873314888514e-12,6.841305999195955e-10,0.6951871657754011,0.6509515570934256,1.5488878,1.0516078
