names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Endothelial (for_DEGs),mean_expr_Rest (for_DEGs)
Sptbn1,14.83465,1.6198652,8.745830437331379e-50,2.9012402944579524e-47,0.8787878787878788,0.847022845835582,2.4723296,1.5107809
Abcb1a,14.465769,7.925556,1.993650216628287e-47,5.822758839217617e-45,0.5584415584415584,0.011800683576182767,1.271097,0.010493878
Hmcn1,14.315456,6.420743,1.7521127007499463e-46,4.755481643348592e-44,0.5670995670995671,0.03853211009174312,1.4258013,0.036234543
mt-Co3,13.772462,2.458976,3.73275143954697e-43,8.721654885271919e-41,0.7965367965367965,0.6060082748695809,2.0045836,0.77389306
Epas1,13.570866,5.2322454,5.961376471833406e-42,1.2514233265481533e-39,0.5541125541125541,0.06479582658751575,1.193915,0.05938822
Lef1,13.317395,6.1725807,1.833955226410847e-40,3.4703082347647505e-38,0.5281385281385281,0.036661270012592194,1.1672688,0.030221103
Sparc,13.277381,3.7865894,3.131553255499942e-40,5.803092136226444e-38,0.6017316017316018,0.14221982370930022,1.2425524,0.16431354
Adgrf5,13.211322,8.079259,7.548701577506784e-40,1.3522240759173818e-37,0.5108225108225108,0.01280805900341788,1.0403616,0.006744402
Rplp1,12.902241,2.159364,4.371994253047772e-38,6.869911437391442e-36,0.7965367965367965,0.652167656053247,1.878641,0.8070042
Tek,12.875582,6.0302386,6.177153876950964e-38,9.539087624923703e-36,0.5194805194805194,0.05378665227558913,1.0447798,0.027805902
Slc2a1,12.774074,5.0197773,2.2885551863592622e-37,3.360299336473955e-35,0.5324675324675324,0.08005036877136175,1.0100198,0.052411217
Rgs5,12.709824,7.2683835,5.215218538599451e-37,7.453878836817407e-35,0.49783549783549785,0.023097679438747975,1.3303754,0.017887019
Itm2a,12.706769,6.286552,5.422901239374455e-37,7.709701391639767e-35,0.5021645021645021,0.028962043533009536,0.9793213,0.021075392
Rpl38,12.676003,2.5121496,8.032411344816352e-37,1.106825091462643e-34,0.7272727272727273,0.4769562871019968,1.528602,0.49048945
Tpt1,12.658242,2.8017807,1.0072946260704378e-36,1.3739089645945515e-34,0.683982683982684,0.3680158301852851,1.4077077,0.36647955
mt-Co2,12.63207,2.89597,1.4053198654264439e-36,1.9071184234347751e-34,0.670995670995671,0.3448821730527073,1.4003868,0.3440622
Gpcpd1,12.611357,2.482859,1.828182863913563e-36,2.456163677667872e-34,0.7229437229437229,0.6074473826227739,1.755002,0.6182683
Hsp90ab1,12.609968,1.6087617,1.860672094968385e-36,2.4873760791940546e-34,0.8614718614718615,0.8085626911314985,2.0408456,1.1618544
Cyyr1,12.570241,8.313442,3.077856193895802e-36,4.034243703901473e-34,0.48484848484848486,0.009354200395754632,1.0862486,0.0061520357
9530026P05Rik,12.563365,3.2648714,3.357447207124203e-36,4.379349827933365e-34,0.6017316017316018,0.22547220723151645,1.2145175,0.22027776
St3gal6,12.413023,3.5805318,2.2210443070329254e-35,2.7757888618592887e-33,0.5800865800865801,0.17244108652635365,1.1251057,0.1603414
Macf1,12.224183,0.88752306,2.3089102556389417e-34,2.8072587587791114e-32,0.8398268398268398,0.8773880194279546,2.3540287,1.81649
Cobll1,12.079031,3.243314,1.36316275374927e-33,1.5586460933294845e-31,0.5930735930735931,0.23263176830365173,1.2083855,0.22150816
Ptma,12.064879,2.6580653,1.6189926327123116e-33,1.8278290773520932e-31,0.670995670995671,0.4025903939557474,1.3859932,0.38872936
Calm1,12.0542145,1.5160196,1.8428078077308086e-33,2.0546160080384573e-31,0.8744588744588745,0.8362655153804641,2.1979682,1.3348746
Heg1,12.047331,3.6724057,2.003331394256685e-33,2.224360105937071e-31,0.5627705627705628,0.1896744018708401,1.0478384,0.13559352
mt-Nd2,12.0445175,2.3561695,2.0728607076396034e-33,2.2920891857726806e-31,0.7012987012987013,0.43479042993344125,1.4187002,0.47726315
Ets1,12.029328,5.02591,2.4917919323312313e-33,2.74403480416968e-31,0.49783549783549785,0.0627810757330455,0.99888057,0.051308103
Sema3c,11.986314,3.066293,4.1914631027134304e-33,4.504984542796395e-31,0.6233766233766234,0.3133657132577802,1.3200991,0.2833509
Pdgfd,11.974301,5.207596,4.845012873958896e-33,5.186673144353607e-31,0.48484848484848486,0.0389278647238712,0.9512297,0.0420996
Ahnak,11.952935,5.6404448,6.267218158578111e-33,6.68254571115055e-31,0.47619047619047616,0.02867422198237093,0.8229102,0.025280546
ENSMUSG00000121513,11.948578,1.5128227,6.60453692186291e-33,7.014383679464679e-31,0.8311688311688312,0.79176110811297,2.5201907,1.6105722
Itga1,11.893028,5.727117,1.2865510419566801e-32,1.3245067623515706e-30,0.4805194805194805,0.045080050368771364,1.0349787,0.033691205
Egfl7,11.859972,5.39493,1.910381023555817e-32,1.9517847187431485e-30,0.48484848484848486,0.0547220723151646,0.8999014,0.034095887
