names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Immature GC (for_DEGs),mean_expr_Rest (for_DEGs)
Cdh9,25.323044,2.2872822,1.7809386131584863e-141,1.993909188982022e-138,0.9801192842942346,0.5265051048214221,1.9059131,0.77608466
Lrrtm4,25.072603,1.8456093,9.899229861121706e-139,1.0639692254733609e-135,1.0,0.9185771899865567,4.258951,3.015704
Frmd4b,24.994038,2.0873036,7.097717646627729e-138,7.335218198649502e-135,0.974155069582505,0.5599680267412709,1.6925479,0.7145401
Tmem108,24.991404,1.9459121,7.581341234585048e-138,7.544838480492601e-135,0.9880715705765407,0.628310867274643,1.96917,0.955532
Ppp3ca,24.98836,1.207594,8.181700669248775e-138,7.851510606525521e-135,1.0,0.9386694764378883,3.3593292,2.5667953
Pip5k1b,24.969545,2.0073137,1.309977965801525e-137,1.2137623427961025e-134,0.9701789264413518,0.585292300984631,1.7463311,0.778131
Vav3,24.740112,2.2142355,3.961336078097806e-135,3.5480366806162683e-132,0.8966202783300199,0.38789376158122296,1.1101435,0.3636004
Thsd7a,24.726248,2.1304562,5.584775215935028e-135,4.840739033941103e-132,0.9801192842942346,0.5709406678051084,1.8989992,0.83162475
Lyst,24.589163,1.7572191,1.6497056374368866e-133,1.3852372024352857e-130,0.9562624254473161,0.6261308723612978,1.4995658,0.7077262
Tiam1,24.455496,1.7977282,4.398512275209495e-132,3.58145529802664e-129,0.9642147117296223,0.5954292773316863,1.5339459,0.7158571
Chst9,24.375338,2.493889,3.123895889719487e-131,2.4687965457871357e-128,0.8628230616302187,0.323511245140428,1.2104439,0.3492984
Shisa9,24.188465,1.9101076,2.9422224215573194e-129,2.2587861847784336e-126,0.9900596421471173,0.6565418014024634,2.1260011,1.0865241
Auts2,24.155344,1.2364672,6.561167104665934e-129,4.8971822250659345e-126,1.0,0.9028085601133597,3.4856982,2.6693454
Cyp7b1,24.107803,2.0166545,2.0704476469396597e-128,1.503592656034288e-125,0.9264413518886679,0.5152054645205828,1.3904189,0.55702794
Tafa2,23.919306,2.03684,1.92883717150359e-126,1.3638909157447753e-123,1.0,0.7227773135196018,2.7714343,1.5370702
Dab1,23.593275,1.488582,4.5180989947003295e-123,3.112854358656355e-120,1.0,0.8745412927369837,3.561705,2.5799093
Ryr2,23.491383,1.4918673,4.995870701363452e-122,3.3559761436408987e-119,0.9980119284294234,0.7999491334520219,2.8086839,1.8783005
Nfia,23.364706,1.7796371,9.768798672397246e-121,6.402137081154e-118,0.9980119284294234,0.7335319550921048,2.3195114,1.3004683
Prkce,23.26446,1.299257,1.015636925929543e-119,6.497658142792101e-117,0.9980119284294234,0.8319950586781965,2.6197786,1.820305
Kif26b,23.225245,2.0314837,2.5313255792692646e-119,1.5817841468596546e-116,0.8767395626242545,0.3976674054427206,1.0018601,0.3517381
Plcl1,23.189259,1.9341836,5.844143936898377e-119,3.56891244510135e-116,0.9920477137176938,0.679141082004142,2.2753172,1.1892545
Sphkap,22.989368,1.7280163,5.9549042622658034e-117,3.555739500601825e-114,0.9781312127236581,0.6560694691712387,1.917639,1.0124363
Epha7,22.864943,1.7915349,1.0379057929523264e-115,6.062723621006307e-113,0.9940357852882704,0.7023216945827127,2.2767816,1.2602193
Itga8,22.823633,1.8671813,2.671595873207208e-115,1.5273570449590997e-112,0.9463220675944334,0.5348617519892453,1.5323405,0.690516
Plekhg5,22.698488,1.760268,4.6366109013950605e-114,2.5955361441767763e-111,0.9085487077534792,0.49296951640446174,1.0842677,0.45601654
Lrp1b,22.675726,1.3013827,7.778699598481231e-114,4.265584861452871e-111,1.0,0.93754314573266,3.938172,3.0642653
